"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,57,57,57,57
2018-01-07,201802,45,45,45,45
2018-01-14,201803,81,81,81,81
2018-01-21,201804,70,70,70,70
2018-01-28,201805,62,62,62,62
2018-02-04,201806,54,54,54,54
2018-02-11,201807,69,69,69,69
2018-02-18,201808,59,59,59,59
2018-02-25,201809,77,77,77,77
2018-03-04,201810,83,83,83,83
2018-03-11,201811,120,120,120,120
2018-03-18,201812,73,73,73,73
2018-03-25,201813,69,69,69,69
2018-04-01,201814,61,61,61,61
2018-04-04,201815,74,74,74,74
2018-04-15,201816,79,79,79,79
2018-04-22,201817,88,88,88,88
2018-04-29,201818,124,124,124,124
2018-05-06,201819,125,125,125,125
2018-05-13,201820,101,101,101,101
2018-05-20,201821,73,73,73,73
2018-05-27,201822,128,128,128,128
2018-06-03,201823,77,77,77,77
2018-06-10,201824,78,78,78,78
2018-06-17,201825,64,64,64,64
2018-06-24,201826,45,45,45,45
2018-07-01,201827,65,65,65,65
2018-07-08,201828,54,54,54,54
2018-07-15,201829,47,47,47,47
2018-07-22,201830,50,50,50,50
2018-07-29,201831,47,47,47,47
2018-08-05,201832,37,37,37,37
2018-08-12,201833,41,41,41,41
2018-08-19,201834,45,45,45,45
2018-08-26,201835,24,24,24,24
2018-09-02,201836,29,29,29,29
2018-09-09,201837,25,25,25,25
2018-09-16,201838,31,31,31,31
2018-09-23,201839,19,19,19,19
2018-09-30,201840,17,17,17,17
2018-10-07,201841,8,8,8,8
2018-10-14,201842,23,23,23,23
2018-10-21,201843,21,21,21,21
2018-10-28,201844,17,17,17,17
2018-11-04,201845,14,14,14,14
2018-11-11,201846,17,17,17,17
2018-11-18,201847,19,19,19,19
2018-11-25,201848,16,16,16,16
2018-12-02,201849,22,22,22,22
2018-12-09,201850,30,30,30,30
2018-12-16,201851,35,35,35,35
2018-12-23,201852,20,20,20,20
2018-12-30,201901,39,39,39,39
2019-01-06,201902,45,45,45,45
2019-01-13,201903,56,56,56,56
2019-01-20,201904,76,76,76,76
2019-01-27,201905,57,57,57,57
2019-02-03,201906,84,84,84,84
2019-02-10,201907,82,82,82,82
2019-02-17,201908,115,115,115,115
2019-02-24,201909,75,75,75,75
2019-03-03,201910,133,133,133,133
2019-03-10,201911,172,172,172,172
2019-03-17,201912,247,247,247,247
2019-03-24,201913,313,313,313,313
2019-03-31,201914,369,369,369,369
2019-04-07,201915,363,363,363,363
2019-04-14,201916,371,371,371,371
2019-04-21,201917,543,543,543,543
2019-04-28,201918,621,621,621,621
2019-05-05,201919,631,631,631,631
2019-05-12,201920,637,637,637,637
2019-05-19,201921,591,591,591,591
2019-05-26,201922,513,513,513,513
2019-06-02,201923,543,543,543,543
2019-06-09,201924,405,405,405,405
2019-06-16,201925,343,343,343,343
2019-06-23,201926,315,315,315,315
2019-06-30,201927,323,323,323,323
2019-07-07,201928,247,247,247,247
2019-07-14,201929,235,235,235,235
2019-07-21,201930,197,197,197,197
2019-07-28,201931,141,141,141,141
2019-08-04,201932,110,110,110,110
2019-08-11,201933,75,75,75,75
2019-08-18,201934,65,65,65,65
2019-08-25,201935,75,75,75,75
2019-09-01,201936,44,44,44,44
2019-09-08,201937,48,48,48,48
2019-09-15,201938,33,33,33,33
2019-09-22,201939,30,30,30,30
2019-09-29,201940,29,29,29,29
2019-10-06,201941,32,32,32,32
2019-10-13,201942,26,26,26,26
2019-10-20,201943,32,32,32,32
