"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,27,27,27,27
2018-01-07,201802,21,21,21,21
2018-01-14,201803,30,30,30,30
2018-01-21,201804,25,25,25,25
2018-01-28,201805,22,22,22,22
2018-02-04,201806,18,18,18,18
2018-02-11,201807,28,28,28,28
2018-02-18,201808,21,21,21,21
2018-02-25,201809,23,23,23,23
2018-03-04,201810,29,29,29,29
2018-03-11,201811,40,40,40,40
2018-03-18,201812,20,20,20,20
2018-03-25,201813,15,15,15,15
2018-04-01,201814,28,28,28,28
2018-04-04,201815,23,23,23,23
2018-04-15,201816,25,25,25,25
2018-04-22,201817,27,27,27,27
2018-04-29,201818,29,29,29,29
2018-05-06,201819,29,29,29,29
2018-05-13,201820,41,41,41,41
2018-05-20,201821,49,49,49,49
2018-05-27,201822,22,22,22,22
2018-06-03,201823,29,29,29,29
2018-06-10,201824,40,40,40,40
2018-06-17,201825,31,31,31,31
2018-06-24,201826,27,27,27,27
2018-07-01,201827,25,25,25,25
2018-07-08,201828,44,44,44,44
2018-07-15,201829,48,48,48,48
2018-07-22,201830,49,49,49,49
2018-07-29,201831,69,69,69,69
2018-08-05,201832,33,33,33,33
2018-08-12,201833,35,35,35,35
2018-08-19,201834,49,49,49,49
2018-08-26,201835,35,35,35,35
2018-09-02,201836,17,17,17,17
2018-09-09,201837,30,30,30,30
2018-09-16,201838,36,36,36,36
2018-09-23,201839,24,24,24,24
2018-09-30,201840,14,14,14,14
2018-10-07,201841,34,34,34,34
2018-10-14,201842,21,21,21,21
2018-10-21,201843,22,22,22,22
2018-10-28,201844,10,10,10,10
2018-11-04,201845,22,22,22,22
2018-11-11,201846,21,21,21,21
2018-11-18,201847,30,30,30,30
2018-11-25,201848,50,50,50,50
2018-12-02,201849,33,33,33,33
2018-12-09,201850,25,25,25,25
2018-12-16,201851,17,17,17,17
2018-12-23,201852,22,22,22,22
2018-12-30,201901,65,65,65,65
2019-01-06,201902,33,33,33,33
2019-01-13,201903,42,42,42,42
2019-01-20,201904,48,48,48,48
2019-01-27,201905,32,32,32,32
