"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,17,17,17,17
2018-01-07,201802,22,22,22,22
2018-01-14,201803,33,33,33,33
2018-01-21,201804,32,32,32,32
2018-01-28,201805,39,39,39,39
2018-02-04,201806,38,38,38,38
2018-02-11,201807,38,38,38,38
2018-02-18,201808,36,36,36,36
2018-02-25,201809,51,51,51,51
2018-03-04,201810,50,50,50,50
2018-03-11,201811,51,51,51,51
2018-03-18,201812,59,59,59,59
2018-03-25,201813,34,34,34,34
2018-04-01,201814,72,72,72,72
2018-04-04,201815,57,57,57,57
2018-04-15,201816,65,65,65,65
2018-04-22,201817,42,42,42,42
2018-04-29,201818,35,35,35,35
2018-05-06,201819,36,36,36,36
2018-05-13,201820,29,29,29,29
2018-05-20,201821,24,24,24,24
2018-05-27,201822,27,27,27,27
2018-06-03,201823,20,20,20,20
2018-06-10,201824,22,22,22,22
2018-06-17,201825,13,13,13,13
2018-06-24,201826,7,7,7,7
2018-07-01,201827,22,22,22,22
2018-07-08,201828,13,13,13,13
2018-07-15,201829,17,17,17,17
2018-07-22,201830,11,11,11,11
2018-07-29,201831,26,26,26,26
2018-08-05,201832,20,20,20,20
2018-08-12,201833,22,22,22,22
2018-08-19,201834,23,23,23,23
2018-08-26,201835,21,21,21,21
2018-09-02,201836,13,13,13,13
2018-09-09,201837,18,18,18,18
2018-09-16,201838,25,25,25,25
2018-09-23,201839,16,16,16,16
2018-09-30,201840,23,23,23,23
2018-10-07,201841,19,19,19,19
2018-10-14,201842,35,35,35,35
2018-10-21,201843,32,32,32,32
2018-10-28,201844,20,20,20,20
2018-11-04,201845,14,14,14,14
2018-11-11,201846,15,15,15,15
2018-11-18,201847,13,13,13,13
2018-11-25,201848,12,12,12,12
2018-12-02,201849,11,11,11,11
2018-12-09,201850,13,13,13,13
2018-12-16,201851,9,9,9,9
2018-12-23,201852,14,14,14,14
2018-12-30,201901,11,11,11,11
2019-01-06,201902,22,22,22,22
2019-01-13,201903,19,19,19,19
2019-01-20,201904,16,16,16,16
2019-01-27,201905,27,27,27,27
2019-02-03,201906,15,15,15,15
2019-02-10,201907,15,15,15,15
2019-02-17,201908,34,34,34,34
2019-02-24,201909,32,32,32,32
2019-03-03,201910,34,34,34,34
2019-03-10,201911,39,39,39,39
2019-03-17,201912,40,40,40,40
2019-03-24,201913,41,41,41,41
2019-03-31,201914,47,47,47,47
2019-04-07,201915,26,26,26,26
2019-04-14,201916,30,30,30,30
2019-04-21,201917,15,15,15,15
2019-04-28,201918,19,19,19,19
2019-05-05,201919,20,20,20,20
2019-05-12,201920,13,13,13,13
2019-05-19,201921,27,27,27,27
2019-05-26,201922,17,17,17,17
2019-06-02,201923,17,17,17,17
2019-06-09,201924,10,10,10,10
2019-06-16,201925,15,15,15,15
2019-06-23,201926,13,13,13,13
2019-06-30,201927,12,12,12,12
2019-07-07,201928,7,7,7,7
2019-07-14,201929,2,2,2,2
2019-07-21,201930,10,10,10,10
2019-07-28,201931,12,12,12,12
2019-08-04,201932,10,10,10,10
2019-08-11,201933,15,15,15,15
2019-08-18,201934,6,6,6,6
2019-08-25,201935,8,8,8,8
2019-09-01,201936,23,23,23,23
2019-09-08,201937,9,9,9,9
2019-09-15,201938,5,5,5,5
2019-09-22,201939,10,10,10,10
2019-09-29,201940,7,7,7,7
