"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,408,408,408,408
2018-01-07,201802,423,423,423,423
2018-01-14,201803,676,676,676,676
2018-01-21,201804,588,588,588,588
2018-01-28,201805,580,580,580,580
2018-02-04,201806,542,542,542,542
2018-02-11,201807,599,599,599,599
2018-02-18,201808,820,820,820,820
2018-02-25,201809,839,839,839,839
2018-03-04,201810,1064,1064,1064,1064
2018-03-11,201811,1134,1134,1134,1134
2018-03-18,201812,1086,1086,1086,1086
2018-03-25,201813,1037,1037,1037,1037
2018-04-01,201814,1340,1340,1340,1340
2018-04-04,201815,1302,1302,1302,1302
2018-04-15,201816,1027,1027,1027,1027
2018-04-22,201817,838,838,838,838
2018-04-29,201818,1017,1017,1017,1017
2018-05-06,201819,840,840,840,840
2018-05-13,201820,771,771,771,771
2018-05-20,201821,540,540,540,540
2018-05-27,201822,437,437,437,437
2018-06-03,201823,404,404,404,404
2018-06-10,201824,411,411,411,411
2018-06-17,201825,332,332,332,332
2018-06-24,201826,347,347,347,347
2018-07-01,201827,441,441,441,441
2018-07-08,201828,337,337,337,337
2018-07-15,201829,332,332,332,332
2018-07-22,201830,285,285,285,285
2018-07-29,201831,194,194,194,194
2018-08-05,201832,236,236,236,236
2018-08-12,201833,168,168,168,168
2018-08-19,201834,171,171,171,171
2018-08-26,201835,158,158,158,158
2018-09-02,201836,105,105,105,105
2018-09-09,201837,127,127,127,127
2018-09-16,201838,132,132,132,132
2018-09-23,201839,120,120,120,120
2018-09-30,201840,161,161,161,161
2018-10-07,201841,127,127,127,127
2018-10-14,201842,164,164,164,164
2018-10-21,201843,147,147,147,147
2018-10-28,201844,178,178,178,178
2018-11-04,201845,185,185,185,185
2018-11-11,201846,170,170,170,170
2018-11-18,201847,241,241,241,241
2018-11-25,201848,262,262,262,262
2018-12-02,201849,318,318,318,318
2018-12-09,201850,339,339,339,339
2018-12-16,201851,311,311,311,311
2018-12-23,201852,332,332,332,332
2018-12-30,201901,465,465,465,465
2019-01-06,201902,521,521,521,521
2019-01-13,201903,549,549,549,549
2019-01-20,201904,601,601,601,601
2019-01-27,201905,585,585,585,585
2019-02-03,201906,583,583,583,583
2019-02-10,201907,549,549,549,549
2019-02-17,201908,563,563,563,563
2019-02-24,201909,629,629,629,629
2019-03-03,201910,852,852,852,852
2019-03-10,201911,1127,1127,1127,1127
2019-03-17,201912,1579,1579,1579,1579
2019-03-24,201913,1862,1862,1862,1862
2019-03-31,201914,2501,2501,2501,2501
2019-04-07,201915,2484,2484,2484,2484
2019-04-14,201916,2846,2846,2846,2846
2019-04-21,201917,3123,3123,3123,3123
2019-04-28,201918,3514,3514,3514,3514
2019-05-05,201919,3852,3852,3852,3852
2019-05-12,201920,3413,3413,3413,3413
2019-05-19,201921,3081,3081,3081,3081
2019-05-26,201922,2465,2465,2465,2465
2019-06-02,201923,1823,1823,1823,1823
2019-06-09,201924,1528,1528,1528,1528
2019-06-16,201925,1278,1278,1278,1278
2019-06-23,201926,1073,1073,1073,1073
2019-06-30,201927,1048,1048,1048,1048
2019-07-07,201928,613,613,613,613
2019-07-14,201929,517,517,517,517
2019-07-21,201930,362,362,362,362
2019-07-28,201931,345,345,345,345
2019-08-04,201932,314,314,314,314
