"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,56,56,56,56
2018-01-07,201802,78,78,78,78
2018-01-14,201803,61,61,61,61
2018-01-21,201804,48,48,48,48
2018-01-28,201805,35,35,35,35
2018-02-04,201806,60,60,60,60
2018-02-11,201807,85,85,85,85
2018-02-18,201808,59,59,59,59
2018-02-25,201809,83,83,83,83
2018-03-04,201810,65,65,65,65
2018-03-11,201811,74,74,74,74
2018-03-18,201812,82,82,82,82
2018-03-25,201813,73,73,73,73
2018-04-01,201814,124,124,124,124
2018-04-04,201815,91,91,91,91
2018-04-15,201816,157,157,157,157
2018-04-22,201817,164,164,164,164
2018-04-29,201818,171,171,171,171
2018-05-06,201819,143,143,143,143
2018-05-13,201820,167,167,167,167
2018-05-20,201821,129,129,129,129
2018-05-27,201822,80,80,80,80
2018-06-03,201823,48,48,48,48
2018-06-10,201824,40,40,40,40
2018-06-17,201825,31,31,31,31
2018-06-24,201826,23,23,23,23
2018-07-01,201827,18,18,18,18
2018-07-08,201828,20,20,20,20
2018-07-15,201829,29,29,29,29
2018-07-22,201830,15,15,15,15
2018-07-29,201831,32,32,32,32
2018-08-05,201832,39,39,39,39
2018-08-12,201833,33,33,33,33
2018-08-19,201834,22,22,22,22
2018-08-26,201835,12,12,12,12
2018-09-02,201836,20,20,20,20
2018-09-09,201837,23,23,23,23
2018-09-16,201838,24,24,24,24
2018-09-23,201839,7,7,7,7
2018-09-30,201840,14,14,14,14
2018-10-07,201841,19,19,19,19
2018-10-14,201842,27,27,27,27
2018-10-21,201843,17,17,17,17
2018-10-28,201844,13,13,13,13
2018-11-04,201845,32,32,32,32
2018-11-11,201846,13,13,13,13
2018-11-18,201847,14,14,14,14
2018-11-25,201848,11,11,11,11
2018-12-02,201849,17,17,17,17
2018-12-09,201850,11,11,11,11
2018-12-16,201851,10,10,10,10
2018-12-23,201852,15,15,15,15
2018-12-30,201901,50,50,50,50
2019-01-06,201902,64,64,64,64
2019-01-13,201903,100,100,100,100
2019-01-20,201904,110,110,110,110
2019-01-27,201905,70,70,70,70
2019-02-03,201906,83,83,83,83
2019-02-10,201907,162,162,162,162
2019-02-17,201908,144,144,144,144
2019-02-24,201909,153,153,153,153
2019-03-03,201910,174,174,174,174
2019-03-10,201911,222,222,222,222
2019-03-17,201912,249,249,249,249
2019-03-24,201913,250,250,250,250
2019-03-31,201914,305,305,305,305
2019-04-07,201915,313,313,313,313
2019-04-14,201916,290,290,290,290
2019-04-21,201917,310,310,310,310
2019-04-28,201918,275,275,275,275
2019-05-05,201919,314,314,314,314
2019-05-12,201920,288,288,288,288
2019-05-19,201921,324,324,324,324
2019-05-26,201922,282,282,282,282
2019-06-02,201923,252,252,252,252
2019-06-09,201924,197,197,197,197
2019-06-16,201925,157,157,157,157
2019-06-23,201926,164,164,164,164
2019-06-30,201927,136,136,136,136
2019-07-07,201928,128,128,128,128
2019-07-14,201929,105,105,105,105
2019-07-21,201930,75,75,75,75
2019-07-28,201931,65,65,65,65
2019-08-04,201932,96,96,96,96
2019-08-11,201933,64,64,64,64
2019-08-18,201934,56,56,56,56
2019-08-25,201935,71,71,71,71
2019-09-01,201936,43,43,43,43
2019-09-08,201937,46,46,46,46
2019-09-15,201938,57,57,57,57
2019-09-22,201939,26,26,26,26
2019-09-29,201940,34,34,34,34
2019-10-06,201941,44,44,44,44
2019-10-13,201942,32,32,32,32
2019-10-20,201943,40,40,40,40
2019-10-27,201944,41,41,41,41
2019-11-03,201945,26,26,26,26
2019-11-10,201946,49,49,49,49
2019-11-17,201947,25,25,25,25
2019-11-24,201948,20,20,20,20
2019-12-01,201949,26,26,26,26
2019-12-08,201950,24,24,24,24
2019-12-15,201951,13,13,13,13
2019-12-22,201952,17,17,17,17
2019-12-29,202001,31,31,31,31
2020-01-05,202002,59,59,59,59
2020-01-12,202003,148,148,148,148
2020-01-19,202004,156,156,156,156
2020-01-26,202005,185,185,185,185
2020-02-02,202006,185,185,185,185
2020-02-09,202007,305,305,305,305
2020-02-16,202008,252,252,252,252
2020-02-23,202009,183,183,183,183
2020-03-01,202010,203,203,203,203
2020-03-08,202011,155,155,155,155
2020-03-15,202012,86,86,86,86
2020-03-22,202013,74,74,74,74
2020-03-29,202014,102,102,102,102
2020-04-05,202015,83,83,83,83
2020-04-12,202016,105,105,105,105
2020-04-19,202017,100,100,100,100
2020-04-26,202018,66,66,66,66
2020-05-03,202019,69,69,69,69
2020-05-10,202020,61,61,61,61
2020-05-17,202021,51,51,51,51
2020-05-24,202022,35,35,35,35
2020-05-31,202023,28,28,28,28
2020-06-07,202024,32,32,32,32
2020-06-14,202025,53,53,53,53
2020-06-21,202026,43,43,43,43
2020-06-28,202027,45,45,45,45
2020-07-05,202028,26,26,26,26
2020-07-12,202029,28,28,28,28
2020-07-19,202030,30,30,30,30
2020-07-26,202031,19,19,19,19
2020-08-02,202032,14,14,14,14
2020-08-09,202033,19,19,19,19
2020-08-16,202034,13,13,13,13
2020-08-23,202035,19,19,19,19
2020-08-30,202036,16,16,16,16
2020-09-06,202037,13,13,13,13
2020-09-13,202038,8,8,8,8
2020-09-20,202039,11,11,11,11
2020-09-27,202040,13,13,13,13
2020-10-04,202041,11,11,11,11
2020-10-11,202042,6,6,6,6
2020-10-18,202043,2,2,2,2
2020-10-25,202044,7,7,7,7
2020-11-01,202045,9,9,9,9
2020-11-08,202046,1,1,1,1
2020-11-15,202047,11,11,11,11
2020-11-22,202048,10,10,10,10
2020-11-29,202049,5,5,5,5
2020-12-06,202050,1,1,1,1
2020-12-13,202051,7,7,7,7
2020-12-20,202052,14,14,14,14
2020-12-27,202053,7,7,7,7
2021-01-03,202101,46,46,46,46
2021-01-10,202102,73,73,73,73
2021-01-17,202103,77,77,77,77
2021-01-24,202104,68,68,68,68
2021-01-31,202105,71,71,71,71
2021-02-07,202106,53,53,53,53
2021-02-14,202107,75,75,75,75
2021-02-21,202108,55,55,55,55
2021-02-28,202109,52,52,52,52
2021-03-07,202110,54,54,54,54
2021-03-14,202111,46,46,46,46
2021-03-21,202112,31,31,31,31
2021-03-28,202113,34,34,34,34
2021-04-04,202114,37,37,37,37
2021-04-11,202115,30,30,30,30
2021-04-18,202116,34,34,34,34
2021-04-25,202117,45,45,45,45
2021-05-02,202118,48,48,48,48
2021-05-09,202119,44,44,44,44
2021-05-16,202120,47,47,47,47
2021-05-23,202121,29,29,29,29
2021-05-30,202122,24,24,24,24
2021-06-06,202123,32,32,32,32
2021-06-13,202124,31,31,31,31
2021-06-20,202125,20,20,20,20
2021-06-27,202126,22,22,22,22
2021-07-04,202127,22,22,22,22
2021-07-11,202128,21,21,21,21
2021-07-18,202129,13,13,13,13
2021-07-25,202130,18,18,18,18
2021-08-01,202131,14,14,14,14
2021-08-08,202132,13,13,13,13
2021-08-15,202133,19,19,19,19
2021-08-22,202134,10,10,10,10
2021-08-29,202135,15,15,15,15
2021-09-05,202136,17,17,17,17
2021-09-12,202137,16,16,16,16
2021-09-19,202138,20,20,20,20
2021-09-26,202139,11,11,11,11
2021-10-03,202140,11,11,11,11
2021-10-10,202141,18,18,18,18
2021-10-17,202142,3,3,3,3
2021-10-24,202143,10,10,10,10
2021-10-31,202144,18,18,18,18
2021-11-07,202145,12,12,12,12
2021-11-14,202146,23,23,23,23
2021-11-21,202147,21,21,21,21
2021-11-28,202148,23,23,23,23
2021-12-05,202149,41,41,41,41
2021-12-12,202150,30,30,30,30
2021-12-19,202151,12,12,12,12
2021-12-26,202152,23,23,23,23
2022-01-02,202201,58,58,58,58
2022-01-09,202202,143,143,143,143
2022-01-16,202203,79,79,79,79
2022-01-23,202204,68,68,68,68
2022-01-30,202205,88,88,88,88
2022-02-06,202206,134,134,134,134
2022-02-13,202207,149,149,149,149
2022-02-20,202208,143,143,143,143
2022-02-27,202209,241,241,241,241
2022-03-06,202210,306,306,306,306
2022-03-13,202211,307,307,307,307
2022-03-20,202212,337,337,337,337
2022-03-27,202213,361,361,361,361
2022-04-03,202214,357,357,357,357
2022-04-10,202215,283,283,283,283
2022-04-17,202216,354,354,354,354
2022-04-24,202217,489,489,489,489
2022-05-01,202218,532,532,532,532
2022-05-08,202219,448,448,448,448
2022-05-15,202220,473,473,473,473
2022-05-22,202221,393,393,393,393
2022-05-29,202222,456,456,456,456
2022-06-05,202223,348,348,348,348
2022-06-12,202224,328,328,328,328
2022-06-19,202225,342,342,342,342
2022-06-26,202226,300,300,300,300
2022-07-03,202227,309,309,309,309
2022-07-10,202228,301,301,301,301
2022-07-17,202229,219,219,219,219
2022-07-24,202230,186,186,186,186
2022-07-31,202231,171,171,171,171
2022-08-07,202232,186,186,186,186
2022-08-14,202233,209,209,209,209
2022-08-21,202234,187,187,187,187
2022-08-28,202235,132,132,132,132
2022-09-04,202236,147,147,147,147
2022-09-11,202237,125,125,125,125
2022-09-18,202238,137,137,137,137
2022-09-25,202239,110,110,110,110
2022-10-02,202240,145,145,145,145
2022-10-09,202241,104,104,104,104
2022-10-16,202242,112,112,112,112
2022-10-23,202243,63,63,63,63
2022-10-30,202244,106,106,106,106
2022-11-06,202245,109,109,109,109
2022-11-13,202246,111,111,111,111
2022-11-20,202247,84,84,84,84
2022-11-27,202248,69,69,69,69
2022-12-04,202249,86,86,86,86
2022-12-11,202250,67,67,67,67
2022-12-18,202251,62,62,62,62
2022-12-25,202252,90,90,90,90
2023-01-01,202301,160,160,160,160
2023-01-08,202302,156,156,156,156
2023-01-15,202303,182,182,182,182
2023-01-22,202304,190,190,190,190
2023-01-29,202305,245,245,245,245
2023-02-05,202306,289,289,289,289
2023-02-12,202307,240,240,240,240
2023-02-19,202308,356,356,356,356
2023-02-26,202309,497,497,497,497
2023-03-05,202310,556,556,556,556
2023-03-12,202311,508,508,508,508
2023-03-19,202312,457,457,457,457
2023-03-26,202313,368,368,368,368
2023-04-02,202314,288,288,288,288
2023-04-09,202315,322,322,322,322
2023-04-16,202316,345,345,345,345
2023-04-23,202317,244,244,244,244
2023-04-30,202318,278,278,278,278
2023-05-07,202319,226,226,226,226
2023-05-14,202320,203,203,203,203
2023-05-21,202321,163,163,163,163
2023-05-28,202322,170,170,170,170
2023-06-04,202323,143,143,143,143
2023-06-11,202324,150,150,150,150
2023-06-18,202325,163,163,163,163
2023-06-25,202326,167,167,167,167
2023-07-02,202327,166,166,166,166
2023-07-09,202328,142,142,142,142
2023-07-16,202329,88,88,88,88
2023-07-23,202330,101,101,101,101
2023-07-30,202331,107,107,107,107
2023-08-06,202332,70,70,70,70
2023-08-13,202333,78,78,78,78
2023-08-20,202334,55,55,55,55
2023-08-27,202335,57,57,57,57
2023-09-03,202336,44,44,44,44
2023-09-10,202337,49,49,49,49
2023-09-17,202338,48,48,48,48
2023-09-24,202339,32,32,32,32
2023-10-01,202340,31,31,31,31
2023-10-08,202341,34,34,34,34
2023-10-15,202342,34,34,34,34
2023-10-22,202343,18,18,18,18
2023-10-29,202344,22,22,22,22
2023-11-05,202345,33,33,33,33
2023-11-12,202346,25,25,25,25
2023-11-19,202347,36,36,36,36
2023-11-26,202348,44,44,44,44
2023-12-03,202349,13,13,13,13
2023-12-10,202350,18,18,18,18
2023-12-17,202351,5,5,5,5
2023-12-24,202352,22,22,22,22
2023-12-31,202401,76,76,76,76
2024-01-07,202402,116,116,116,116
2024-01-14,202403,128,128,128,128
2024-01-21,202404,137,137,137,137
2024-01-28,202405,221,221,221,221
2024-02-04,202406,411,411,411,411
2024-02-11,202407,665,665,665,NA
2024-02-18,202408,1026,1033,1026,NA
2024-02-25,202409,1304,1327,1304,NA
2024-03-03,202410,1399,1455,1401,NA
2024-03-10,202411,1591,1711,1601,NA
2024-03-17,202412,1531,1757,1557,NA
2024-03-24,202413,1136,1535.5,1198,NA
2024-03-31,202414,1222,1941,1341,NA
2024-04-07,202415,769,2067,986,NA
2024-04-14,202416,139,2290,442,NA
