"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1200013,14,14,14,14
2017-12-31,201801,1200054,1,1,1,1
2017-12-31,201801,1200104,12,12,12,12
2017-12-31,201801,1200138,0,0,0,0
2017-12-31,201801,1200179,0,0,0,0
2017-12-31,201801,1200203,147,147,147,147
2017-12-31,201801,1200252,1,1,1,1
2017-12-31,201801,1200302,0,0,0,0
2017-12-31,201801,1200328,0,0,0,0
2017-12-31,201801,1200336,7,7,7,7
2017-12-31,201801,1200344,1,1,1,1
2017-12-31,201801,1200351,0,0,0,0
2017-12-31,201801,1200385,18,18,18,18
2017-12-31,201801,1200393,0,0,0,0
2017-12-31,201801,1200401,126,126,126,126
2017-12-31,201801,1200427,2,2,2,2
2017-12-31,201801,1200435,0,0,0,0
2017-12-31,201801,1200450,5,5,5,5
2017-12-31,201801,1200500,18,18,18,18
2017-12-31,201801,1200609,4,4,4,4
2017-12-31,201801,1200708,9,9,9,9
2017-12-31,201801,1200807,1,1,1,1
2018-01-07,201802,1200013,9,9,9,9
2018-01-07,201802,1200054,0,0,0,0
2018-01-07,201802,1200104,1,1,1,1
2018-01-07,201802,1200138,0,0,0,0
2018-01-07,201802,1200179,0,0,0,0
2018-01-07,201802,1200203,188,188,188,188
2018-01-07,201802,1200252,0,0,0,0
2018-01-07,201802,1200302,0,0,0,0
2018-01-07,201802,1200328,0,0,0,0
2018-01-07,201802,1200336,0,0,0,0
2018-01-07,201802,1200344,0,0,0,0
2018-01-07,201802,1200351,0,0,0,0
2018-01-07,201802,1200385,9,9,9,9
2018-01-07,201802,1200393,0,0,0,0
2018-01-07,201802,1200401,74,74,74,74
2018-01-07,201802,1200427,4,4,4,4
2018-01-07,201802,1200435,0,0,0,0
2018-01-07,201802,1200450,2,2,2,2
2018-01-07,201802,1200500,0,0,0,0
2018-01-07,201802,1200609,0,0,0,0
2018-01-07,201802,1200708,2,2,2,2
2018-01-07,201802,1200807,0,0,0,0
2018-01-14,201803,1200013,4,4,4,4
2018-01-14,201803,1200054,0,0,0,0
2018-01-14,201803,1200104,4,4,4,4
2018-01-14,201803,1200138,0,0,0,0
2018-01-14,201803,1200179,0,0,0,0
2018-01-14,201803,1200203,183,183,183,183
2018-01-14,201803,1200252,2,2,2,2
2018-01-14,201803,1200302,0,0,0,0
2018-01-14,201803,1200328,0,0,0,0
2018-01-14,201803,1200336,0,0,0,0
2018-01-14,201803,1200344,1,1,1,1
2018-01-14,201803,1200351,0,0,0,0
2018-01-14,201803,1200385,13,13,13,13
2018-01-14,201803,1200393,0,0,0,0
2018-01-14,201803,1200401,90,90,90,90
2018-01-14,201803,1200427,3,3,3,3
2018-01-14,201803,1200435,0,0,0,0
