"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,2300101,0,0,0,0
2017-12-31,201801,2300150,0,0,0,0
2017-12-31,201801,2300200,0,0,0,0
2017-12-31,201801,2300309,0,0,0,0
2017-12-31,201801,2300408,0,0,0,0
2017-12-31,201801,2300507,0,0,0,0
2017-12-31,201801,2300606,0,0,0,0
2017-12-31,201801,2300705,0,0,0,0
2017-12-31,201801,2300754,0,0,0,0
2017-12-31,201801,2300804,0,0,0,0
2017-12-31,201801,2300903,0,0,0,0
2017-12-31,201801,2301000,0,0,0,0
2017-12-31,201801,2301109,3,3,3,3
2017-12-31,201801,2301208,2,2,2,2
2017-12-31,201801,2301257,0,0,0,0
2017-12-31,201801,2301307,0,0,0,0
2017-12-31,201801,2301406,0,0,0,0
2017-12-31,201801,2301505,0,0,0,0
2017-12-31,201801,2301604,0,0,0,0
2017-12-31,201801,2301703,0,0,0,0
2017-12-31,201801,2301802,1,1,1,1
2017-12-31,201801,2301851,0,0,0,0
2017-12-31,201801,2301901,1,1,1,1
2017-12-31,201801,2301950,0,0,0,0
2017-12-31,201801,2302008,0,0,0,0
2017-12-31,201801,2302057,0,0,0,0
2017-12-31,201801,2302107,1,1,1,1
2017-12-31,201801,2302206,0,0,0,0
2017-12-31,201801,2302305,0,0,0,0
2017-12-31,201801,2302404,1,1,1,1
2017-12-31,201801,2302503,2,2,2,2
2017-12-31,201801,2302602,0,0,0,0
2017-12-31,201801,2302701,2,2,2,2
2017-12-31,201801,2302800,0,0,0,0
2017-12-31,201801,2302909,0,0,0,0
2017-12-31,201801,2303006,0,0,0,0
2017-12-31,201801,2303105,0,0,0,0
2017-12-31,201801,2303204,0,0,0,0
2017-12-31,201801,2303303,1,1,1,1
2017-12-31,201801,2303402,0,0,0,0
2017-12-31,201801,2303501,1,1,1,1
2017-12-31,201801,2303600,1,1,1,1
2017-12-31,201801,2303659,0,0,0,0
2017-12-31,201801,2303709,6,6,6,6
2017-12-31,201801,2303808,0,0,0,0
2017-12-31,201801,2303907,0,0,0,0
2017-12-31,201801,2303931,0,0,0,0
2017-12-31,201801,2303956,0,0,0,0
2017-12-31,201801,2304004,0,0,0,0
2017-12-31,201801,2304103,2,2,2,2
2017-12-31,201801,2304202,5,5,5,5
2017-12-31,201801,2304236,0,0,0,0
2017-12-31,201801,2304251,0,0,0,0
2017-12-31,201801,2304269,0,0,0,0
2017-12-31,201801,2304277,1,1,1,1
2017-12-31,201801,2304285,0,0,0,0
2017-12-31,201801,2304301,1,1,1,1
2017-12-31,201801,2304350,0,0,0,0
2017-12-31,201801,2304400,115,115,115,115
2017-12-31,201801,2304459,0,0,0,0
2017-12-31,201801,2304509,0,0,0,0
2017-12-31,201801,2304608,0,0,0,0
2017-12-31,201801,2304657,0,0,0,0
2017-12-31,201801,2304707,0,0,0,0
2017-12-31,201801,2304806,0,0,0,0
2017-12-31,201801,2304905,0,0,0,0
2017-12-31,201801,2304954,0,0,0,0
2017-12-31,201801,2305001,0,0,0,0
2017-12-31,201801,2305100,0,0,0,0
2017-12-31,201801,2305209,0,0,0,0
2017-12-31,201801,2305233,3,3,3,3
2017-12-31,201801,2305266,0,0,0,0
2017-12-31,201801,2305308,1,1,1,1
2017-12-31,201801,2305332,0,0,0,0
2017-12-31,201801,2305357,0,0,0,0
2017-12-31,201801,2305407,0,0,0,0
2017-12-31,201801,2305506,1,1,1,1
2017-12-31,201801,2305605,0,0,0,0
2017-12-31,201801,2305654,0,0,0,0
2017-12-31,201801,2305704,0,0,0,0
2017-12-31,201801,2305803,0,0,0,0
2017-12-31,201801,2305902,0,0,0,0
2017-12-31,201801,2306009,0,0,0,0
2017-12-31,201801,2306108,0,0,0,0
