"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,5200050,0,0,0,0
2017-12-31,201801,5200100,0,0,0,0
2017-12-31,201801,5200134,9,9,9,9
2017-12-31,201801,5200159,0,0,0,0
2017-12-31,201801,5200175,0,0,0,0
2017-12-31,201801,5200209,0,0,0,0
2017-12-31,201801,5200258,7,7,7,7
2017-12-31,201801,5200308,0,0,0,0
2017-12-31,201801,5200506,0,0,0,0
2017-12-31,201801,5200555,1,1,1,1
2017-12-31,201801,5200605,1,1,1,1
2017-12-31,201801,5200803,0,0,0,0
2017-12-31,201801,5200829,0,0,0,0
2017-12-31,201801,5200852,1,1,1,1
2017-12-31,201801,5200902,1,1,1,1
2017-12-31,201801,5201108,71,71,71,71
2017-12-31,201801,5201207,0,0,0,0
2017-12-31,201801,5201306,0,0,0,0
2017-12-31,201801,5201405,269,269,269,269
2017-12-31,201801,5201454,0,0,0,0
2017-12-31,201801,5201504,1,1,1,1
2017-12-31,201801,5201603,0,0,0,0
2017-12-31,201801,5201702,2,2,2,2
2017-12-31,201801,5201801,9,9,9,9
2017-12-31,201801,5202155,4,4,4,4
2017-12-31,201801,5202353,2,2,2,2
2017-12-31,201801,5202502,0,0,0,0
2017-12-31,201801,5202601,0,0,0,0
2017-12-31,201801,5202809,1,1,1,1
2017-12-31,201801,5203104,0,0,0,0
2017-12-31,201801,5203203,2,2,2,2
2017-12-31,201801,5203302,8,8,8,8
2017-12-31,201801,5203401,10,10,10,10
2017-12-31,201801,5203500,0,0,0,0
2017-12-31,201801,5203559,2,2,2,2
2017-12-31,201801,5203575,2,2,2,2
2017-12-31,201801,5203609,1,1,1,1
2017-12-31,201801,5203807,2,2,2,2
2017-12-31,201801,5203906,0,0,0,0
2017-12-31,201801,5204003,0,0,0,0
2017-12-31,201801,5204102,0,0,0,0
2017-12-31,201801,5204201,0,0,0,0
2017-12-31,201801,5204250,2,2,2,2
2017-12-31,201801,5204300,0,0,0,0
2017-12-31,201801,5204409,7,7,7,7
2017-12-31,201801,5204508,6,6,6,6
2017-12-31,201801,5204557,0,0,0,0
2017-12-31,201801,5204607,0,0,0,0
2017-12-31,201801,5204656,0,0,0,0
2017-12-31,201801,5204706,0,0,0,0
2017-12-31,201801,5204805,0,0,0,0
2017-12-31,201801,5204854,0,0,0,0
2017-12-31,201801,5204904,2,2,2,2
2017-12-31,201801,5204953,2,2,2,2
2017-12-31,201801,5205000,1,1,1,1
2017-12-31,201801,5205059,0,0,0,0
2017-12-31,201801,5205109,10,10,10,10
2017-12-31,201801,5205208,1,1,1,1
2017-12-31,201801,5205307,0,0,0,0
2017-12-31,201801,5205406,12,12,12,12
2017-12-31,201801,5205455,2,2,2,2
2017-12-31,201801,5205471,0,0,0,0
2017-12-31,201801,5205497,0,0,0,0
2017-12-31,201801,5205513,1,1,1,1
2017-12-31,201801,5205521,0,0,0,0
2017-12-31,201801,5205703,2,2,2,2
2017-12-31,201801,5205802,0,0,0,0
2017-12-31,201801,5205901,8,8,8,8
2017-12-31,201801,5206206,3,3,3,3
2017-12-31,201801,5206305,0,0,0,0
2017-12-31,201801,5206404,19,19,19,19
2017-12-31,201801,5206503,0,0,0,0
2017-12-31,201801,5206602,0,0,0,0
2017-12-31,201801,5206701,0,0,0,0
2017-12-31,201801,5206800,0,0,0,0
2017-12-31,201801,5206909,0,0,0,0
2017-12-31,201801,5207105,0,0,0,0
2017-12-31,201801,5207253,7,7,7,7
2017-12-31,201801,5207352,0,0,0,0
2017-12-31,201801,5207402,3,3,3,3
2017-12-31,201801,5207501,0,0,0,0
2017-12-31,201801,5207535,0,0,0,0
2017-12-31,201801,5207600,0,0,0,0
2017-12-31,201801,5207808,11,11,11,11
2017-12-31,201801,5207907,1,1,1,1
2017-12-31,201801,5208004,7,7,7,7
2017-12-31,201801,5208103,0,0,0,0
2017-12-31,201801,5208152,0,0,0,0
2017-12-31,201801,5208301,0,0,0,0
2017-12-31,201801,5208400,0,0,0,0
2017-12-31,201801,5208509,0,0,0,0
2017-12-31,201801,5208608,1,1,1,1
2017-12-31,201801,5208707,602,602,602,602
2017-12-31,201801,5208806,25,25,25,25
2017-12-31,201801,5208905,2,2,2,2
2017-12-31,201801,5209101,3,3,3,3
2017-12-31,201801,5209150,0,0,0,0
2017-12-31,201801,5209200,2,2,2,2
2017-12-31,201801,5209291,0,0,0,0
2017-12-31,201801,5209408,0,0,0,0
