"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1100015,2,2,2,2
2017-12-31,201801,1100023,5,5,5,5
2017-12-31,201801,1100031,0,0,0,0
2017-12-31,201801,1100049,0,0,0,0
2017-12-31,201801,1100056,0,0,0,0
2017-12-31,201801,1100064,3,3,3,3
2017-12-31,201801,1100072,0,0,0,0
2017-12-31,201801,1100080,0,0,0,0
2017-12-31,201801,1100098,0,0,0,0
2017-12-31,201801,1100106,4,4,4,4
2017-12-31,201801,1100114,0,0,0,0
2017-12-31,201801,1100122,4,4,4,4
2017-12-31,201801,1100130,1,1,1,1
2017-12-31,201801,1100148,0,0,0,0
2017-12-31,201801,1100155,0,0,0,0
2017-12-31,201801,1100189,1,1,1,1
2017-12-31,201801,1100205,10,10,10,10
2017-12-31,201801,1100254,1,1,1,1
2017-12-31,201801,1100262,0,0,0,0
2017-12-31,201801,1100288,7,7,7,7
2017-12-31,201801,1100296,0,0,0,0
2017-12-31,201801,1100304,5,5,5,5
2017-12-31,201801,1100320,0,0,0,0
2017-12-31,201801,1100338,0,0,0,0
2017-12-31,201801,1100346,0,0,0,0
2017-12-31,201801,1100379,0,0,0,0
2017-12-31,201801,1100403,1,1,1,1
2017-12-31,201801,1100452,38,38,38,38
2017-12-31,201801,1100502,0,0,0,0
2017-12-31,201801,1100601,0,0,0,0
2017-12-31,201801,1100700,0,0,0,0
2017-12-31,201801,1100809,0,0,0,0
2017-12-31,201801,1100908,0,0,0,0
2017-12-31,201801,1100924,0,0,0,0
2017-12-31,201801,1100940,0,0,0,0
2017-12-31,201801,1101005,0,0,0,0
2017-12-31,201801,1101104,0,0,0,0
2017-12-31,201801,1101203,0,0,0,0
2017-12-31,201801,1101302,0,0,0,0
2017-12-31,201801,1101401,1,1,1,1
2017-12-31,201801,1101435,0,0,0,0
2017-12-31,201801,1101450,0,0,0,0
2017-12-31,201801,1101468,3,3,3,3
2017-12-31,201801,1101476,0,0,0,0
2017-12-31,201801,1101484,1,1,1,1
2017-12-31,201801,1101492,0,0,0,0
2017-12-31,201801,1101500,0,0,0,0
2017-12-31,201801,1101559,0,0,0,0
2017-12-31,201801,1101609,1,1,1,1
2017-12-31,201801,1101708,0,0,0,0
2017-12-31,201801,1101757,0,0,0,0
2017-12-31,201801,1101807,0,0,0,0
2018-01-07,201802,1100015,1,1,1,1
2018-01-07,201802,1100023,1,1,1,1
2018-01-07,201802,1100031,0,0,0,0
2018-01-07,201802,1100049,3,3,3,3
2018-01-07,201802,1100056,0,0,0,0
2018-01-07,201802,1100064,3,3,3,3
2018-01-07,201802,1100072,0,0,0,0
2018-01-07,201802,1100080,0,0,0,0
2018-01-07,201802,1100098,0,0,0,0
2018-01-07,201802,1100106,4,4,4,4
2018-01-07,201802,1100114,0,0,0,0
2018-01-07,201802,1100122,8,8,8,8
2018-01-07,201802,1100130,1,1,1,1
2018-01-07,201802,1100148,0,0,0,0
2018-01-07,201802,1100155,0,0,0,0
2018-01-07,201802,1100189,2,2,2,2
2018-01-07,201802,1100205,14,14,14,14
2018-01-07,201802,1100254,2,2,2,2
2018-01-07,201802,1100262,0,0,0,0
2018-01-07,201802,1100288,7,7,7,7
2018-01-07,201802,1100296,0,0,0,0
2018-01-07,201802,1100304,6,6,6,6
2018-01-07,201802,1100320,2,2,2,2
2018-01-07,201802,1100338,0,0,0,0
2018-01-07,201802,1100346,0,0,0,0
2018-01-07,201802,1100379,0,0,0,0
2018-01-07,201802,1100403,2,2,2,2
2018-01-07,201802,1100452,29,29,29,29
2018-01-07,201802,1100502,1,1,1,1
2018-01-07,201802,1100601,0,0,0,0
2018-01-07,201802,1100700,1,1,1,1
2018-01-07,201802,1100809,2,2,2,2
2018-01-07,201802,1100908,0,0,0,0
2018-01-07,201802,1100924,0,0,0,0
2018-01-07,201802,1100940,0,0,0,0
2018-01-07,201802,1101005,0,0,0,0
2018-01-07,201802,1101104,0,0,0,0
2018-01-07,201802,1101203,0,0,0,0
2018-01-07,201802,1101302,0,0,0,0
2018-01-07,201802,1101401,0,0,0,0
2018-01-07,201802,1101435,0,0,0,0
2018-01-07,201802,1101450,0,0,0,0
2018-01-07,201802,1101468,1,1,1,1
2018-01-07,201802,1101476,0,0,0,0
2018-01-07,201802,1101484,0,0,0,0
2018-01-07,201802,1101492,0,0,0,0
2018-01-07,201802,1101500,5,5,5,5
2018-01-07,201802,1101559,0,0,0,0
2018-01-07,201802,1101609,0,0,0,0
2018-01-07,201802,1101708,0,0,0,0
2018-01-07,201802,1101757,0,0,0,0
2018-01-07,201802,1101807,0,0,0,0
2018-01-14,201803,1100015,6,6,6,6
2018-01-14,201803,1100023,2,2,2,2
2018-01-14,201803,1100031,0,0,0,0
2018-01-14,201803,1100049,1,1,1,1
2018-01-14,201803,1100056,2,2,2,2
2018-01-14,201803,1100064,1,1,1,1
2018-01-14,201803,1100072,0,0,0,0
2018-01-14,201803,1100080,0,0,0,0
2018-01-14,201803,1100098,2,2,2,2
2018-01-14,201803,1100106,3,3,3,3
2018-01-14,201803,1100114,0,0,0,0
2018-01-14,201803,1100122,5,5,5,5
2018-01-14,201803,1100130,2,2,2,2
2018-01-14,201803,1100148,0,0,0,0
2018-01-14,201803,1100155,2,2,2,2
2018-01-14,201803,1100189,5,5,5,5
2018-01-14,201803,1100205,15,15,15,15
2018-01-14,201803,1100254,0,0,0,0
2018-01-14,201803,1100262,0,0,0,0
2018-01-14,201803,1100288,3,3,3,3
2018-01-14,201803,1100296,0,0,0,0
2018-01-14,201803,1100304,3,3,3,3
2018-01-14,201803,1100320,0,0,0,0
2018-01-14,201803,1100338,0,0,0,0
2018-01-14,201803,1100346,0,0,0,0
2018-01-14,201803,1100379,3,3,3,3
2018-01-14,201803,1100403,2,2,2,2
2018-01-14,201803,1100452,12,12,12,12
2018-01-14,201803,1100502,0,0,0,0
2018-01-14,201803,1100601,0,0,0,0
2018-01-14,201803,1100700,1,1,1,1
2018-01-14,201803,1100809,1,1,1,1
2018-01-14,201803,1100908,0,0,0,0
2018-01-14,201803,1100924,0,0,0,0
2018-01-14,201803,1100940,1,1,1,1
2018-01-14,201803,1101005,0,0,0,0
2018-01-14,201803,1101104,0,0,0,0
2018-01-14,201803,1101203,0,0,0,0
2018-01-14,201803,1101302,1,1,1,1
2018-01-14,201803,1101401,0,0,0,0
2018-01-14,201803,1101435,0,0,0,0
2018-01-14,201803,1101450,0,0,0,0
2018-01-14,201803,1101468,2,2,2,2
2018-01-14,201803,1101476,0,0,0,0
2018-01-14,201803,1101484,0,0,0,0
2018-01-14,201803,1101492,0,0,0,0
2018-01-14,201803,1101500,16,16,16,16
2018-01-14,201803,1101559,0,0,0,0
2018-01-14,201803,1101609,1,1,1,1
2018-01-14,201803,1101708,0,0,0,0
2018-01-14,201803,1101757,0,0,0,0
2018-01-14,201803,1101807,0,0,0,0
2018-01-21,201804,1100015,0,0,0,0
2018-01-21,201804,1100023,0,0,0,0
2018-01-21,201804,1100031,0,0,0,0
2018-01-21,201804,1100049,0,0,0,0
2018-01-21,201804,1100056,0,0,0,0
2018-01-21,201804,1100064,3,3,3,3
2018-01-21,201804,1100072,0,0,0,0
2018-01-21,201804,1100080,0,0,0,0
2018-01-21,201804,1100098,2,2,2,2
2018-01-21,201804,1100106,5,5,5,5
2018-01-21,201804,1100114,0,0,0,0
2018-01-21,201804,1100122,8,8,8,8
2018-01-21,201804,1100130,0,0,0,0
2018-01-21,201804,1100148,0,0,0,0
2018-01-21,201804,1100155,0,0,0,0
2018-01-21,201804,1100189,1,1,1,1
2018-01-21,201804,1100205,17,17,17,17
2018-01-21,201804,1100254,0,0,0,0
2018-01-21,201804,1100262,0,0,0,0
2018-01-21,201804,1100288,7,7,7,7
2018-01-21,201804,1100296,0,0,0,0
2018-01-21,201804,1100304,4,4,4,4
2018-01-21,201804,1100320,0,0,0,0
2018-01-21,201804,1100338,0,0,0,0
2018-01-21,201804,1100346,0,0,0,0
2018-01-21,201804,1100379,2,2,2,2
2018-01-21,201804,1100403,1,1,1,1
2018-01-21,201804,1100452,8,8,8,8
2018-01-21,201804,1100502,0,0,0,0
2018-01-21,201804,1100601,0,0,0,0
2018-01-21,201804,1100700,0,0,0,0
2018-01-21,201804,1100809,1,1,1,1
2018-01-21,201804,1100908,1,1,1,1
2018-01-21,201804,1100924,0,0,0,0
2018-01-21,201804,1100940,0,0,0,0
2018-01-21,201804,1101005,0,0,0,0
2018-01-21,201804,1101104,0,0,0,0
2018-01-21,201804,1101203,0,0,0,0
2018-01-21,201804,1101302,0,0,0,0
2018-01-21,201804,1101401,2,2,2,2
2018-01-21,201804,1101435,0,0,0,0
2018-01-21,201804,1101450,0,0,0,0
2018-01-21,201804,1101468,2,2,2,2
2018-01-21,201804,1101476,0,0,0,0
2018-01-21,201804,1101484,0,0,0,0
2018-01-21,201804,1101492,0,0,0,0
2018-01-21,201804,1101500,4,4,4,4
2018-01-21,201804,1101559,0,0,0,0
2018-01-21,201804,1101609,2,2,2,2
2018-01-21,201804,1101708,0,0,0,0
2018-01-21,201804,1101757,0,0,0,0
2018-01-21,201804,1101807,2,2,2,2
2018-01-28,201805,1100015,3,3,3,3
2018-01-28,201805,1100023,0,0,0,0
2018-01-28,201805,1100031,2,2,2,2
2018-01-28,201805,1100049,3,3,3,3
2018-01-28,201805,1100056,2,2,2,2
2018-01-28,201805,1100064,0,0,0,0
2018-01-28,201805,1100072,0,0,0,0
2018-01-28,201805,1100080,0,0,0,0
2018-01-28,201805,1100098,0,0,0,0
2018-01-28,201805,1100106,6,6,6,6
2018-01-28,201805,1100114,0,0,0,0
2018-01-28,201805,1100122,5,5,5,5
2018-01-28,201805,1100130,0,0,0,0
2018-01-28,201805,1100148,1,1,1,1
2018-01-28,201805,1100155,3,3,3,3
2018-01-28,201805,1100189,2,2,2,2
2018-01-28,201805,1100205,24,24,24,24
2018-01-28,201805,1100254,2,2,2,2
2018-01-28,201805,1100262,0,0,0,0
2018-01-28,201805,1100288,4,4,4,4
2018-01-28,201805,1100296,1,1,1,1
2018-01-28,201805,1100304,3,3,3,3
2018-01-28,201805,1100320,0,0,0,0
2018-01-28,201805,1100338,0,0,0,0
2018-01-28,201805,1100346,0,0,0,0
2018-01-28,201805,1100379,0,0,0,0
2018-01-28,201805,1100403,0,0,0,0
2018-01-28,201805,1100452,6,6,6,6
2018-01-28,201805,1100502,1,1,1,1
2018-01-28,201805,1100601,0,0,0,0
2018-01-28,201805,1100700,0,0,0,0
2018-01-28,201805,1100809,1,1,1,1
2018-01-28,201805,1100908,0,0,0,0
2018-01-28,201805,1100924,0,0,0,0
2018-01-28,201805,1100940,1,1,1,1
2018-01-28,201805,1101005,0,0,0,0
