"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1700251,1,1,1,1
2017-12-31,201801,1700301,0,0,0,0
2017-12-31,201801,1700350,0,0,0,0
2017-12-31,201801,1700400,0,0,0,0
2017-12-31,201801,1700707,0,0,0,0
2017-12-31,201801,1701002,1,1,1,1
2017-12-31,201801,1701051,0,0,0,0
2017-12-31,201801,1701101,0,0,0,0
2017-12-31,201801,1701309,0,0,0,0
2017-12-31,201801,1701903,0,0,0,0
2017-12-31,201801,1702000,1,1,1,1
2017-12-31,201801,1702109,21,21,21,21
2017-12-31,201801,1702158,0,0,0,0
2017-12-31,201801,1702208,4,4,4,4
2017-12-31,201801,1702307,0,0,0,0
2017-12-31,201801,1702406,0,0,0,0
2017-12-31,201801,1702554,1,1,1,1
2017-12-31,201801,1702703,0,0,0,0
2017-12-31,201801,1702901,0,0,0,0
2017-12-31,201801,1703008,1,1,1,1
2017-12-31,201801,1703057,1,1,1,1
2017-12-31,201801,1703073,0,0,0,0
2017-12-31,201801,1703107,0,0,0,0
2017-12-31,201801,1703206,1,1,1,1
2017-12-31,201801,1703305,0,0,0,0
2017-12-31,201801,1703602,0,0,0,0
2017-12-31,201801,1703701,0,0,0,0
2017-12-31,201801,1703800,0,0,0,0
2017-12-31,201801,1703826,0,0,0,0
2017-12-31,201801,1703842,1,1,1,1
2017-12-31,201801,1703867,0,0,0,0
2017-12-31,201801,1703883,0,0,0,0
2017-12-31,201801,1703891,1,1,1,1
2017-12-31,201801,1703909,0,0,0,0
2017-12-31,201801,1704105,0,0,0,0
2017-12-31,201801,1704600,0,0,0,0
2017-12-31,201801,1705102,0,0,0,0
2017-12-31,201801,1705508,1,1,1,1
2017-12-31,201801,1705557,0,0,0,0
2017-12-31,201801,1705607,0,0,0,0
2017-12-31,201801,1706001,0,0,0,0
2017-12-31,201801,1706100,1,1,1,1
2017-12-31,201801,1706258,0,0,0,0
2017-12-31,201801,1706506,0,0,0,0
2017-12-31,201801,1707009,5,5,5,5
2017-12-31,201801,1707108,0,0,0,0
2017-12-31,201801,1707207,0,0,0,0
2017-12-31,201801,1707306,0,0,0,0
2017-12-31,201801,1707405,0,0,0,0
2017-12-31,201801,1707553,0,0,0,0
2017-12-31,201801,1707652,0,0,0,0
2017-12-31,201801,1707702,0,0,0,0
2017-12-31,201801,1708205,1,1,1,1
2017-12-31,201801,1708254,0,0,0,0
2017-12-31,201801,1708304,0,0,0,0
2017-12-31,201801,1709005,0,0,0,0
2017-12-31,201801,1709302,4,4,4,4
2017-12-31,201801,1709500,3,3,3,3
2017-12-31,201801,1709807,1,1,1,1
2017-12-31,201801,1710508,0,0,0,0
2017-12-31,201801,1710706,0,0,0,0
2017-12-31,201801,1710904,0,0,0,0
2017-12-31,201801,1711100,0,0,0,0
2017-12-31,201801,1711506,0,0,0,0
2017-12-31,201801,1711803,0,0,0,0
2017-12-31,201801,1711902,0,0,0,0
2017-12-31,201801,1711951,0,0,0,0
2017-12-31,201801,1712009,0,0,0,0
2017-12-31,201801,1712157,0,0,0,0
2017-12-31,201801,1712405,0,0,0,0
2017-12-31,201801,1712454,0,0,0,0
2017-12-31,201801,1712504,0,0,0,0
2017-12-31,201801,1712702,0,0,0,0
2017-12-31,201801,1712801,0,0,0,0
2017-12-31,201801,1713205,6,6,6,6
2017-12-31,201801,1713304,0,0,0,0
2017-12-31,201801,1713601,2,2,2,2
2017-12-31,201801,1713700,0,0,0,0
2017-12-31,201801,1713809,0,0,0,0
2017-12-31,201801,1713957,0,0,0,0
2017-12-31,201801,1714203,1,1,1,1
2017-12-31,201801,1714302,0,0,0,0
2017-12-31,201801,1714880,0,0,0,0
2017-12-31,201801,1715002,0,0,0,0
2017-12-31,201801,1715101,0,0,0,0
2017-12-31,201801,1715150,0,0,0,0
2017-12-31,201801,1715259,0,0,0,0
2017-12-31,201801,1715507,0,0,0,0
2017-12-31,201801,1715705,0,0,0,0
2017-12-31,201801,1715754,0,0,0,0
2017-12-31,201801,1716109,8,8,8,8
2017-12-31,201801,1716208,3,3,3,3
2017-12-31,201801,1716307,0,0,0,0
2017-12-31,201801,1716505,0,0,0,0
2017-12-31,201801,1716604,0,0,0,0
2017-12-31,201801,1716653,0,0,0,0
2017-12-31,201801,1716703,0,0,0,0
2017-12-31,201801,1717008,1,1,1,1
2017-12-31,201801,1717206,0,0,0,0
2017-12-31,201801,1717503,1,1,1,1
2017-12-31,201801,1717800,0,0,0,0
2017-12-31,201801,1717909,2,2,2,2
2017-12-31,201801,1718006,0,0,0,0
2017-12-31,201801,1718204,56,56,56,56
2017-12-31,201801,1718303,0,0,0,0
2017-12-31,201801,1718402,0,0,0,0
2017-12-31,201801,1718451,0,0,0,0
2017-12-31,201801,1718501,0,0,0,0
2017-12-31,201801,1718550,0,0,0,0
2017-12-31,201801,1718659,0,0,0,0
2017-12-31,201801,1718709,1,1,1,1
2017-12-31,201801,1718758,0,0,0,0
2017-12-31,201801,1718808,1,1,1,1
2017-12-31,201801,1718840,0,0,0,0
2017-12-31,201801,1718865,0,0,0,0
2017-12-31,201801,1718881,0,0,0,0
2017-12-31,201801,1718899,0,0,0,0
2017-12-31,201801,1718907,0,0,0,0
2017-12-31,201801,1719004,0,0,0,0
2017-12-31,201801,1720002,0,0,0,0
2017-12-31,201801,1720101,0,0,0,0
2017-12-31,201801,1720150,0,0,0,0
2017-12-31,201801,1720200,0,0,0,0
2017-12-31,201801,1720259,0,0,0,0
2017-12-31,201801,1720309,0,0,0,0
2017-12-31,201801,1720499,0,0,0,0
2017-12-31,201801,1720655,0,0,0,0
2017-12-31,201801,1720804,1,1,1,1
2017-12-31,201801,1720853,0,0,0,0
2017-12-31,201801,1720903,0,0,0,0
2017-12-31,201801,1720937,0,0,0,0
2017-12-31,201801,1720978,1,1,1,1
2017-12-31,201801,1721000,134,134,134,134
2017-12-31,201801,1721109,0,0,0,0
2017-12-31,201801,1721208,1,1,1,1
2017-12-31,201801,1721257,0,0,0,0
2017-12-31,201801,1721307,0,0,0,0
2017-12-31,201801,1722081,0,0,0,0
2017-12-31,201801,1722107,0,0,0,0
2018-01-07,201802,1700251,0,0,0,0
2018-01-07,201802,1700301,0,0,0,0
2018-01-07,201802,1700350,0,0,0,0
2018-01-07,201802,1700400,0,0,0,0
2018-01-07,201802,1700707,0,0,0,0
2018-01-07,201802,1701002,0,0,0,0
2018-01-07,201802,1701051,0,0,0,0
2018-01-07,201802,1701101,0,0,0,0
2018-01-07,201802,1701309,0,0,0,0
2018-01-07,201802,1701903,0,0,0,0
2018-01-07,201802,1702000,0,0,0,0
2018-01-07,201802,1702109,21,21,21,21
2018-01-07,201802,1702158,1,1,1,1
2018-01-07,201802,1702208,3,3,3,3
2018-01-07,201802,1702307,0,0,0,0
2018-01-07,201802,1702406,0,0,0,0
2018-01-07,201802,1702554,2,2,2,2
2018-01-07,201802,1702703,0,0,0,0
2018-01-07,201802,1702901,0,0,0,0
2018-01-07,201802,1703008,0,0,0,0
2018-01-07,201802,1703057,0,0,0,0
2018-01-07,201802,1703073,0,0,0,0
2018-01-07,201802,1703107,0,0,0,0
2018-01-07,201802,1703206,0,0,0,0
2018-01-07,201802,1703305,0,0,0,0
2018-01-07,201802,1703602,0,0,0,0
2018-01-07,201802,1703701,0,0,0,0
2018-01-07,201802,1703800,0,0,0,0
2018-01-07,201802,1703826,0,0,0,0
2018-01-07,201802,1703842,0,0,0,0
2018-01-07,201802,1703867,0,0,0,0
2018-01-07,201802,1703883,0,0,0,0
2018-01-07,201802,1703891,2,2,2,2
2018-01-07,201802,1703909,0,0,0,0
2018-01-07,201802,1704105,0,0,0,0
2018-01-07,201802,1704600,0,0,0,0
2018-01-07,201802,1705102,0,0,0,0
2018-01-07,201802,1705508,2,2,2,2
2018-01-07,201802,1705557,3,3,3,3
2018-01-07,201802,1705607,0,0,0,0
2018-01-07,201802,1706001,0,0,0,0
2018-01-07,201802,1706100,0,0,0,0
2018-01-07,201802,1706258,0,0,0,0
2018-01-07,201802,1706506,0,0,0,0
2018-01-07,201802,1707009,2,2,2,2
2018-01-07,201802,1707108,0,0,0,0
2018-01-07,201802,1707207,1,1,1,1
2018-01-07,201802,1707306,0,0,0,0
2018-01-07,201802,1707405,0,0,0,0
2018-01-07,201802,1707553,0,0,0,0
2018-01-07,201802,1707652,0,0,0,0
2018-01-07,201802,1707702,1,1,1,1
2018-01-07,201802,1708205,0,0,0,0
2018-01-07,201802,1708254,0,0,0,0
2018-01-07,201802,1708304,0,0,0,0
2018-01-07,201802,1709005,0,0,0,0
2018-01-07,201802,1709302,1,1,1,1
2018-01-07,201802,1709500,6,6,6,6
2018-01-07,201802,1709807,0,0,0,0
2018-01-07,201802,1710508,0,0,0,0
2018-01-07,201802,1710706,0,0,0,0
2018-01-07,201802,1710904,0,0,0,0
2018-01-07,201802,1711100,0,0,0,0
2018-01-07,201802,1711506,0,0,0,0
2018-01-07,201802,1711803,0,0,0,0
2018-01-07,201802,1711902,0,0,0,0
2018-01-07,201802,1711951,0,0,0,0
2018-01-07,201802,1712009,0,0,0,0
2018-01-07,201802,1712157,0,0,0,0
2018-01-07,201802,1712405,0,0,0,0
2018-01-07,201802,1712454,0,0,0,0
2018-01-07,201802,1712504,0,0,0,0
2018-01-07,201802,1712702,0,0,0,0
2018-01-07,201802,1712801,0,0,0,0
2018-01-07,201802,1713205,2,2,2,2
2018-01-07,201802,1713304,0,0,0,0
2018-01-07,201802,1713601,0,0,0,0
2018-01-07,201802,1713700,0,0,0,0
2018-01-07,201802,1713809,0,0,0,0
2018-01-07,201802,1713957,0,0,0,0
2018-01-07,201802,1714203,1,1,1,1
2018-01-07,201802,1714302,0,0,0,0
2018-01-07,201802,1714880,1,1,1,1
2018-01-07,201802,1715002,0,0,0,0
2018-01-07,201802,1715101,0,0,0,0
2018-01-07,201802,1715150,0,0,0,0
2018-01-07,201802,1715259,0,0,0,0
2018-01-07,201802,1715507,0,0,0,0
2018-01-07,201802,1715705,0,0,0,0
2018-01-07,201802,1715754,0,0,0,0
2018-01-07,201802,1716109,5,5,5,5
2018-01-07,201802,1716208,0,0,0,0
2018-01-07,201802,1716307,0,0,0,0
2018-01-07,201802,1716505,0,0,0,0
2018-01-07,201802,1716604,0,0,0,0
2018-01-07,201802,1716653,0,0,0,0
2018-01-07,201802,1716703,0,0,0,0
2018-01-07,201802,1717008,0,0,0,0
2018-01-07,201802,1717206,1,1,1,1
2018-01-07,201802,1717503,1,1,1,1
2018-01-07,201802,1717800,0,0,0,0
2018-01-07,201802,1717909,0,0,0,0
2018-01-07,201802,1718006,0,0,0,0
2018-01-07,201802,1718204,4,4,4,4
2018-01-07,201802,1718303,1,1,1,1
2018-01-07,201802,1718402,1,1,1,1
2018-01-07,201802,1718451,1,1,1,1
2018-01-07,201802,1718501,0,0,0,0
2018-01-07,201802,1718550,0,0,0,0
2018-01-07,201802,1718659,0,0,0,0
2018-01-07,201802,1718709,0,0,0,0
2018-01-07,201802,1718758,0,0,0,0
2018-01-07,201802,1718808,0,0,0,0
2018-01-07,201802,1718840,0,0,0,0
2018-01-07,201802,1718865,0,0,0,0
2018-01-07,201802,1718881,0,0,0,0
2018-01-07,201802,1718899,0,0,0,0
2018-01-07,201802,1718907,0,0,0,0
2018-01-07,201802,1719004,0,0,0,0
2018-01-07,201802,1720002,0,0,0,0
2018-01-07,201802,1720101,0,0,0,0
2018-01-07,201802,1720150,0,0,0,0
2018-01-07,201802,1720200,0,0,0,0
2018-01-07,201802,1720259,0,0,0,0
2018-01-07,201802,1720309,0,0,0,0
2018-01-07,201802,1720499,0,0,0,0
2018-01-07,201802,1720655,0,0,0,0
2018-01-07,201802,1720804,1,1,1,1
2018-01-07,201802,1720853,0,0,0,0
2018-01-07,201802,1720903,2,2,2,2
2018-01-07,201802,1720937,0,0,0,0
2018-01-07,201802,1720978,6,6,6,6
2018-01-07,201802,1721000,46,46,46,46
2018-01-07,201802,1721109,1,1,1,1
2018-01-07,201802,1721208,0,0,0,0
2018-01-07,201802,1721257,0,0,0,0
2018-01-07,201802,1721307,0,0,0,0
2018-01-07,201802,1722081,0,0,0,0
2018-01-07,201802,1722107,0,0,0,0
2018-01-14,201803,1700251,1,1,1,1
2018-01-14,201803,1700301,0,0,0,0
2018-01-14,201803,1700350,0,0,0,0
2018-01-14,201803,1700400,0,0,0,0
2018-01-14,201803,1700707,1,1,1,1
2018-01-14,201803,1701002,2,2,2,2
2018-01-14,201803,1701051,0,0,0,0
2018-01-14,201803,1701101,0,0,0,0
2018-01-14,201803,1701309,2,2,2,2
2018-01-14,201803,1701903,0,0,0,0
2018-01-14,201803,1702000,0,0,0,0
2018-01-14,201803,1702109,28,28,28,28
2018-01-14,201803,1702158,0,0,0,0
2018-01-14,201803,1702208,1,1,1,1
2018-01-14,201803,1702307,1,1,1,1
2018-01-14,201803,1702406,0,0,0,0
2018-01-14,201803,1702554,0,0,0,0
2018-01-14,201803,1702703,0,0,0,0
2018-01-14,201803,1702901,0,0,0,0
2018-01-14,201803,1703008,0,0,0,0
2018-01-14,201803,1703057,0,0,0,0
2018-01-14,201803,1703073,0,0,0,0
2018-01-14,201803,1703107,0,0,0,0
2018-01-14,201803,1703206,1,1,1,1
2018-01-14,201803,1703305,0,0,0,0
2018-01-14,201803,1703602,0,0,0,0
2018-01-14,201803,1703701,0,0,0,0
2018-01-14,201803,1703800,0,0,0,0
2018-01-14,201803,1703826,0,0,0,0
2018-01-14,201803,1703842,0,0,0,0
2018-01-14,201803,1703867,2,2,2,2
2018-01-14,201803,1703883,0,0,0,0
2018-01-14,201803,1703891,0,0,0,0
2018-01-14,201803,1703909,0,0,0,0
2018-01-14,201803,1704105,0,0,0,0
2018-01-14,201803,1704600,0,0,0,0
2018-01-14,201803,1705102,0,0,0,0
2018-01-14,201803,1705508,1,1,1,1
2018-01-14,201803,1705557,1,1,1,1
2018-01-14,201803,1705607,1,1,1,1
2018-01-14,201803,1706001,0,0,0,0
2018-01-14,201803,1706100,0,0,0,0
2018-01-14,201803,1706258,0,0,0,0
2018-01-14,201803,1706506,0,0,0,0
2018-01-14,201803,1707009,2,2,2,2
2018-01-14,201803,1707108,0,0,0,0
2018-01-14,201803,1707207,0,0,0,0
2018-01-14,201803,1707306,0,0,0,0
2018-01-14,201803,1707405,0,0,0,0
2018-01-14,201803,1707553,0,0,0,0
2018-01-14,201803,1707652,0,0,0,0
