"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,60,60,60,60
2018-01-07,201802,79,79,79,79
2018-01-14,201803,46,46,46,46
2018-01-21,201804,48,48,48,48
2018-01-28,201805,31,31,31,31
2018-02-04,201806,58,58,58,58
2018-02-11,201807,46,46,46,46
2018-02-18,201808,40,40,40,40
2018-02-25,201809,45,45,45,45
2018-03-04,201810,50,50,50,50
2018-03-11,201811,47,47,47,47
2018-03-18,201812,52,52,52,52
2018-03-25,201813,30,30,30,30
2018-04-01,201814,62,62,62,62
2018-04-04,201815,61,61,61,61
2018-04-15,201816,73,73,73,73
2018-04-22,201817,53,53,53,53
2018-04-29,201818,62,62,62,62
2018-05-06,201819,84,84,84,84
2018-05-13,201820,115,115,115,115
2018-05-20,201821,98,98,98,98
2018-05-27,201822,85,85,85,85
2018-06-03,201823,96,96,96,96
2018-06-10,201824,120,120,120,120
2018-06-17,201825,72,72,72,72
2018-06-24,201826,57,57,57,57
2018-07-01,201827,68,68,68,68
2018-07-08,201828,42,42,42,42
2018-07-15,201829,71,71,71,71
2018-07-22,201830,66,66,66,66
2018-07-29,201831,70,70,70,70
2018-08-05,201832,62,62,62,62
2018-08-12,201833,70,70,70,70
2018-08-19,201834,70,70,70,70
2018-08-26,201835,46,46,46,46
2018-09-02,201836,41,41,41,41
2018-09-09,201837,50,50,50,50
2018-09-16,201838,45,45,45,45
2018-09-23,201839,42,42,42,42
2018-09-30,201840,33,33,33,33
2018-10-07,201841,45,45,45,45
2018-10-14,201842,46,46,46,46
2018-10-21,201843,40,40,40,40
2018-10-28,201844,38,38,38,38
2018-11-04,201845,47,47,47,47
2018-11-11,201846,47,47,47,47
2018-11-18,201847,44,44,44,44
2018-11-25,201848,39,39,39,39
2018-12-02,201849,39,39,39,39
2018-12-09,201850,56,56,56,56
2018-12-16,201851,56,56,56,56
2018-12-23,201852,47,47,47,47
2018-12-30,201901,50,50,50,50
2019-01-06,201902,73,73,73,73
2019-01-13,201903,116,116,116,116
2019-01-20,201904,121,121,121,121
2019-01-27,201905,117,117,117,117
2019-02-03,201906,152,152,152,152
2019-02-10,201907,132,132,132,132
2019-02-17,201908,181,181,181,181
2019-02-24,201909,193,193,193,193
2019-03-03,201910,242,242,242,242
2019-03-10,201911,225,225,225,225
2019-03-17,201912,264,264,264,264
2019-03-24,201913,294,294,294,294
2019-03-31,201914,412,412,412,412
2019-04-07,201915,517,517,517,517
2019-04-14,201916,493,493,493,493
2019-04-21,201917,694,694,694,694
2019-04-28,201918,893,893,893,893
2019-05-05,201919,1097,1097,1097,1097
2019-05-12,201920,1199,1199,1199,1199
2019-05-19,201921,1273,1273,1273,1273
2019-05-26,201922,1365,1365,1365,1365
2019-06-02,201923,1228,1228,1228,1228
2019-06-09,201924,1144,1144,1144,1144
2019-06-16,201925,1083,1083,1083,1083
2019-06-23,201926,1195,1195,1195,1195
2019-06-30,201927,1060,1060,1060,1060
2019-07-07,201928,1172,1172,1172,1172
2019-07-14,201929,1214,1214,1214,1214
2019-07-21,201930,1128,1128,1128,1128
2019-07-28,201931,826,826,826,826
2019-08-04,201932,843,843,843,843
2019-08-11,201933,783,783,783,783
2019-08-18,201934,710,710,710,710
2019-08-25,201935,564,564,564,564
2019-09-01,201936,512,512,512,512
2019-09-08,201937,462,462,462,462
2019-09-15,201938,441,441,441,441
2019-09-22,201939,445,445,445,445
2019-09-29,201940,469,469,469,469
2019-10-06,201941,342,342,342,342
2019-10-13,201942,261,261,261,261
2019-10-20,201943,219,219,219,219
2019-10-27,201944,255,255,255,255
2019-11-03,201945,122,122,122,122
2019-11-10,201946,181,181,181,181
2019-11-17,201947,236,236,236,236
2019-11-24,201948,227,227,227,227
2019-12-01,201949,64,64,64,64
2019-12-08,201950,51,51,51,51
2019-12-15,201951,44,44,44,44
2019-12-22,201952,34,34,34,34
2019-12-29,202001,38,38,38,38
2020-01-05,202002,60,60,60,60
2020-01-12,202003,61,61,61,61
2020-01-19,202004,47,47,47,47
2020-01-26,202005,40,40,40,40
2020-02-02,202006,63,63,63,63
2020-02-09,202007,58,58,58,58
2020-02-16,202008,56,56,56,56
