"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,122,122,122,122
2018-01-07,201802,117,117,117,117
2018-01-14,201803,155,155,155,155
2018-01-21,201804,154,154,154,154
2018-01-28,201805,120,120,120,120
2018-02-04,201806,123,123,123,123
2018-02-11,201807,135,135,135,135
2018-02-18,201808,128,128,128,128
2018-02-25,201809,144,144,144,144
2018-03-04,201810,138,138,138,138
2018-03-11,201811,133,133,133,133
2018-03-18,201812,126,126,126,126
2018-03-25,201813,119,119,119,119
2018-04-01,201814,162,162,162,162
2018-04-04,201815,161,161,161,161
2018-04-15,201816,128,128,128,128
2018-04-22,201817,105,105,105,105
2018-04-29,201818,93,93,93,93
2018-05-06,201819,100,100,100,100
2018-05-13,201820,109,109,109,109
2018-05-20,201821,91,91,91,91
2018-05-27,201822,57,57,57,57
2018-06-03,201823,105,105,105,105
2018-06-10,201824,99,99,99,99
2018-06-17,201825,99,99,99,99
2018-06-24,201826,63,63,63,63
2018-07-01,201827,93,93,93,93
2018-07-08,201828,108,108,108,108
2018-07-15,201829,92,92,92,92
2018-07-22,201830,80,80,80,80
2018-07-29,201831,79,79,79,79
2018-08-05,201832,89,89,89,89
2018-08-12,201833,88,88,88,88
2018-08-19,201834,84,84,84,84
2018-08-26,201835,76,76,76,76
2018-09-02,201836,50,50,50,50
2018-09-09,201837,65,65,65,65
2018-09-16,201838,66,66,66,66
2018-09-23,201839,39,39,39,39
2018-09-30,201840,60,60,60,60
2018-10-07,201841,39,39,39,39
2018-10-14,201842,48,48,48,48
2018-10-21,201843,50,50,50,50
2018-10-28,201844,37,37,37,37
2018-11-04,201845,58,58,58,58
2018-11-11,201846,32,32,32,32
2018-11-18,201847,45,45,45,45
2018-11-25,201848,26,26,26,26
2018-12-02,201849,45,45,45,45
2018-12-09,201850,46,46,46,46
2018-12-16,201851,58,58,58,58
2018-12-23,201852,48,48,48,48
2018-12-30,201901,192,192,192,192
2019-01-06,201902,114,114,114,114
2019-01-13,201903,120,120,120,120
2019-01-20,201904,86,86,86,86
2019-01-27,201905,103,103,103,103
2019-02-03,201906,129,129,129,129
2019-02-10,201907,148,148,148,148
2019-02-17,201908,127,127,127,127
2019-02-24,201909,77,77,77,77
2019-03-03,201910,118,118,118,118
2019-03-10,201911,77,77,77,77
2019-03-17,201912,103,103,103,103
2019-03-24,201913,66,66,66,66
2019-03-31,201914,83,83,83,83
2019-04-07,201915,86,86,86,86
2019-04-14,201916,103,103,103,103
2019-04-21,201917,124,124,124,124
2019-04-28,201918,105,105,105,105
2019-05-05,201919,86,86,86,86
2019-05-12,201920,82,82,82,82
2019-05-19,201921,65,65,65,65
2019-05-26,201922,98,98,98,98
2019-06-02,201923,85,85,85,85
2019-06-09,201924,100,100,100,100
2019-06-16,201925,70,70,70,70
2019-06-23,201926,65,65,65,65
2019-06-30,201927,90,90,90,90
2019-07-07,201928,86,86,86,86
2019-07-14,201929,58,58,58,58
2019-07-21,201930,67,67,67,67
2019-07-28,201931,65,65,65,65
2019-08-04,201932,58,58,58,58
2019-08-11,201933,64,64,64,64
2019-08-18,201934,48,48,48,48
2019-08-25,201935,54,54,54,54
2019-09-01,201936,62,62,62,62
2019-09-08,201937,62,62,62,62
2019-09-15,201938,60,60,60,60
2019-09-22,201939,109,109,109,109
2019-09-29,201940,135,135,135,135
2019-10-06,201941,151,151,151,151
2019-10-13,201942,230,230,230,230
2019-10-20,201943,312,312,312,312
2019-10-27,201944,318,318,318,318
2019-11-03,201945,314,314,314,314
2019-11-10,201946,367,367,367,367
2019-11-17,201947,439,439,439,439
2019-11-24,201948,429,429,429,429
2019-12-01,201949,476,476,476,476
2019-12-08,201950,472,472,472,472
2019-12-15,201951,374,374,374,374
2019-12-22,201952,308,308,308,308
2019-12-29,202001,320,320,320,320
2020-01-05,202002,552,552,552,552
2020-01-12,202003,460,460,460,460
2020-01-19,202004,375,375,375,375
2020-01-26,202005,413,413,413,413
2020-02-02,202006,337,337,337,337
2020-02-09,202007,349,349,349,349
2020-02-16,202008,278,278,278,278
2020-02-23,202009,271,271,271,271
2020-03-01,202010,383,383,383,383
2020-03-08,202011,369,369,369,369
2020-03-15,202012,275,275,275,275
2020-03-22,202013,175,175,175,175
2020-03-29,202014,231,231,231,231
2020-04-05,202015,177,177,177,177
2020-04-12,202016,185,185,185,185
2020-04-19,202017,172,172,172,172
2020-04-26,202018,155,155,155,155
2020-05-03,202019,144,144,144,144
2020-05-10,202020,195,195,195,195
2020-05-17,202021,197,197,197,197
2020-05-24,202022,199,199,199,199
2020-05-31,202023,211,211,211,211
2020-06-07,202024,199,199,199,199
2020-06-14,202025,222,222,222,222
2020-06-21,202026,144,144,144,144
2020-06-28,202027,168,168,168,168
2020-07-05,202028,149,149,149,149
2020-07-12,202029,94,94,94,94
2020-07-19,202030,106,106,106,106
