"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,88,88,88,88
2018-01-07,201802,95,95,95,95
2018-01-14,201803,92,92,92,92
2018-01-21,201804,72,72,72,72
2018-01-28,201805,80,80,80,80
2018-02-04,201806,72,72,72,72
2018-02-11,201807,71,71,71,71
2018-02-18,201808,59,59,59,59
2018-02-25,201809,58,58,58,58
2018-03-04,201810,54,54,54,54
2018-03-11,201811,42,42,42,42
2018-03-18,201812,49,49,49,49
2018-03-25,201813,41,41,41,41
2018-04-01,201814,76,76,76,76
2018-04-04,201815,71,71,71,71
2018-04-15,201816,64,64,64,64
2018-04-22,201817,44,44,44,44
2018-04-29,201818,78,78,78,78
2018-05-06,201819,52,52,52,52
2018-05-13,201820,35,35,35,35
2018-05-20,201821,40,40,40,40
2018-05-27,201822,36,36,36,36
2018-06-03,201823,22,22,22,22
2018-06-10,201824,23,23,23,23
2018-06-17,201825,18,18,18,18
2018-06-24,201826,18,18,18,18
2018-07-01,201827,23,23,23,23
2018-07-08,201828,28,28,28,28
2018-07-15,201829,32,32,32,32
2018-07-22,201830,27,27,27,27
2018-07-29,201831,23,23,23,23
2018-08-05,201832,20,20,20,20
2018-08-12,201833,17,17,17,17
2018-08-19,201834,16,16,16,16
2018-08-26,201835,19,19,19,19
2018-09-02,201836,13,13,13,13
2018-09-09,201837,19,19,19,19
2018-09-16,201838,13,13,13,13
2018-09-23,201839,15,15,15,15
2018-09-30,201840,14,14,14,14
2018-10-07,201841,14,14,14,14
2018-10-14,201842,29,29,29,29
2018-10-21,201843,14,14,14,14
2018-10-28,201844,23,23,23,23
2018-11-04,201845,27,27,27,27
2018-11-11,201846,18,18,18,18
2018-11-18,201847,19,19,19,19
2018-11-25,201848,20,20,20,20
2018-12-02,201849,25,25,25,25
2018-12-09,201850,32,32,32,32
2018-12-16,201851,22,22,22,22
2018-12-23,201852,12,12,12,12
2018-12-30,201901,39,39,39,39
2019-01-06,201902,18,18,18,18
2019-01-13,201903,33,33,33,33
2019-01-20,201904,34,34,34,34
2019-01-27,201905,29,29,29,29
2019-02-03,201906,26,26,26,26
2019-02-10,201907,36,36,36,36
2019-02-17,201908,35,35,35,35
2019-02-24,201909,37,37,37,37
2019-03-03,201910,31,31,31,31
2019-03-10,201911,69,69,69,69
2019-03-17,201912,65,65,65,65
2019-03-24,201913,56,56,56,56
2019-03-31,201914,53,53,53,53
2019-04-07,201915,50,50,50,50
2019-04-14,201916,67,67,67,67
2019-04-21,201917,65,65,65,65
2019-04-28,201918,84,84,84,84
2019-05-05,201919,83,83,83,83
2019-05-12,201920,48,48,48,48
2019-05-19,201921,65,65,65,65
2019-05-26,201922,30,30,30,30
2019-06-02,201923,55,55,55,55
2019-06-09,201924,51,51,51,51
2019-06-16,201925,49,49,49,49
2019-06-23,201926,43,43,43,43
2019-06-30,201927,58,58,58,58
2019-07-07,201928,54,54,54,54
2019-07-14,201929,54,54,54,54
2019-07-21,201930,60,60,60,60
2019-07-28,201931,55,55,55,55
2019-08-04,201932,32,32,32,32
2019-08-11,201933,23,23,23,23
2019-08-18,201934,33,33,33,33
2019-08-25,201935,23,23,23,23
2019-09-01,201936,21,21,21,21
2019-09-08,201937,27,27,27,27
2019-09-15,201938,16,16,16,16
2019-09-22,201939,28,28,28,28
2019-09-29,201940,21,21,21,21
2019-10-06,201941,24,24,24,24
2019-10-13,201942,34,34,34,34
2019-10-20,201943,40,40,40,40
2019-10-27,201944,31,31,31,31
2019-11-03,201945,64,64,64,64
2019-11-10,201946,58,58,58,58
2019-11-17,201947,71,71,71,71
2019-11-24,201948,98,98,98,98
2019-12-01,201949,100,100,100,100
2019-12-08,201950,118,118,118,118
2019-12-15,201951,55,55,55,55
2019-12-22,201952,48,48,48,48
2019-12-29,202001,66,66,66,66
2020-01-05,202002,103,103,103,103
2020-01-12,202003,158,158,158,158
2020-01-19,202004,198,198,198,198
2020-01-26,202005,219,219,219,219
2020-02-02,202006,271,271,271,271
2020-02-09,202007,257,257,257,257
2020-02-16,202008,236,236,236,236
2020-02-23,202009,262,262,262,262
2020-03-01,202010,293,293,293,293
2020-03-08,202011,340,340,340,340
2020-03-15,202012,262,262,262,262
2020-03-22,202013,239,239,239,239
2020-03-29,202014,212,212,212,212
2020-04-05,202015,228,228,228,228
2020-04-12,202016,203,203,203,203
2020-04-19,202017,169,169,169,169
2020-04-26,202018,185,185,185,185
2020-05-03,202019,215,215,215,215
2020-05-10,202020,197,197,197,197
2020-05-17,202021,175,175,175,175
2020-05-24,202022,139,139,139,139
2020-05-31,202023,137,137,137,137
2020-06-07,202024,134,134,134,134
2020-06-14,202025,141,141,141,141
2020-06-21,202026,129,129,129,129
2020-06-28,202027,139,139,139,139
2020-07-05,202028,121,121,121,121
2020-07-12,202029,91,91,91,91
2020-07-19,202030,93,93,93,93
2020-07-26,202031,56,56,56,56
2020-08-02,202032,63,63,63,63
2020-08-09,202033,51,51,51,51
2020-08-16,202034,37,37,37,37
2020-08-23,202035,31,31,31,31
2020-08-30,202036,36,36,36,36
2020-09-06,202037,20,20,20,20
2020-09-13,202038,30,30,30,30
2020-09-20,202039,38,38,38,38
2020-09-27,202040,40,40,40,40
2020-10-04,202041,17,17,17,17
2020-10-11,202042,25,25,25,25
2020-10-18,202043,22,22,22,22
2020-10-25,202044,30,30,30,30
2020-11-01,202045,37,37,37,37
2020-11-08,202046,25,25,25,25
2020-11-15,202047,42,42,42,42
2020-11-22,202048,54,54,54,54
2020-11-29,202049,80,80,80,80
2020-12-06,202050,88,88,88,88
2020-12-13,202051,98,98,98,98
2020-12-20,202052,88,88,88,88
