"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,2700102,0,0,0,0
2017-12-31,201801,2700201,0,0,0,0
2017-12-31,201801,2700300,24,24,24,24
2017-12-31,201801,2700409,0,0,0,0
2017-12-31,201801,2700508,0,0,0,0
2017-12-31,201801,2700607,0,0,0,0
2017-12-31,201801,2700706,0,0,0,0
2017-12-31,201801,2700805,0,0,0,0
2017-12-31,201801,2700904,0,0,0,0
2017-12-31,201801,2701001,0,0,0,0
2017-12-31,201801,2701100,0,0,0,0
2017-12-31,201801,2701209,0,0,0,0
2017-12-31,201801,2701308,0,0,0,0
2017-12-31,201801,2701357,0,0,0,0
2017-12-31,201801,2701407,0,0,0,0
2017-12-31,201801,2701506,0,0,0,0
2017-12-31,201801,2701605,0,0,0,0
2017-12-31,201801,2701704,0,0,0,0
2017-12-31,201801,2701803,0,0,0,0
2017-12-31,201801,2701902,0,0,0,0
2017-12-31,201801,2702009,0,0,0,0
2017-12-31,201801,2702108,3,3,3,3
2017-12-31,201801,2702207,0,0,0,0
2017-12-31,201801,2702306,0,0,0,0
2017-12-31,201801,2702355,0,0,0,0
2017-12-31,201801,2702405,0,0,0,0
2017-12-31,201801,2702504,0,0,0,0
2017-12-31,201801,2702553,0,0,0,0
2017-12-31,201801,2702603,0,0,0,0
2017-12-31,201801,2702702,0,0,0,0
2017-12-31,201801,2702801,0,0,0,0
2017-12-31,201801,2702900,0,0,0,0
2017-12-31,201801,2703007,0,0,0,0
2017-12-31,201801,2703106,0,0,0,0
2017-12-31,201801,2703205,0,0,0,0
2017-12-31,201801,2703304,0,0,0,0
2017-12-31,201801,2703403,0,0,0,0
2017-12-31,201801,2703502,0,0,0,0
2017-12-31,201801,2703601,0,0,0,0
2017-12-31,201801,2703700,0,0,0,0
2017-12-31,201801,2703759,0,0,0,0
2017-12-31,201801,2703809,0,0,0,0
2017-12-31,201801,2703908,0,0,0,0
2017-12-31,201801,2704005,0,0,0,0
2017-12-31,201801,2704104,0,0,0,0
2017-12-31,201801,2704203,0,0,0,0
2017-12-31,201801,2704302,12,12,12,12
2017-12-31,201801,2704401,0,0,0,0
2017-12-31,201801,2704500,2,2,2,2
2017-12-31,201801,2704609,0,0,0,0
2017-12-31,201801,2704708,0,0,0,0
2017-12-31,201801,2704807,0,0,0,0
2017-12-31,201801,2704906,0,0,0,0
2017-12-31,201801,2705002,0,0,0,0
2017-12-31,201801,2705101,0,0,0,0
2017-12-31,201801,2705200,0,0,0,0
2017-12-31,201801,2705309,0,0,0,0
2017-12-31,201801,2705408,0,0,0,0
2017-12-31,201801,2705507,0,0,0,0
2017-12-31,201801,2705606,0,0,0,0
2017-12-31,201801,2705705,0,0,0,0
2017-12-31,201801,2705804,0,0,0,0
2017-12-31,201801,2705903,0,0,0,0
2017-12-31,201801,2706000,0,0,0,0
2017-12-31,201801,2706109,0,0,0,0
2017-12-31,201801,2706208,0,0,0,0
2017-12-31,201801,2706307,6,6,6,6
2017-12-31,201801,2706406,0,0,0,0
2017-12-31,201801,2706422,0,0,0,0
2017-12-31,201801,2706448,0,0,0,0
2017-12-31,201801,2706505,0,0,0,0
2017-12-31,201801,2706604,0,0,0,0
2017-12-31,201801,2706703,0,0,0,0
2017-12-31,201801,2706802,0,0,0,0
2017-12-31,201801,2706901,0,0,0,0
2017-12-31,201801,2707008,0,0,0,0
2017-12-31,201801,2707107,0,0,0,0
2017-12-31,201801,2707206,0,0,0,0
2017-12-31,201801,2707305,0,0,0,0
2017-12-31,201801,2707404,0,0,0,0
2017-12-31,201801,2707503,0,0,0,0
2017-12-31,201801,2707602,0,0,0,0
2017-12-31,201801,2707701,2,2,2,2
2017-12-31,201801,2707800,0,0,0,0
2017-12-31,201801,2707909,0,0,0,0
2017-12-31,201801,2708006,7,7,7,7
2017-12-31,201801,2708105,0,0,0,0
2017-12-31,201801,2708204,0,0,0,0
2017-12-31,201801,2708303,0,0,0,0
2017-12-31,201801,2708402,0,0,0,0
2017-12-31,201801,2708501,0,0,0,0
2017-12-31,201801,2708600,0,0,0,0
2017-12-31,201801,2708709,0,0,0,0
2017-12-31,201801,2708808,0,0,0,0
2017-12-31,201801,2708907,0,0,0,0
2017-12-31,201801,2708956,0,0,0,0
2017-12-31,201801,2709004,0,0,0,0
2017-12-31,201801,2709103,0,0,0,0
2017-12-31,201801,2709152,1,1,1,1
2017-12-31,201801,2709202,0,0,0,0
2017-12-31,201801,2709301,3,3,3,3
2017-12-31,201801,2709400,0,0,0,0
2018-01-07,201802,2700102,0,0,0,0
2018-01-07,201802,2700201,0,0,0,0
2018-01-07,201802,2700300,38,38,38,38
2018-01-07,201802,2700409,0,0,0,0
2018-01-07,201802,2700508,0,0,0,0
2018-01-07,201802,2700607,0,0,0,0
2018-01-07,201802,2700706,0,0,0,0
2018-01-07,201802,2700805,0,0,0,0
2018-01-07,201802,2700904,0,0,0,0
2018-01-07,201802,2701001,0,0,0,0
2018-01-07,201802,2701100,0,0,0,0
2018-01-07,201802,2701209,0,0,0,0
2018-01-07,201802,2701308,0,0,0,0
2018-01-07,201802,2701357,0,0,0,0
2018-01-07,201802,2701407,0,0,0,0
2018-01-07,201802,2701506,0,0,0,0
2018-01-07,201802,2701605,0,0,0,0
2018-01-07,201802,2701704,0,0,0,0
2018-01-07,201802,2701803,0,0,0,0
2018-01-07,201802,2701902,0,0,0,0
2018-01-07,201802,2702009,0,0,0,0
2018-01-07,201802,2702108,0,0,0,0
2018-01-07,201802,2702207,0,0,0,0
2018-01-07,201802,2702306,0,0,0,0
2018-01-07,201802,2702355,0,0,0,0
2018-01-07,201802,2702405,0,0,0,0
2018-01-07,201802,2702504,0,0,0,0
2018-01-07,201802,2702553,0,0,0,0
2018-01-07,201802,2702603,0,0,0,0
2018-01-07,201802,2702702,0,0,0,0
2018-01-07,201802,2702801,0,0,0,0
2018-01-07,201802,2702900,0,0,0,0
2018-01-07,201802,2703007,0,0,0,0
2018-01-07,201802,2703106,0,0,0,0
2018-01-07,201802,2703205,0,0,0,0
2018-01-07,201802,2703304,0,0,0,0
2018-01-07,201802,2703403,0,0,0,0
2018-01-07,201802,2703502,0,0,0,0
2018-01-07,201802,2703601,0,0,0,0
2018-01-07,201802,2703700,0,0,0,0
2018-01-07,201802,2703759,0,0,0,0
2018-01-07,201802,2703809,0,0,0,0
2018-01-07,201802,2703908,0,0,0,0
2018-01-07,201802,2704005,0,0,0,0
2018-01-07,201802,2704104,0,0,0,0
2018-01-07,201802,2704203,2,2,2,2
2018-01-07,201802,2704302,13,13,13,13
2018-01-07,201802,2704401,0,0,0,0
2018-01-07,201802,2704500,3,3,3,3
2018-01-07,201802,2704609,0,0,0,0
2018-01-07,201802,2704708,2,2,2,2
2018-01-07,201802,2704807,0,0,0,0
