"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,5300108,101,101,101,101
2018-01-07,201802,5300108,82,82,82,82
2018-01-14,201803,5300108,88,88,88,88
2018-01-21,201804,5300108,59,59,59,59
2018-01-28,201805,5300108,76,76,76,76
2018-02-04,201806,5300108,83,83,83,83
2018-02-11,201807,5300108,77,77,77,77
2018-02-18,201808,5300108,65,65,65,65
2018-02-25,201809,5300108,88,88,88,88
2018-03-04,201810,5300108,105,105,105,105
2018-03-11,201811,5300108,133,133,133,133
2018-03-18,201812,5300108,103,103,103,103
2018-03-25,201813,5300108,111,111,111,111
2018-04-01,201814,5300108,150,150,150,150
2018-04-04,201815,5300108,151,151,151,151
2018-04-15,201816,5300108,148,148,148,148
2018-04-22,201817,5300108,132,132,132,132
2018-04-29,201818,5300108,99,99,99,99
2018-05-06,201819,5300108,135,135,135,135
2018-05-13,201820,5300108,103,103,103,103
2018-05-20,201821,5300108,63,63,63,63
2018-05-27,201822,5300108,76,76,76,76
2018-06-03,201823,5300108,62,62,62,62
2018-06-10,201824,5300108,70,70,70,70
2018-06-17,201825,5300108,73,73,73,73
2018-06-24,201826,5300108,73,73,73,73
2018-07-01,201827,5300108,41,41,41,41
2018-07-08,201828,5300108,52,52,52,52
2018-07-15,201829,5300108,47,47,47,47
2018-07-22,201830,5300108,37,37,37,37
2018-07-29,201831,5300108,30,30,30,30
2018-08-05,201832,5300108,27,27,27,27
2018-08-12,201833,5300108,46,46,46,46
2018-08-19,201834,5300108,38,38,38,38
2018-08-26,201835,5300108,44,44,44,44
2018-09-02,201836,5300108,52,52,52,52
2018-09-09,201837,5300108,44,44,44,44
2018-09-16,201838,5300108,48,48,48,48
2018-09-23,201839,5300108,48,48,48,48
2018-09-30,201840,5300108,45,45,45,45
2018-10-07,201841,5300108,70,70,70,70
2018-10-14,201842,5300108,57,57,57,57
2018-10-21,201843,5300108,69,69,69,69
2018-10-28,201844,5300108,74,74,74,74
2018-11-04,201845,5300108,57,57,57,57
2018-11-11,201846,5300108,64,64,64,64
2018-11-18,201847,5300108,97,97,97,97
2018-11-25,201848,5300108,100,100,100,100
2018-12-02,201849,5300108,108,108,108,108
2018-12-09,201850,5300108,117,117,117,117
2018-12-16,201851,5300108,147,147,147,147
2018-12-23,201852,5300108,130,130,130,130
2018-12-30,201901,5300108,230,230,230,230
2019-01-06,201902,5300108,169,169,169,169
2019-01-13,201903,5300108,201,201,201,201
2019-01-20,201904,5300108,285,285,285,285
2019-01-27,201905,5300108,470,470,470,470
2019-02-03,201906,5300108,573,573,573,573
2019-02-10,201907,5300108,593,593,593,593
2019-02-17,201908,5300108,779,779,779,779
2019-02-24,201909,5300108,841,841,841,841
2019-03-03,201910,5300108,890,890,890,890
2019-03-10,201911,5300108,1168,1168,1168,1168
