"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,5100102,0,0,0,0
2017-12-31,201801,5100201,1,1,1,1
2017-12-31,201801,5100250,8,8,8,8
2017-12-31,201801,5100300,1,1,1,1
2017-12-31,201801,5100359,0,0,0,0
2017-12-31,201801,5100409,0,0,0,0
2017-12-31,201801,5100508,0,0,0,0
2017-12-31,201801,5100607,0,0,0,0
2017-12-31,201801,5100805,0,0,0,0
2017-12-31,201801,5101001,1,1,1,1
2017-12-31,201801,5101209,0,0,0,0
2017-12-31,201801,5101258,1,1,1,1
2017-12-31,201801,5101308,0,0,0,0
2017-12-31,201801,5101407,0,0,0,0
2017-12-31,201801,5101605,0,0,0,0
2017-12-31,201801,5101704,0,0,0,0
2017-12-31,201801,5101803,6,6,6,6
2017-12-31,201801,5101852,4,4,4,4
2017-12-31,201801,5101902,0,0,0,0
2017-12-31,201801,5102504,3,3,3,3
2017-12-31,201801,5102603,0,0,0,0
2017-12-31,201801,5102637,5,5,5,5
2017-12-31,201801,5102678,1,1,1,1
2017-12-31,201801,5102686,0,0,0,0
2017-12-31,201801,5102694,5,5,5,5
2017-12-31,201801,5102702,3,3,3,3
2017-12-31,201801,5102793,0,0,0,0
2017-12-31,201801,5102850,0,0,0,0
2017-12-31,201801,5103007,0,0,0,0
2017-12-31,201801,5103056,0,0,0,0
2017-12-31,201801,5103106,0,0,0,0
2017-12-31,201801,5103205,0,0,0,0
2017-12-31,201801,5103254,0,0,0,0
2017-12-31,201801,5103304,0,0,0,0
2017-12-31,201801,5103353,3,3,3,3
2017-12-31,201801,5103361,0,0,0,0
2017-12-31,201801,5103379,0,0,0,0
2017-12-31,201801,5103403,46,46,46,46
2017-12-31,201801,5103437,0,0,0,0
2017-12-31,201801,5103452,0,0,0,0
2017-12-31,201801,5103502,1,1,1,1
2017-12-31,201801,5103601,0,0,0,0
2017-12-31,201801,5103700,1,1,1,1
2017-12-31,201801,5103809,0,0,0,0
2017-12-31,201801,5103858,1,1,1,1
2017-12-31,201801,5103908,0,0,0,0
2017-12-31,201801,5103957,0,0,0,0
2017-12-31,201801,5104104,0,0,0,0
2017-12-31,201801,5104203,1,1,1,1
2017-12-31,201801,5104500,0,0,0,0
2017-12-31,201801,5104526,0,0,0,0
2017-12-31,201801,5104542,0,0,0,0
2017-12-31,201801,5104559,0,0,0,0
2017-12-31,201801,5104609,3,3,3,3
