"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,2500106,0,0,0,0
2017-12-31,201801,2500205,0,0,0,0
2017-12-31,201801,2500304,0,0,0,0
2017-12-31,201801,2500403,0,0,0,0
2017-12-31,201801,2500502,0,0,0,0
2017-12-31,201801,2500536,0,0,0,0
2017-12-31,201801,2500577,0,0,0,0
2017-12-31,201801,2500601,0,0,0,0
2017-12-31,201801,2500700,0,0,0,0
2017-12-31,201801,2500734,0,0,0,0
2017-12-31,201801,2500775,0,0,0,0
2017-12-31,201801,2500809,0,0,0,0
2017-12-31,201801,2500908,0,0,0,0
2017-12-31,201801,2501005,0,0,0,0
2017-12-31,201801,2501104,0,0,0,0
2017-12-31,201801,2501153,0,0,0,0
2017-12-31,201801,2501203,0,0,0,0
2017-12-31,201801,2501302,0,0,0,0
2017-12-31,201801,2501351,2,2,2,2
2017-12-31,201801,2501401,0,0,0,0
2017-12-31,201801,2501500,0,0,0,0
2017-12-31,201801,2501534,0,0,0,0
2017-12-31,201801,2501575,0,0,0,0
2017-12-31,201801,2501609,0,0,0,0
2017-12-31,201801,2501708,0,0,0,0
2017-12-31,201801,2501807,0,0,0,0
2017-12-31,201801,2501906,0,0,0,0
2017-12-31,201801,2502003,0,0,0,0
2017-12-31,201801,2502052,0,0,0,0
2017-12-31,201801,2502102,0,0,0,0
2017-12-31,201801,2502151,0,0,0,0
2017-12-31,201801,2502201,0,0,0,0
2017-12-31,201801,2502300,0,0,0,0
2017-12-31,201801,2502409,0,0,0,0
2017-12-31,201801,2502508,0,0,0,0
2017-12-31,201801,2502607,0,0,0,0
2017-12-31,201801,2502706,0,0,0,0
2017-12-31,201801,2502805,0,0,0,0
2017-12-31,201801,2502904,0,0,0,0
2017-12-31,201801,2503001,2,2,2,2
2017-12-31,201801,2503100,7,7,7,7
2017-12-31,201801,2503209,4,4,4,4
2017-12-31,201801,2503308,0,0,0,0
2017-12-31,201801,2503407,0,0,0,0
2017-12-31,201801,2503506,0,0,0,0
2017-12-31,201801,2503555,0,0,0,0
2017-12-31,201801,2503605,0,0,0,0
2017-12-31,201801,2503704,1,1,1,1
2017-12-31,201801,2503753,0,0,0,0
2017-12-31,201801,2503803,0,0,0,0
2017-12-31,201801,2503902,0,0,0,0
2017-12-31,201801,2504009,6,6,6,6
2017-12-31,201801,2504033,0,0,0,0
2017-12-31,201801,2504074,0,0,0,0
2017-12-31,201801,2504108,0,0,0,0
2017-12-31,201801,2504157,0,0,0,0
2017-12-31,201801,2504207,0,0,0,0
2017-12-31,201801,2504306,0,0,0,0
2017-12-31,201801,2504355,0,0,0,0
2017-12-31,201801,2504405,0,0,0,0
2017-12-31,201801,2504504,0,0,0,0
2017-12-31,201801,2504603,0,0,0,0
2017-12-31,201801,2504702,0,0,0,0
2017-12-31,201801,2504801,0,0,0,0
2017-12-31,201801,2504850,0,0,0,0
2017-12-31,201801,2504900,0,0,0,0
2017-12-31,201801,2505006,0,0,0,0
2017-12-31,201801,2505105,0,0,0,0
2017-12-31,201801,2505204,0,0,0,0
2017-12-31,201801,2505238,0,0,0,0
2017-12-31,201801,2505279,0,0,0,0
2017-12-31,201801,2505303,0,0,0,0
2017-12-31,201801,2505352,0,0,0,0
2017-12-31,201801,2505402,0,0,0,0
2017-12-31,201801,2505501,0,0,0,0
2017-12-31,201801,2505600,0,0,0,0
2017-12-31,201801,2505709,0,0,0,0
2017-12-31,201801,2505808,0,0,0,0
2017-12-31,201801,2505907,0,0,0,0
2017-12-31,201801,2506004,0,0,0,0
2017-12-31,201801,2506103,0,0,0,0
2017-12-31,201801,2506202,0,0,0,0
2017-12-31,201801,2506251,0,0,0,0
2017-12-31,201801,2506301,0,0,0,0
2017-12-31,201801,2506400,0,0,0,0
2017-12-31,201801,2506509,0,0,0,0
2017-12-31,201801,2506608,0,0,0,0
2017-12-31,201801,2506707,0,0,0,0
2017-12-31,201801,2506806,0,0,0,0
2017-12-31,201801,2506905,0,0,0,0
2017-12-31,201801,2507002,0,0,0,0
2017-12-31,201801,2507101,0,0,0,0
2017-12-31,201801,2507200,0,0,0,0
2017-12-31,201801,2507309,0,0,0,0
2017-12-31,201801,2507408,0,0,0,0
2017-12-31,201801,2507507,32,32,32,32
2017-12-31,201801,2507606,0,0,0,0
2017-12-31,201801,2507705,0,0,0,0
2017-12-31,201801,2507804,0,0,0,0
2017-12-31,201801,2507903,0,0,0,0
2017-12-31,201801,2508000,0,0,0,0
2017-12-31,201801,2508109,0,0,0,0
2017-12-31,201801,2508208,0,0,0,0
2017-12-31,201801,2508307,0,0,0,0
2017-12-31,201801,2508406,2,2,2,2
2017-12-31,201801,2508505,0,0,0,0
2017-12-31,201801,2508554,0,0,0,0
2017-12-31,201801,2508604,0,0,0,0
2017-12-31,201801,2508703,0,0,0,0
2017-12-31,201801,2508802,0,0,0,0
2017-12-31,201801,2508901,0,0,0,0
2017-12-31,201801,2509008,0,0,0,0
2017-12-31,201801,2509057,0,0,0,0
2017-12-31,201801,2509107,0,0,0,0
2017-12-31,201801,2509156,0,0,0,0
2017-12-31,201801,2509206,0,0,0,0
2017-12-31,201801,2509305,0,0,0,0
2017-12-31,201801,2509339,0,0,0,0
2017-12-31,201801,2509370,0,0,0,0
2017-12-31,201801,2509396,0,0,0,0
2017-12-31,201801,2509404,0,0,0,0
2017-12-31,201801,2509503,0,0,0,0
2017-12-31,201801,2509602,0,0,0,0
2017-12-31,201801,2509701,0,0,0,0
2017-12-31,201801,2509800,0,0,0,0
