"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,2200053,0,0,0,0
2017-12-31,201801,2200103,0,0,0,0
2017-12-31,201801,2200202,0,0,0,0
2017-12-31,201801,2200251,0,0,0,0
2017-12-31,201801,2200277,0,0,0,0
2017-12-31,201801,2200301,0,0,0,0
2017-12-31,201801,2200400,0,0,0,0
2017-12-31,201801,2200459,0,0,0,0
2017-12-31,201801,2200509,0,0,0,0
2017-12-31,201801,2200608,0,0,0,0
2017-12-31,201801,2200707,0,0,0,0
2017-12-31,201801,2200806,0,0,0,0
2017-12-31,201801,2200905,0,0,0,0
2017-12-31,201801,2200954,0,0,0,0
2017-12-31,201801,2201002,0,0,0,0
2017-12-31,201801,2201051,0,0,0,0
2017-12-31,201801,2201101,0,0,0,0
2017-12-31,201801,2201150,0,0,0,0
2017-12-31,201801,2201176,0,0,0,0
2017-12-31,201801,2201200,0,0,0,0
2017-12-31,201801,2201309,0,0,0,0
2017-12-31,201801,2201408,0,0,0,0
2017-12-31,201801,2201507,0,0,0,0
2017-12-31,201801,2201556,0,0,0,0
2017-12-31,201801,2201572,0,0,0,0
2017-12-31,201801,2201606,0,0,0,0
2017-12-31,201801,2201705,0,0,0,0
2017-12-31,201801,2201739,0,0,0,0
2017-12-31,201801,2201770,0,0,0,0
2017-12-31,201801,2201804,0,0,0,0
2017-12-31,201801,2201903,1,1,1,1
2017-12-31,201801,2201929,0,0,0,0
2017-12-31,201801,2201945,0,0,0,0
2017-12-31,201801,2201960,1,1,1,1
2017-12-31,201801,2202000,0,0,0,0
2017-12-31,201801,2202026,0,0,0,0
2017-12-31,201801,2202059,0,0,0,0
2017-12-31,201801,2202075,0,0,0,0
2017-12-31,201801,2202083,0,0,0,0
2017-12-31,201801,2202091,0,0,0,0
2017-12-31,201801,2202109,0,0,0,0
2017-12-31,201801,2202117,0,0,0,0
2017-12-31,201801,2202133,0,0,0,0
2017-12-31,201801,2202174,0,0,0,0
2017-12-31,201801,2202208,0,0,0,0
2017-12-31,201801,2202307,0,0,0,0
2017-12-31,201801,2202406,1,1,1,1
2017-12-31,201801,2202455,0,0,0,0
2017-12-31,201801,2202505,0,0,0,0
2017-12-31,201801,2202539,0,0,0,0
2017-12-31,201801,2202554,0,0,0,0
2017-12-31,201801,2202604,0,0,0,0
2017-12-31,201801,2202653,0,0,0,0
2017-12-31,201801,2202703,0,0,0,0
2017-12-31,201801,2202711,0,0,0,0
2017-12-31,201801,2202729,0,0,0,0
2017-12-31,201801,2202737,0,0,0,0
2017-12-31,201801,2202752,0,0,0,0
2017-12-31,201801,2202778,0,0,0,0
2017-12-31,201801,2202802,0,0,0,0
2017-12-31,201801,2202851,0,0,0,0
2017-12-31,201801,2202901,0,0,0,0
2017-12-31,201801,2203008,0,0,0,0
2017-12-31,201801,2203107,0,0,0,0
2017-12-31,201801,2203206,0,0,0,0
2017-12-31,201801,2203230,0,0,0,0
2017-12-31,201801,2203255,0,0,0,0
2017-12-31,201801,2203271,0,0,0,0
2017-12-31,201801,2203305,0,0,0,0
2017-12-31,201801,2203354,0,0,0,0
2017-12-31,201801,2203404,0,0,0,0
2017-12-31,201801,2203420,0,0,0,0
2017-12-31,201801,2203453,0,0,0,0
2017-12-31,201801,2203503,0,0,0,0
2017-12-31,201801,2203602,0,0,0,0
2017-12-31,201801,2203701,0,0,0,0
2017-12-31,201801,2203750,0,0,0,0
2017-12-31,201801,2203800,0,0,0,0
2017-12-31,201801,2203859,0,0,0,0
2017-12-31,201801,2203909,0,0,0,0
2017-12-31,201801,2204006,0,0,0,0
2017-12-31,201801,2204105,0,0,0,0
2017-12-31,201801,2204154,0,0,0,0
2017-12-31,201801,2204204,0,0,0,0
2017-12-31,201801,2204303,0,0,0,0
2017-12-31,201801,2204352,0,0,0,0
2017-12-31,201801,2204402,0,0,0,0
2017-12-31,201801,2204501,0,0,0,0
2017-12-31,201801,2204550,0,0,0,0
2017-12-31,201801,2204600,0,0,0,0
2017-12-31,201801,2204659,0,0,0,0
2017-12-31,201801,2204709,0,0,0,0
2017-12-31,201801,2204808,0,0,0,0
2017-12-31,201801,2204907,0,0,0,0
2017-12-31,201801,2205003,0,0,0,0
2017-12-31,201801,2205102,0,0,0,0
2017-12-31,201801,2205151,0,0,0,0
2017-12-31,201801,2205201,0,0,0,0
2017-12-31,201801,2205250,0,0,0,0
2017-12-31,201801,2205276,0,0,0,0
2017-12-31,201801,2205300,0,0,0,0
2017-12-31,201801,2205359,0,0,0,0
2017-12-31,201801,2205409,0,0,0,0
2017-12-31,201801,2205458,0,0,0,0
2017-12-31,201801,2205508,0,0,0,0
2017-12-31,201801,2205516,0,0,0,0
2017-12-31,201801,2205524,0,0,0,0
2017-12-31,201801,2205532,0,0,0,0
2017-12-31,201801,2205540,0,0,0,0
2017-12-31,201801,2205557,0,0,0,0
2017-12-31,201801,2205565,0,0,0,0
2017-12-31,201801,2205573,0,0,0,0
2017-12-31,201801,2205581,0,0,0,0
2017-12-31,201801,2205599,0,0,0,0
2017-12-31,201801,2205607,0,0,0,0
2017-12-31,201801,2205706,0,0,0,0
2017-12-31,201801,2205805,0,0,0,0
2017-12-31,201801,2205854,0,0,0,0
2017-12-31,201801,2205904,0,0,0,0
2017-12-31,201801,2205953,0,0,0,0
2017-12-31,201801,2206001,0,0,0,0
2017-12-31,201801,2206050,0,0,0,0
2017-12-31,201801,2206100,0,0,0,0
2017-12-31,201801,2206209,0,0,0,0
2017-12-31,201801,2206308,0,0,0,0
