"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,3300100,0,0,0,0
2017-12-31,201801,3300159,0,0,0,0
2017-12-31,201801,3300209,0,0,0,0
2017-12-31,201801,3300225,0,0,0,0
2017-12-31,201801,3300233,0,0,0,0
2017-12-31,201801,3300258,1,1,1,1
2017-12-31,201801,3300308,0,0,0,0
2017-12-31,201801,3300407,1,1,1,1
2017-12-31,201801,3300456,0,0,0,0
2017-12-31,201801,3300506,0,0,0,0
2017-12-31,201801,3300605,3,3,3,3
2017-12-31,201801,3300704,2,2,2,2
2017-12-31,201801,3300803,0,0,0,0
2017-12-31,201801,3300902,0,0,0,0
2017-12-31,201801,3300936,0,0,0,0
2017-12-31,201801,3300951,0,0,0,0
2017-12-31,201801,3301009,34,34,34,34
2017-12-31,201801,3301108,0,0,0,0
2017-12-31,201801,3301157,0,0,0,0
2017-12-31,201801,3301207,0,0,0,0
2017-12-31,201801,3301306,0,0,0,0
2017-12-31,201801,3301405,0,0,0,0
2017-12-31,201801,3301504,0,0,0,0
2017-12-31,201801,3301603,0,0,0,0
2017-12-31,201801,3301702,5,5,5,5
2017-12-31,201801,3301801,0,0,0,0
2017-12-31,201801,3301850,0,0,0,0
2017-12-31,201801,3301876,0,0,0,0
2017-12-31,201801,3301900,24,24,24,24
2017-12-31,201801,3302007,2,2,2,2
2017-12-31,201801,3302056,0,0,0,0
2017-12-31,201801,3302106,0,0,0,0
2017-12-31,201801,3302205,6,6,6,6
2017-12-31,201801,3302254,3,3,3,3
2017-12-31,201801,3302270,0,0,0,0
2017-12-31,201801,3302304,0,0,0,0
2017-12-31,201801,3302403,1,1,1,1
2017-12-31,201801,3302452,0,0,0,0
2017-12-31,201801,3302502,2,2,2,2
2017-12-31,201801,3302601,2,2,2,2
2017-12-31,201801,3302700,20,20,20,20
2017-12-31,201801,3302809,0,0,0,0
2017-12-31,201801,3302858,0,0,0,0
2017-12-31,201801,3302908,0,0,0,0
2017-12-31,201801,3303005,0,0,0,0
2017-12-31,201801,3303104,3,3,3,3
2017-12-31,201801,3303203,0,0,0,0
2017-12-31,201801,3303302,37,37,37,37
2017-12-31,201801,3303401,21,21,21,21
2017-12-31,201801,3303500,9,9,9,9
2017-12-31,201801,3303609,0,0,0,0
2017-12-31,201801,3303708,0,0,0,0
2017-12-31,201801,3303807,4,4,4,4
2017-12-31,201801,3303856,0,0,0,0
2017-12-31,201801,3303906,2,2,2,2
2017-12-31,201801,3303955,0,0,0,0
2017-12-31,201801,3304003,2,2,2,2
2017-12-31,201801,3304102,1,1,1,1
2017-12-31,201801,3304110,0,0,0,0
2017-12-31,201801,3304128,0,0,0,0
2017-12-31,201801,3304144,0,0,0,0
2017-12-31,201801,3304151,0,0,0,0
2017-12-31,201801,3304201,5,5,5,5
2017-12-31,201801,3304300,1,1,1,1
2017-12-31,201801,3304409,2,2,2,2
2017-12-31,201801,3304508,1,1,1,1
2017-12-31,201801,3304524,2,2,2,2
2017-12-31,201801,3304557,133,133,133,133
2017-12-31,201801,3304607,0,0,0,0
2017-12-31,201801,3304706,1,1,1,1
2017-12-31,201801,3304755,1,1,1,1
2017-12-31,201801,3304805,1,1,1,1
2017-12-31,201801,3304904,36,36,36,36
2017-12-31,201801,3305000,0,0,0,0
2017-12-31,201801,3305109,0,0,0,0
2017-12-31,201801,3305133,0,0,0,0
2017-12-31,201801,3305158,0,0,0,0
2017-12-31,201801,3305208,0,0,0,0
2017-12-31,201801,3305307,0,0,0,0
2017-12-31,201801,3305406,0,0,0,0
2017-12-31,201801,3305505,13,13,13,13
2017-12-31,201801,3305554,0,0,0,0
2017-12-31,201801,3305604,0,0,0,0
2017-12-31,201801,3305703,0,0,0,0
2017-12-31,201801,3305752,4,4,4,4
2017-12-31,201801,3305802,0,0,0,0
2017-12-31,201801,3305901,0,0,0,0
2017-12-31,201801,3306008,9,9,9,9
2017-12-31,201801,3306107,8,8,8,8
2017-12-31,201801,3306156,0,0,0,0
2017-12-31,201801,3306206,5,5,5,5
2017-12-31,201801,3306305,1,1,1,1
2018-01-07,201802,3300100,8,8,8,8
2018-01-07,201802,3300159,0,0,0,0
2018-01-07,201802,3300209,0,0,0,0
2018-01-07,201802,3300225,0,0,0,0
2018-01-07,201802,3300233,1,1,1,1
2018-01-07,201802,3300258,0,0,0,0
2018-01-07,201802,3300308,4,4,4,4
2018-01-07,201802,3300407,1,1,1,1
2018-01-07,201802,3300456,0,0,0,0
2018-01-07,201802,3300506,0,0,0,0
2018-01-07,201802,3300605,0,0,0,0
2018-01-07,201802,3300704,1,1,1,1
2018-01-07,201802,3300803,0,0,0,0
2018-01-07,201802,3300902,0,0,0,0
2018-01-07,201802,3300936,0,0,0,0
2018-01-07,201802,3300951,0,0,0,0
2018-01-07,201802,3301009,41,41,41,41
2018-01-07,201802,3301108,0,0,0,0
2018-01-07,201802,3301157,0,0,0,0
2018-01-07,201802,3301207,0,0,0,0
2018-01-07,201802,3301306,2,2,2,2
2018-01-07,201802,3301405,0,0,0,0
2018-01-07,201802,3301504,2,2,2,2
2018-01-07,201802,3301603,0,0,0,0
2018-01-07,201802,3301702,10,10,10,10
2018-01-07,201802,3301801,0,0,0,0
2018-01-07,201802,3301850,0,0,0,0
2018-01-07,201802,3301876,1,1,1,1
2018-01-07,201802,3301900,27,27,27,27
2018-01-07,201802,3302007,0,0,0,0
2018-01-07,201802,3302056,0,0,0,0
2018-01-07,201802,3302106,0,0,0,0
2018-01-07,201802,3302205,2,2,2,2
2018-01-07,201802,3302254,0,0,0,0
2018-01-07,201802,3302270,0,0,0,0
2018-01-07,201802,3302304,0,0,0,0
2018-01-07,201802,3302403,1,1,1,1
2018-01-07,201802,3302452,1,1,1,1
2018-01-07,201802,3302502,0,0,0,0
2018-01-07,201802,3302601,0,0,0,0
2018-01-07,201802,3302700,31,31,31,31
2018-01-07,201802,3302809,0,0,0,0
2018-01-07,201802,3302858,0,0,0,0
2018-01-07,201802,3302908,0,0,0,0
2018-01-07,201802,3303005,0,0,0,0
2018-01-07,201802,3303104,0,0,0,0
2018-01-07,201802,3303203,0,0,0,0
2018-01-07,201802,3303302,37,37,37,37
2018-01-07,201802,3303401,26,26,26,26
2018-01-07,201802,3303500,7,7,7,7
2018-01-07,201802,3303609,0,0,0,0
2018-01-07,201802,3303708,0,0,0,0
2018-01-07,201802,3303807,1,1,1,1
2018-01-07,201802,3303856,0,0,0,0
2018-01-07,201802,3303906,0,0,0,0
2018-01-07,201802,3303955,0,0,0,0
2018-01-07,201802,3304003,4,4,4,4
2018-01-07,201802,3304102,4,4,4,4
2018-01-07,201802,3304110,0,0,0,0
2018-01-07,201802,3304128,0,0,0,0
2018-01-07,201802,3304144,0,0,0,0
2018-01-07,201802,3304151,0,0,0,0
2018-01-07,201802,3304201,11,11,11,11
2018-01-07,201802,3304300,3,3,3,3
2018-01-07,201802,3304409,0,0,0,0
2018-01-07,201802,3304508,1,1,1,1
2018-01-07,201802,3304524,4,4,4,4
2018-01-07,201802,3304557,105,105,105,105
2018-01-07,201802,3304607,0,0,0,0
2018-01-07,201802,3304706,3,3,3,3
2018-01-07,201802,3304755,0,0,0,0
2018-01-07,201802,3304805,1,1,1,1
2018-01-07,201802,3304904,42,42,42,42
2018-01-07,201802,3305000,0,0,0,0
2018-01-07,201802,3305109,0,0,0,0
2018-01-07,201802,3305133,1,1,1,1
2018-01-07,201802,3305158,0,0,0,0
2018-01-07,201802,3305208,2,2,2,2
2018-01-07,201802,3305307,0,0,0,0
2018-01-07,201802,3305406,2,2,2,2
2018-01-07,201802,3305505,6,6,6,6
2018-01-07,201802,3305554,3,3,3,3
2018-01-07,201802,3305604,0,0,0,0
2018-01-07,201802,3305703,0,0,0,0
2018-01-07,201802,3305752,0,0,0,0
2018-01-07,201802,3305802,0,0,0,0
2018-01-07,201802,3305901,0,0,0,0
2018-01-07,201802,3306008,0,0,0,0
2018-01-07,201802,3306107,19,19,19,19
2018-01-07,201802,3306156,0,0,0,0
2018-01-07,201802,3306206,1,1,1,1
2018-01-07,201802,3306305,7,7,7,7
2018-01-14,201803,3300100,18,18,18,18
2018-01-14,201803,3300159,0,0,0,0
2018-01-14,201803,3300209,1,1,1,1
2018-01-14,201803,3300225,1,1,1,1
2018-01-14,201803,3300233,0,0,0,0
2018-01-14,201803,3300258,1,1,1,1
2018-01-14,201803,3300308,1,1,1,1
2018-01-14,201803,3300407,1,1,1,1
2018-01-14,201803,3300456,0,0,0,0
2018-01-14,201803,3300506,0,0,0,0
2018-01-14,201803,3300605,0,0,0,0
2018-01-14,201803,3300704,8,8,8,8
2018-01-14,201803,3300803,0,0,0,0
2018-01-14,201803,3300902,0,0,0,0
