"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,1400027,0,0,0,0
2017-12-31,201801,1400050,3,3,3,3
2017-12-31,201801,1400100,9,9,9,9
2017-12-31,201801,1400159,0,0,0,0
2017-12-31,201801,1400175,0,0,0,0
2017-12-31,201801,1400209,1,1,1,1
2017-12-31,201801,1400233,0,0,0,0
2017-12-31,201801,1400282,0,0,0,0
2017-12-31,201801,1400308,2,2,2,2
2017-12-31,201801,1400407,0,0,0,0
2017-12-31,201801,1400456,0,0,0,0
2017-12-31,201801,1400472,8,8,8,8
2017-12-31,201801,1400506,4,4,4,4
2017-12-31,201801,1400605,0,0,0,0
2017-12-31,201801,1400704,0,0,0,0
2018-01-07,201802,1400027,0,0,0,0
2018-01-07,201802,1400050,0,0,0,0
2018-01-07,201802,1400100,9,9,9,9
2018-01-07,201802,1400159,1,1,1,1
2018-01-07,201802,1400175,0,0,0,0
2018-01-07,201802,1400209,2,2,2,2
2018-01-07,201802,1400233,0,0,0,0
2018-01-07,201802,1400282,1,1,1,1
2018-01-07,201802,1400308,3,3,3,3
2018-01-07,201802,1400407,0,0,0,0
2018-01-07,201802,1400456,0,0,0,0
2018-01-07,201802,1400472,5,5,5,5
2018-01-07,201802,1400506,0,0,0,0
2018-01-07,201802,1400605,0,0,0,0
2018-01-07,201802,1400704,0,0,0,0
2018-01-14,201803,1400027,0,0,0,0
2018-01-14,201803,1400050,0,0,0,0
2018-01-14,201803,1400100,15,15,15,15
2018-01-14,201803,1400159,1,1,1,1
2018-01-14,201803,1400175,2,2,2,2
2018-01-14,201803,1400209,0,0,0,0
2018-01-14,201803,1400233,0,0,0,0
2018-01-14,201803,1400282,0,0,0,0
2018-01-14,201803,1400308,2,2,2,2
2018-01-14,201803,1400407,0,0,0,0
2018-01-14,201803,1400456,0,0,0,0
2018-01-14,201803,1400472,10,10,10,10
2018-01-14,201803,1400506,0,0,0,0
2018-01-14,201803,1400605,0,0,0,0
2018-01-14,201803,1400704,0,0,0,0
2018-01-21,201804,1400027,0,0,0,0
2018-01-21,201804,1400050,0,0,0,0
2018-01-21,201804,1400100,10,10,10,10
2018-01-21,201804,1400159,1,1,1,1
2018-01-21,201804,1400175,0,0,0,0
2018-01-21,201804,1400209,0,0,0,0
2018-01-21,201804,1400233,1,1,1,1
2018-01-21,201804,1400282,0,0,0,0
2018-01-21,201804,1400308,0,0,0,0
2018-01-21,201804,1400407,0,0,0,0
2018-01-21,201804,1400456,0,0,0,0
2018-01-21,201804,1400472,10,10,10,10
2018-01-21,201804,1400506,3,3,3,3
2018-01-21,201804,1400605,0,0,0,0
2018-01-21,201804,1400704,0,0,0,0
2018-01-28,201805,1400027,0,0,0,0
2018-01-28,201805,1400050,0,0,0,0
2018-01-28,201805,1400100,7,7,7,7
2018-01-28,201805,1400159,0,0,0,0
2018-01-28,201805,1400175,0,0,0,0
2018-01-28,201805,1400209,1,1,1,1
2018-01-28,201805,1400233,0,0,0,0
2018-01-28,201805,1400282,0,0,0,0
2018-01-28,201805,1400308,0,0,0,0
2018-01-28,201805,1400407,0,0,0,0
2018-01-28,201805,1400456,0,0,0,0
2018-01-28,201805,1400472,8,8,8,8
2018-01-28,201805,1400506,6,6,6,6
2018-01-28,201805,1400605,0,0,0,0
2018-01-28,201805,1400704,0,0,0,0
2018-02-04,201806,1400027,0,0,0,0
2018-02-04,201806,1400050,0,0,0,0
2018-02-04,201806,1400100,3,3,3,3
2018-02-04,201806,1400159,0,0,0,0
2018-02-04,201806,1400175,0,0,0,0
2018-02-04,201806,1400209,1,1,1,1
2018-02-04,201806,1400233,0,0,0,0
2018-02-04,201806,1400282,1,1,1,1
2018-02-04,201806,1400308,0,0,0,0
2018-02-04,201806,1400407,0,0,0,0
2018-02-04,201806,1400456,0,0,0,0
2018-02-04,201806,1400472,12,12,12,12
2018-02-04,201806,1400506,1,1,1,1
2018-02-04,201806,1400605,0,0,0,0
2018-02-04,201806,1400704,0,0,0,0
2018-02-11,201807,1400027,0,0,0,0
2018-02-11,201807,1400050,1,1,1,1
2018-02-11,201807,1400100,11,11,11,11
2018-02-11,201807,1400159,0,0,0,0
2018-02-11,201807,1400175,0,0,0,0
2018-02-11,201807,1400209,1,1,1,1
2018-02-11,201807,1400233,0,0,0,0
2018-02-11,201807,1400282,2,2,2,2
2018-02-11,201807,1400308,2,2,2,2
2018-02-11,201807,1400407,0,0,0,0
2018-02-11,201807,1400456,0,0,0,0
2018-02-11,201807,1400472,10,10,10,10
2018-02-11,201807,1400506,1,1,1,1
2018-02-11,201807,1400605,0,0,0,0
2018-02-11,201807,1400704,0,0,0,0
2018-02-18,201808,1400027,0,0,0,0
2018-02-18,201808,1400050,0,0,0,0
2018-02-18,201808,1400100,10,10,10,10
2018-02-18,201808,1400159,0,0,0,0
2018-02-18,201808,1400175,0,0,0,0
2018-02-18,201808,1400209,0,0,0,0
2018-02-18,201808,1400233,0,0,0,0
2018-02-18,201808,1400282,1,1,1,1
2018-02-18,201808,1400308,1,1,1,1
2018-02-18,201808,1400407,0,0,0,0
2018-02-18,201808,1400456,0,0,0,0
2018-02-18,201808,1400472,6,6,6,6
2018-02-18,201808,1400506,3,3,3,3
2018-02-18,201808,1400605,0,0,0,0
2018-02-18,201808,1400704,0,0,0,0
2018-02-25,201809,1400027,0,0,0,0
2018-02-25,201809,1400050,0,0,0,0
2018-02-25,201809,1400100,13,13,13,13
2018-02-25,201809,1400159,0,0,0,0
2018-02-25,201809,1400175,0,0,0,0
2018-02-25,201809,1400209,3,3,3,3
2018-02-25,201809,1400233,0,0,0,0
2018-02-25,201809,1400282,0,0,0,0
2018-02-25,201809,1400308,3,3,3,3
2018-02-25,201809,1400407,0,0,0,0
2018-02-25,201809,1400456,0,0,0,0
2018-02-25,201809,1400472,3,3,3,3
2018-02-25,201809,1400506,1,1,1,1
2018-02-25,201809,1400605,0,0,0,0
2018-02-25,201809,1400704,0,0,0,0
2018-03-04,201810,1400027,0,0,0,0
2018-03-04,201810,1400050,0,0,0,0
2018-03-04,201810,1400100,13,13,13,13
2018-03-04,201810,1400159,1,1,1,1
2018-03-04,201810,1400175,0,0,0,0
2018-03-04,201810,1400209,0,0,0,0
2018-03-04,201810,1400233,0,0,0,0
2018-03-04,201810,1400282,1,1,1,1
2018-03-04,201810,1400308,1,1,1,1
2018-03-04,201810,1400407,0,0,0,0
2018-03-04,201810,1400456,0,0,0,0
2018-03-04,201810,1400472,8,8,8,8
2018-03-04,201810,1400506,5,5,5,5
2018-03-04,201810,1400605,0,0,0,0
2018-03-04,201810,1400704,0,0,0,0
2018-03-11,201811,1400027,0,0,0,0
2018-03-11,201811,1400050,0,0,0,0
2018-03-11,201811,1400100,14,14,14,14
2018-03-11,201811,1400159,2,2,2,2
2018-03-11,201811,1400175,0,0,0,0
2018-03-11,201811,1400209,0,0,0,0
2018-03-11,201811,1400233,1,1,1,1
2018-03-11,201811,1400282,0,0,0,0
2018-03-11,201811,1400308,2,2,2,2
2018-03-11,201811,1400407,0,0,0,0
2018-03-11,201811,1400456,1,1,1,1
2018-03-11,201811,1400472,7,7,7,7
2018-03-11,201811,1400506,13,13,13,13
2018-03-11,201811,1400605,0,0,0,0
2018-03-11,201811,1400704,0,0,0,0
2018-03-18,201812,1400027,0,0,0,0
2018-03-18,201812,1400050,0,0,0,0
2018-03-18,201812,1400100,9,9,9,9
2018-03-18,201812,1400159,3,3,3,3
2018-03-18,201812,1400175,0,0,0,0
2018-03-18,201812,1400209,0,0,0,0
2018-03-18,201812,1400233,0,0,0,0
2018-03-18,201812,1400282,0,0,0,0
2018-03-18,201812,1400308,1,1,1,1
2018-03-18,201812,1400407,0,0,0,0
2018-03-18,201812,1400456,1,1,1,1
2018-03-18,201812,1400472,5,5,5,5
2018-03-18,201812,1400506,1,1,1,1
2018-03-18,201812,1400605,0,0,0,0
2018-03-18,201812,1400704,0,0,0,0
2018-03-25,201813,1400027,0,0,0,0
2018-03-25,201813,1400050,0,0,0,0
2018-03-25,201813,1400100,8,8,8,8
2018-03-25,201813,1400159,1,1,1,1
2018-03-25,201813,1400175,0,0,0,0
2018-03-25,201813,1400209,0,0,0,0
2018-03-25,201813,1400233,0,0,0,0
2018-03-25,201813,1400282,0,0,0,0
2018-03-25,201813,1400308,1,1,1,1
2018-03-25,201813,1400407,0,0,0,0
2018-03-25,201813,1400456,0,0,0,0
2018-03-25,201813,1400472,5,5,5,5
2018-03-25,201813,1400506,0,0,0,0
