"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,4200051,0,0,0,0
2017-12-31,201801,4200101,0,0,0,0
2017-12-31,201801,4200200,0,0,0,0
2017-12-31,201801,4200309,0,0,0,0
2017-12-31,201801,4200408,0,0,0,0
2017-12-31,201801,4200507,0,0,0,0
2017-12-31,201801,4200556,0,0,0,0
2017-12-31,201801,4200606,0,0,0,0
2017-12-31,201801,4200705,0,0,0,0
2017-12-31,201801,4200754,0,0,0,0
2017-12-31,201801,4200804,0,0,0,0
2017-12-31,201801,4200903,0,0,0,0
2017-12-31,201801,4201000,0,0,0,0
2017-12-31,201801,4201109,0,0,0,0
2017-12-31,201801,4201208,0,0,0,0
2017-12-31,201801,4201257,0,0,0,0
2017-12-31,201801,4201273,0,0,0,0
2017-12-31,201801,4201307,0,0,0,0
2017-12-31,201801,4201406,0,0,0,0
2017-12-31,201801,4201505,0,0,0,0
2017-12-31,201801,4201604,0,0,0,0
2017-12-31,201801,4201653,0,0,0,0
2017-12-31,201801,4201703,0,0,0,0
2017-12-31,201801,4201802,0,0,0,0
2017-12-31,201801,4201901,0,0,0,0
2017-12-31,201801,4201950,0,0,0,0
2017-12-31,201801,4202008,8,8,8,8
2017-12-31,201801,4202057,0,0,0,0
2017-12-31,201801,4202073,0,0,0,0
2017-12-31,201801,4202081,0,0,0,0
2017-12-31,201801,4202099,0,0,0,0
2017-12-31,201801,4202107,0,0,0,0
2017-12-31,201801,4202131,0,0,0,0
2017-12-31,201801,4202156,0,0,0,0
2017-12-31,201801,4202206,0,0,0,0
2017-12-31,201801,4202305,0,0,0,0
2017-12-31,201801,4202404,3,3,3,3
2017-12-31,201801,4202438,0,0,0,0
2017-12-31,201801,4202453,0,0,0,0
2017-12-31,201801,4202503,0,0,0,0
2017-12-31,201801,4202537,0,0,0,0
2017-12-31,201801,4202578,0,0,0,0
2017-12-31,201801,4202602,0,0,0,0
2017-12-31,201801,4202701,0,0,0,0
2017-12-31,201801,4202800,0,0,0,0
2017-12-31,201801,4202859,0,0,0,0
2017-12-31,201801,4202875,0,0,0,0
2017-12-31,201801,4202909,2,2,2,2
2017-12-31,201801,4203006,0,0,0,0
