"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp","meantemp","maxtemp","minumid","meanumid","maxumid","pop","inc_level","receptive","transmission"
2017-12-31,201801,3300100,0,0,0,0,20.8571428571429,21,21.1428571428571,84.7446185714286,85.8804128571429,87.0162071428571,207044,0,0,0
2018-01-07,201802,3300100,8,8,8,8,19.5714285714286,22.2809524285714,24.4285714285714,71.3792841428571,81.3837091428571,93.1409134285714,207044,1,1,1
2018-01-14,201803,3300100,18,18,18,18,20.1428571428571,21.8000001428571,24,75.9034102857143,85.1588278571429,93.1714628571429,207044,1,1,1
2018-01-21,201804,3300100,22,22,22,22,21,21.4190474285714,21.8571428571429,85.6456014285714,88.4818077142857,91.5907942857143,207044,1,1,1
2018-01-28,201805,3300100,12,12,12,12,20,20.1428571428571,20.2857142857143,88.38968,89.5522628571429,90.7148448571429,207044,1,1,0
2018-02-04,201806,3300100,9,9,9,9,19.4285714285714,20.1809522857143,21,83.5109345714286,86.5431052857143,89.9468388571429,207044,1,1,0
2018-02-11,201807,3300100,3,3,3,3,20.8571428571429,21,21.1428571428571,87.5749171428571,88.3773542857143,89.1797928571429,207044,0,1,0
2018-02-18,201808,3300100,5,5,5,5,20.7142857142857,21.5714285714286,22.5714285714286,84.1205951428571,88.0050521428571,91.6072242857143,207044,0,1,0
2018-02-25,201809,3300100,3,3,3,3,21,24.1857142857143,27.2857142857143,68.498876,80.8849178571429,94.0499514285714,207044,0,1,0
2018-03-04,201810,3300100,8,8,8,8,21.4285714285714,21.7142857142857,22,90.0199857142857,90.8264292857143,91.6328771428571,207044,1,1,0
2018-03-11,201811,3300100,4,4,4,4,21.2857142857143,21.4285714285714,21.5714285714286,89.2157542857143,90.8197085714286,92.4236657142857,207044,0,1,0
2018-03-18,201812,3300100,1,1,1,1,21.1428571428571,21.6428571428571,22.1428571428571,87.7689902857143,89.3142484285714,90.8595114285714,207044,0,1,0
