"ew_start","ew","geocode","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp","meantemp","maxtemp","minumid","meanumid","maxumid","pop","inc_level","receptive","transmission"
2017-12-31,201801,3200102,4,4,4,4,24.7142857142857,25.4142857142857,26.2857142857143,86.102621,90.9619337142857,94.396508,30455,0,1,0
2018-01-07,201802,3200102,1,1,1,1,23.8571428571429,24.8714285714286,26.2857142857143,82.2494548571429,90.9085084285714,96.71703,30455,0,1,0
2018-01-14,201803,3200102,3,3,3,3,24.8571428571429,26.4892857142857,28.2857142857143,72.7994195714286,79.8972078571429,87.3415854285714,30455,0,1,0
2018-01-21,201804,3200102,1,1,1,1,22.8571428571429,25.1857142857143,27.2857142857143,75.1540732857143,84.5387171428572,94.3394765714286,30455,0,1,0
2018-01-28,201805,3200102,4,4,4,4,23.1428571428571,24.2238094285714,25.8571428571429,80.7361707142857,89.6429707142857,95.3203288571429,30455,0,1,0
2018-02-04,201806,3200102,6,6,6,6,23.1428571428571,24.2238094285714,25.2857142857143,90.4315155714286,96.563145,100,30455,1,1,0
2018-02-11,201807,3200102,4,4,4,4,23.2857142857143,24.6571428571429,26.7142857142857,82.913558,93.2563128571429,98.3402235714286,30455,0,1,0
2018-02-18,201808,3200102,3,3,3,3,25.2857142857143,26.1590908571429,27.2857142857143,75.115102,82.7546292857143,89.0659325714286,30455,0,1,0
2018-02-25,201809,3200102,3,3,3,3,25,27.2161257142857,30.7142857142857,61.111976,77.8554874285714,90.4329445714286,30455,0,1,0
2018-03-04,201810,3200102,9,9,9,9,25.2857142857143,25.7792208571429,26.5714285714286,83.2102504285714,90.00833,94.5269008571429,30455,1,1,0
2018-03-11,201811,3200102,5,5,5,5,24.5714285714286,25.5082251428571,27,89.042298,95.674965,99.1820557142857,30455,0,1,0
2018-03-18,201812,3200102,8,8,8,8,23.7142857142857,24.9426408571429,26.4285714285714,83.7003742857143,92.8719778571429,95.2324165714286,30455,1,1,0
2018-03-25,201813,3200102,27,27,27,27,22.5714285714286,23.4025977142857,25,93.4825014285714,99.1811765714286,100,30455,2,1,1
2018-04-01,201814,3200102,42,42,42,42,24.1428571428571,24.9870128571429,25.7142857142857,84.7278442857143,92.731807,96.7882714285714,30455,2,1,1
2018-04-04,201815,3200102,70,70,70,70,22,22.7272728571429,24,95.14047,99.4827837142857,100,30455,2,0,1
2018-04-15,201816,3200102,77,77,77,77,21,22.5443722857143,25,79.7607892857143,92.6114758571429,100,30455,2,0,1
2018-04-22,201817,3200102,76,76,76,76,20.8571428571429,23.5833334285714,27.4285714285714,69.4318905714286,91.6428294285714,100,30455,2,0,0
2018-04-29,201818,3200102,37,37,37,37,20.2857142857143,23.9166665714286,27.4285714285714,67.0890911428571,89.6374067142857,100,30455,2,0,0
2018-05-06,201819,3200102,34,34,34,34,19.8571428571429,23.5119042857143,27.7142857142857,61.307774,85.1841987142857,99.1392157142857,30455,2,0,0
2018-05-13,201820,3200102,29,29,29,29,21.5714285714286,24.1319877142857,27.5714285714286,69.7393684285714,87.2432892857143,98.3281828571429,30455,2,0,0
2018-05-20,201821,3200102,27,27,27,27,19.5714285714286,21.0930734285714,22.8571428571429,80.5755927142857,88.678578,95.7887728571429,30455,2,0,0
