"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission"
2017-12-31,201801,88,88,88,88,23.4285714285714,24.2858974395605,25.7857142857143,84.2899681428572,91.1423516483516,93.9772376593407,1796460,0.432898032797836,0.649563029513599,0.0224641795531211
2018-01-07,201802,95,95,95,95,22.4395604395604,24.1217946043956,27.7747252747253,71.4281248901099,88.5490523076923,94.134445989011,1796460,0.511864444518665,0,0.372601115527203
2018-01-14,201803,92,92,92,92,23.1153846153846,24.9163005384616,28.2307692307692,70.1731253846154,86.3979458021979,94.1422006593407,1796460,0.348541019560692,0.780178796076729,0.0192484107633902
2018-01-21,201804,72,72,72,72,23.1868131868132,25.4631714725275,29.4725274725275,66.7127656703297,85.451100510989,94.1055053571429,1796460,0.451823029736259,0.59282756086971,0
2018-01-28,201805,80,80,80,80,24.3956043956044,25.0510989010989,25.8131868131869,86.5368824505495,91.6901488901099,94.0988049175824,1796460,0.648842724023914,0.697065339612349,0
2018-02-04,201806,72,72,72,72,23.7252747252747,24.6513277472527,25.6868131868132,86.5995826428572,91.6174214560439,94.0942142087912,1796460,0.45541231087806,0.638473442214132,0.0568957839306191
2018-02-11,201807,71,71,71,71,23.4285714285714,24.137912087912,25.010989010989,88.4776222747253,92.609371521978,94.1293343131868,1796460,0.420980706500562,0.738255791946383,0
2018-02-18,201808,59,59,59,59,23.1373626373626,23.9814976703297,24.8791208791209,88.4738365934066,92.2775826593406,94.1596073901099,1796460,0.300231566525277,0.715566725671599,0
2018-02-25,201809,58,58,58,58,22.8791208791209,25.4889642417582,29.510989010989,66.2136953076923,83.8894899725275,93.3986288956044,1796460,0.357127350455897,0,0
2018-03-04,201810,54,54,54,54,23.967032967033,24.8415582967033,26.3956043956044,83.5769162307692,91.1473978021978,94.1840034065934,1796460,0.359449138861984,0.719315208799528,0.0478123643164891
2018-03-11,201811,42,42,42,42,23.8461538461539,24.3329587692308,25.3681318681319,88.8544873516484,92.8165243186813,94.178178543956,1796460,0.300231566525277,0.606901350433631,0
2018-03-18,201812,49,49,49,49,23.4340659340659,24.1354644285714,25.1868131868131,88.4314581483517,92.8544191648351,94.1728191703296,1796460,0.340895427674426,0.690011466996204,0
2018-03-25,201813,41,41,41,41,22.9505494505494,23.7161843076923,24.989010989011,86.9987461868132,92.3106719010989,94.1058844505494,1796460,0.300231566525277,0.0086525722810416,0
2018-04-01,201814,76,76,76,76,23.3901098901099,24.1112884505495,25.1043956043956,87.7445831483517,93.0949400934066,94.1765012637363,1796460,0.439834452200439,0.750591162619819,0.0568957839306191
2018-04-04,201815,71,71,71,71,23.6263736263736,24.195104989011,24.8736263736264,89.7899793186813,92.6379915384615,94.2296001923077,1796460,0.477309263774312,0.634782850717522,0.0478123643164891
2018-04-15,201816,64,64,64,64,23.0604395604395,24.3679236043956,26.5714285714286,78.7947991428572,89.3272432527472,94.1580930494505,1796460,0.398378477672756,0.619052469857386,0.00331318259243178
2018-04-22,201817,44,44,44,44,23.7307692307693,26.3818416703297,31.021978021978,58.983733010989,83.6160911043956,94.193958901099,1796460,0.348043930841767,0.745678167061888,0
2018-04-29,201818,78,78,78,78,23.2032967032967,26.1282052197802,31.4945054945055,57.4389804285715,83.3488910934066,94.210118434066,1796460,0.372601115527203,0.569260657070015,0
2018-05-06,201819,52,52,52,52,22.956043956044,26.1561355934066,32.0604395604395,55.0976050439561,81.7697523571428,94.1384339560439,1796460,0.348043930841767,0,0
2018-05-13,201820,35,35,35,35,23.1428571428572,25.7081697362638,30.4725274725274,62.3344531923077,84.6132568186813,94.2133026923077,1796460,0.300231566525277,0.608240651058192,0
2018-05-20,201821,40,40,40,40,22.3406593406593,23.6616091648352,25.4010989010989,78.0463976703297,85.725455967033,91.9398421868132,1796460,0.300231566525277,0,0
2018-05-27,201822,36,36,36,36,22.8131868131868,23.9742758681319,25.7802197802198,82.2881224725275,91.1614082967033,94.1127687912088,1796460,0.0478123643164891,0,0
2018-06-03,201823,22,22,22,22,20.1263736263736,21.3221780549451,22.7032967032967,79.697577021978,85.0429704725275,88.2728823186813,1796460,0,0,0
2018-06-10,201824,23,23,23,23,22.2142857142857,23.2857143846154,25,80.0450382032967,87.4949725054945,91.195617,1796460,0.348043930841767,0,0
2018-06-17,201825,18,18,18,18,19.8901098901098,21.6208293351648,24.3846153846154,74.089232054945,86.2954631318681,93.1855308131868,1796460,0,0,0
2018-06-24,201826,18,18,18,18,20.1483516483517,21.9330666373626,25.4615384615385,65.0371509945055,83.565730434066,93.959714956044,1796460,0,0,0
2018-07-01,201827,23,23,23,23,20.1373626373626,22.1478939120879,25.8021978021978,63.3936088681319,82.3610703901099,93.0750723516484,1796460,0.300231566525277,0,0
2018-07-08,201828,28,28,28,28,19.4395604395604,21.7023642582417,25.5219780219781,61.3254869615385,77.3936523021978,86.6497386098901,1796460,0.104708148247108,0,0
2018-07-15,201829,32,32,32,32,21.6703296703297,26.3382243956044,32.2747252747252,43.1853797967033,70.1118946813187,92.3814646703297,1796460,0.300231566525277,0,0
2018-07-22,201830,27,27,27,27,20.0934065934066,26.3571429670329,33.7362637362637,29.2778996923077,57.601762010989,83.8502822087912,1796460,0.357127350455897,0,0
2018-07-29,201831,23,23,23,23,23.1648351648351,27.385073,33.7582417582418,40.3561098571428,69.1742167417583,91.457122989011,1796460,0.300231566525277,0,0
2018-08-05,201832,20,20,20,20,22.065934065934,26.7690017362637,33.6923076923077,39.0293000494506,67.0098358021978,88.9911071978022,1796460,0.300231566525277,0,0
2018-08-12,201833,17,17,17,17,22.5769230769231,24.7430859065934,28.0824175824175,64.7637579560439,80.4162100824175,92.6318073681318,1796460,0.300231566525277,0,0
2018-08-19,201834,16,16,16,16,20.8901098901098,23.0081251263736,25.8076923076923,69.2019981758242,82.8699791978022,90.6955130989011,1796460,0.0568957839306191,0,0.0568957839306191
2018-08-26,201835,19,19,19,19,21.6648351648352,23.340118032967,25.8021978021978,72.817122,82.4739475494505,88.8489551318682,1796460,0,0,0
2018-09-02,201836,13,13,13,13,20.5,23.2370213681319,26.1263736263736,58.791765532967,73.3653853021978,85.375818021978,1796460,0,0,0
2018-09-09,201837,19,19,19,19,22.9175824175824,25.0092574175824,27.6263736263737,67.9083055824176,80.8766989945055,89.8501873076923,1796460,0.300231566525277,0,0
2018-09-16,201838,13,13,13,13,22.8516483516484,24.3300866043956,26.6923076923077,76.6409877857143,86.0113733021978,93.572294434066,1796460,0,0,0
2018-09-23,201839,15,15,15,15,23.5164835164835,24.7982850439561,26.7307692307692,76.0477852857143,85.6178248076923,93.711352,1796460,0,0.478432584082028,0
2018-09-30,201840,14,14,14,14,23.6428571428571,25.6116323736264,28.9285714285714,68.094697065934,83.6082022747253,93.2931343626374,1796460,0.300231566525277,0.457267626331786,0
2018-10-07,201841,14,14,14,14,23.1593406593406,26.3191195494506,31.956043956044,56.1065747417583,80.7566805054945,94.145985467033,1796460,0.300231566525277,0,0
2018-10-14,201842,29,29,29,29,24.467032967033,27.8104044505495,31.9395604395604,57.1535998076923,77.9424865274725,92.9737282912088,1796460,0.366243612437794,0.0313744809235942,0.0181996815960277
2018-10-21,201843,14,14,14,14,24.1868131868132,24.82669,26.076923076923,84.4683145274725,90.3656564835164,94.391318489011,1796460,0,0.53266256972045,0
2018-10-28,201844,23,23,23,23,23.4120879120879,24.6633369120879,26.2637362637363,82.3248856703297,89.624511967033,93.597381510989,1796460,0.300231566525277,0.565177070460795,0
2018-11-04,201845,27,27,27,27,24.0714285714285,24.758841087912,26.1978021978022,82.8387206373626,89.3089277417583,94.3492496153847,1796460,0,0.536800151408882,0
2018-11-11,201846,18,18,18,18,23.9835164835165,24.917871,26.3901098901099,84.4537129395604,91.5489572032967,94.3838878021978,1796460,0,0.567999287487615,0
