"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission"
2017-12-31,201801,231,231,231,231,23.9345666324084,25.9739173833505,27.8523466940733,68.4352944222336,77.7109072740665,86.7644961754882,14930634,0.0768892332368471,0.322009835617161,0.0768892332368471
2018-01-07,201802,188,188,188,188,NA,25.7844540873706,28.15983436853,64.5023608993789,75.2980648343685,NA,14930634,0.233031229618247,0.263629260485523,0.0128135884919555
2018-01-14,201803,282,282,282,282,NA,25.9541020124224,28.0828157349896,62.7204238223603,74.0077696223603,NA,14930634,0.229549060006427,0.338670682035338,0.00466570944006798
2018-01-21,201804,242,242,242,242,NA,25.6212143805383,27.7995859213251,64.0126086886128,74.5371065532091,NA,14930634,0.244408442401039,0.272762228315288,0.0340183812690071
2018-01-28,201805,213,213,213,213,24.014731072285,25.8210000709147,27.2840013703323,70.2338983093525,77.8287882774923,86.3595782696129,14930634,0.0345357738994875,0.304908284537683,0.0107110655850247
2018-02-04,201806,186,186,186,186,24.1935594381637,25.4757200423433,26.8931140801644,77.6411021696471,84.7392919661528,91.4261117078451,14930634,0.040574499381607,0.357046057119879,0
2018-02-11,201807,255,255,255,255,23.7103460089072,25.3606426644741,26.9953066118534,68.3215041440219,77.7114641292908,86.6825654464886,14930634,0.0474332838109889,0.279714444811922,0.00466570944006798
2018-02-18,201808,315,315,315,315,23.8892086330935,26.0741412006167,28.0903734155533,65.7620071402878,77.0930720171291,87.9835456881466,14930634,0.0588425113092987,0.316856805946753,0.02136145055863
2018-02-25,201809,387,387,387,387,24.1305241521069,27.2377724387119,30.3726961288113,54.0954419948612,69.6812281609798,85.7728122753683,14930634,0.254663934565672,0.292464338754804,0.0428514957904668
2018-03-04,201810,404,404,404,404,24.8858969966884,26.7236912842754,28.438118076967,68.9927456393742,78.5131784418408,88.1299145436679,14930634,0.241426117604919,0.385582822537878,0.0170903660219653
2018-03-11,201811,370,370,370,370,NA,25.5061417596059,26.7233169129721,81.5842854631363,87.2473425512315,NA,14930634,0.23724129866153,0.404899952674481,0.00280590897881497
2018-03-18,201812,310,310,310,310,24.3847207947927,25.8571897519699,27.5136005481329,71.6064668968825,79.5671855908873,87.1455513086673,14930634,0.0542639381556068,0.331996350590337,0.0139511155386972
2018-03-25,201813,320,320,320,320,23.0639773895169,24.9102727365536,26.4864679684824,72.639646665382,80.9932014902364,90.4567998998801,14930634,0.278907915095903,0.335457221709406,0.0205835867385136
2018-04-01,201814,484,484,484,484,24.0330935251799,26.0992530990065,28.1136690647482,66.0646621721137,76.0822662376156,86.1798474487153,14930634,0.285761944201432,0.319221340500343,0.0245458431303051
2018-04-04,201815,593,593,593,593,23.4939705378554,25.0262244895512,26.4206577595067,74.0565564699897,81.6525882262762,89.8385243405618,14930634,0.0938300409748173,0.345878346492185,0.0222428598812348
2018-04-15,201816,665,665,665,665,23.4179513532031,25.0091566687222,26.684309695101,70.1546281964714,79.4758125697157,88.1374063035286,14930634,0.087916159487936,0.306738280504364,0.0347916906944474
2018-04-22,201817,596,596,596,596,23.1844167523124,26.0228498443754,29.1483781918565,61.1622906514838,75.7127562277433,89.3759402146283,14930634,0.117634053584061,0.277232165760677,0.0160297948499709
2018-04-29,201818,606,606,606,606,23.6225162726961,26.6671055512422,29.7838164251208,59.1999068133195,73.4651687550035,87.7139130597807,14930634,0.0986545514410172,0.31633057243249,0.0281489721066098
2018-05-06,201819,550,550,550,550,22.8107014388489,25.9288827443064,29.3863008971705,56.6437888557626,72.7749316563147,88.4750637380953,14930634,0.0914605501681978,0.285835484280172,0.0272628744365444
2018-05-13,201820,491,491,491,491,23.1698355601233,26.4916103436853,30.07022084196,56.4047239882678,72.546985318323,88.9894712953066,14930634,0.0859058630731957,0.304357805569409,0.0320599915582955
2018-05-20,201821,385,385,385,385,22.6617206235012,25.0283384806763,27.4603174603175,63.6427201552795,76.5152486394065,87.0039757086331,14930634,0.0809786777976073,0.29426761114096,0.00187426736198878
2018-05-27,201822,383,383,383,383,21.7538112367249,23.4010440534852,24.5748792270531,73.0819331747757,80.7487025058661,90.2687262802329,14930634,0.0677892847684834,0.292752672123635,0.0047156068523279
2018-06-03,201823,315,315,315,315,22.5125685166153,23.9219066438924,25.496204278813,76.2857733517943,84.2929205785024,91.1987121437136,14930634,0.0616624853304957,0.299946003632532,0.00337266321041692
2018-06-10,201824,339,339,339,339,22.1414868105516,23.7304172070393,25.6224982746722,70.4098039004486,79.9199622436163,88.7105844455293,14930634,0.11025734071306,0.269296400943188,0.016105612126049
2018-06-17,201825,213,213,213,213,21.5374486125385,23.1978961349207,24.8000345065562,69.2639566887509,78.7708039202899,88.4989165202124,14930634,0.0388920524071516,0.256969596870434,0.000569098405332285
2018-06-24,201826,176,176,176,176,21.1067574511819,23.0196591890959,25.0303657694962,67.3757587298137,78.0360250046584,88.8846750020555,14930634,0.0457564628534863,0.256010628885552,0.000771032228102303
2018-07-01,201827,226,226,226,226,21.7103245974649,23.3501161266391,25.2957211870255,66.5228724623878,77.1417237398206,86.06862341247,14930634,0.0638172498234167,0.274673131763862,0.00129371599357402
2018-07-08,201828,158,158,158,158,21.13403562864,23.1378893309179,25.3914768806073,64.3636625638371,75.7824531621808,85.9757442840014,14930634,0.0438876875556658,0.0252097801071274,0.00129371599357402
2018-07-15,201829,187,187,187,187,21.1387675573827,23.9890992160111,27.1542443064182,55.4595883304003,71.6216895312285,87.4337310936965,14930634,0.0482968104368508,0.261206657399813,0.00615251837262905
2018-07-22,201830,193,193,193,193,21.2656303528606,24.4087598388544,27.796066252588,50.9038163240166,66.1478642971015,81.8455104693388,14930634,0.101767815084075,0.257519272122001,0.0491877973835538
2018-07-29,201831,188,188,188,188,21.3061622130867,25.0332150017253,28.8448930296756,49.8960108205659,65.7733642137681,83.1478555774238,14930634,0.088374010105666,0.253604501992347,0.00485880237905504
2018-08-05,201832,186,186,186,186,21.6354916067146,25.8148758347136,29.7458592132505,51.5861643083161,66.7016949484127,85.489686495889,14930634,0.102294182551123,0.00842060692131359,0.0146117036959047
2018-08-12,201833,187,187,187,187,22.3724948612539,24.8654261666667,27.4268461007591,60.0563297179089,71.7952633524845,82.8423539522096,14930634,0.0270291268274341,0.267351004652582,0.00631185520989933
2018-08-19,201834,206,206,206,206,21.595623501199,23.5344189875776,25.6173222912353,65.2824388429952,76.3849437993444,86.2968943160329,14930634,0.0781034482527668,0.241469183425165,0.0429522282844787
2018-08-26,201835,148,148,148,148,21.022760363138,23.0367025928226,25.172187715666,63.8210742077295,75.6972988992408,86.0052295853032,14930634,0.0719509298801377,0.256127100831753,0.00145305283084429
2018-09-02,201836,158,158,158,158,22.254282288455,24.2156612857143,26.6168046928917,60.3322282639752,71.7234472339545,81.8601003132922,14930634,0.0768097322591927,0.238896017409576,0.00145305283084429
2018-09-09,201837,149,149,149,149,21.5854958890031,23.7116611846101,25.8476535541753,58.4125230232919,69.5570904083851,81.0537075255224,14930634,0.0451779877532327,0.258413273006357,0.00485880237905504
2018-09-16,201838,127,127,127,127,23.7615193559438,25.8170162953761,27.7241200828157,60.4731411373361,69.8951409806763,79.9337726041452,14930634,0.0272354141157033,0.276098657297473,0
2018-09-23,201839,167,167,167,167,23.8549803014731,25.9272044182195,28.0645272601794,57.122005844893,67.7066057986543,78.3940377415211,14930634,0.04351837972855,0.250297006811633,0.0203810501282129
2018-09-30,201840,174,174,174,174,24.0058239122987,26.7508435238095,29.4242891401165,53.2146786205892,64.7507868461802,78.974151229702,14930634,0.0389347163690437,0.245957338449258,0.00145305283084429
2018-10-07,201841,173,173,173,173,NA,27.6969832397591,31.1734939759036,45.7104467094664,58.9310120807229,74.6745482543679,14930634,0.0549426769151263,0.246996008340972,0.00145305283084429
2018-10-14,201842,190,190,190,190,24.3802672147996,27.3458609064872,30.3397170462388,57.5544293048654,70.1239398809524,83.7619645469339,14930634,0.0687345895693378,0.310473486926275,0.0414991754536345
2018-10-21,201843,197,197,197,197,23.8103802672148,25.5049012699555,27.2901678657074,65.9825703268243,75.7780282297019,84.5936610030833,14930634,0.0825426435340924,0.270621662817533,0
2018-10-28,201844,188,188,188,188,24.4945112233195,26.08352979598,27.7617322291235,69.0409430002588,77.1858847074707,84.5217363525291,14930634,0.0743894063708212,0.289959555635749,0
2018-11-04,201845,189,189,189,189,24.3274945261182,26.1882499772257,28.2389579020014,64.0130370743616,74.114094621118,82.9356449832358,14930634,0.0608976819068768,0.300557632046971,0.0414991754536345
2018-11-11,201846,185,185,185,185,24.8105292163784,26.2270223543823,27.8793995859213,67.1300379943064,75.376590552795,81.8598318274573,14930634,0.0524020614261926,0.300902761396468,0
2018-11-18,201847,196,196,196,196,25.2084320121542,26.9214115350241,28.6428571428571,59.426948657695,68.7724879958592,77.8684516590032,14930634,0.0706572138865637,0.341301313795516,0
2018-11-25,201848,178,178,178,178,23.5020182611675,24.927375952381,26.5709109730849,72.1145686708074,80.5739427712216,88.0375823255954,14930634,0.0764437732516918,0.305004663566195,0.00205436688087056
2018-12-02,201849,179,179,179,179,24.3060532940107,25.5740188868185,27.1292270531401,79.6228287170462,87.9724290141477,94.619751459471,14930634,0.0560558245550725,0.326646410326581,0.000771032228102303
2018-12-09,201850,242,242,242,242,NA,26.7098082992372,29.6473647711512,60.8921584680999,75.0862969889043,89.90361569957,14930634,0.0623051907909604,0.291687546556965,0.0414991754536345
2018-12-16,201851,198,198,198,198,NA,27.2069274164355,30.7321428571429,51.5642912255548,67.5501865944868,85.6781530016767,14930634,0.0430412399098391,0.282450296484396,0.0414991754536345
2018-12-23,201852,204,204,204,204,24.2419679163502,26.8803414100069,29.640303657695,61.0762020890269,72.8164921886819,84.8102952006658,14930634,0.0858943431337209,0.331861125254293,0.0211520823563152
2018-12-30,201901,537,537,537,537,24.5987607429584,26.4532312750172,28.2748447204969,65.5010604377157,74.9880698823326,84.3225001268675,14930634,0.319978039780494,0.355082845108922,0.270050890002394
2019-01-06,201902,627,627,627,627,24.4233507603855,25.8983609277088,27.6651138716356,64.9809347123878,74.7608288952726,83.9253857139803,14930634,0.154023533093102,0.362545153809276,0.0838374981263354
2019-01-13,201903,727,727,727,727,24.658355303335,27.8530028250518,30.8773291925466,53.4016785607315,67.036725513285,82.914934545355,14930634,0.155095959086533,0.317494086319442,0.0747266994824198
