"ew_start","sum_of_cases"
2017-12-31,60
2018-01-07,79
2018-01-14,46
2018-01-21,48
2018-01-28,31
2018-02-04,58
2018-02-11,46
2018-02-18,40
2018-02-25,45
2018-03-04,50
2018-03-11,47
2018-03-18,52
2018-03-25,30
2018-04-01,62
2018-04-04,61
2018-04-15,73
2018-04-22,53
2018-04-29,62
2018-05-06,84
2018-05-13,115
2018-05-20,98
2018-05-27,85
2018-06-03,96
2018-06-10,120
2018-06-17,72
2018-06-24,57
2018-07-01,68
2018-07-08,42
2018-07-15,71
2018-07-22,66
2018-07-29,70
2018-08-05,62
2018-08-12,70
2018-08-19,70
2018-08-26,46
2018-09-02,41
2018-09-09,50
2018-09-16,45
2018-09-23,42
2018-09-30,33
2018-10-07,45
2018-10-14,46
2018-10-21,40
2018-10-28,38
2018-11-04,47
2018-11-11,47
2018-11-18,44
2018-11-25,39
2018-12-02,39
2018-12-09,56
2018-12-16,56
2018-12-23,47
2018-12-30,50
2019-01-06,73
2019-01-13,116
2019-01-20,121
2019-01-27,117
2019-02-03,152
2019-02-10,132
2019-02-17,181
2019-02-24,193
2019-03-03,242
2019-03-10,225
2019-03-17,264
2019-03-24,294
2019-03-31,412
2019-04-07,517
2019-04-14,493
2019-04-21,694
2019-04-28,893
2019-05-05,1097
2019-05-12,1199
2019-05-19,1273
2019-05-26,1365
2019-06-02,1228
2019-06-09,1144
2019-06-16,1083
2019-06-23,1195
2019-06-30,1060
2019-07-07,1172
2019-07-14,1214
2019-07-21,1128
2019-07-28,826
2019-08-04,843
2019-08-11,783
2019-08-18,710
2019-08-25,564
2019-09-01,512
2019-09-08,462
2019-09-15,441
2019-09-22,445
2019-09-29,469
2019-10-06,342
2019-10-13,261
2019-10-20,219
2019-10-27,255
2019-11-03,122
2019-11-10,181
2019-11-17,236
2019-11-24,227
2019-12-01,64
2019-12-08,51
2019-12-15,44
2019-12-22,34
2019-12-29,38
2020-01-05,60
2020-01-12,61
2020-01-19,47
2020-01-26,40
2020-02-02,63
2020-02-09,58
2020-02-16,56
2020-02-23,69
2020-03-01,57
2020-03-08,63
2020-03-15,31
2020-03-22,32
2020-03-29,42
2020-04-05,78
2020-04-12,159
2020-04-19,135
2020-04-26,120
