"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,60,60,60,60
2018-01-07,79,79,79,79
2018-01-14,46,46,46,46
2018-01-21,48,48,48,48
2018-01-28,31,31,31,31
2018-02-04,58,58,58,58
2018-02-11,46,46,46,46
2018-02-18,40,40,40,40
2018-02-25,45,45,45,45
2018-03-04,50,50,50,50
2018-03-11,47,47,47,47
2018-03-18,52,52,52,52
2018-03-25,30,30,30,30
2018-04-01,62,62,62,62
2018-04-04,61,61,61,61
2018-04-15,73,73,73,73
2018-04-22,53,53,53,53
2018-04-29,62,62,62,62
2018-05-06,84,84,84,84
2018-05-13,115,115,115,115
2018-05-20,98,98,98,98
2018-05-27,85,85,85,85
2018-06-03,96,96,96,96
2018-06-10,120,120,120,120
2018-06-17,72,72,72,72
2018-06-24,57,57,57,57
2018-07-01,68,68,68,68
2018-07-08,42,42,42,42
2018-07-15,71,71,71,71
2018-07-22,66,66,66,66
2018-07-29,70,70,70,70
2018-08-05,62,62,62,62
2018-08-12,70,70,70,70
2018-08-19,70,70,70,70
2018-08-26,46,46,46,46
2018-09-02,41,41,41,41
2018-09-09,50,50,50,50
2018-09-16,45,45,45,45
2018-09-23,42,42,42,42
2018-09-30,33,33,33,33
2018-10-07,45,45,45,45
2018-10-14,46,46,46,46
2018-10-21,40,40,40,40
2018-10-28,38,38,38,38
2018-11-04,47,47,47,47
2018-11-11,47,47,47,47
2018-11-18,44,44,44,44
2018-11-25,39,39,39,39
2018-12-02,39,39,39,39
2018-12-09,56,56,56,56
2018-12-16,56,56,56,56
2018-12-23,47,47,47,47
2018-12-30,50,50,50,50
2019-01-06,73,73,73,73
2019-01-13,116,116,116,116
2019-01-20,121,121,121,121
2019-01-27,117,117,117,117
2019-02-03,152,152,152,152
2019-02-10,132,132,132,132
2019-02-17,181,181,181,181
2019-02-24,193,193,193,193
2019-03-03,242,242,242,242
2019-03-10,225,225,225,225
2019-03-17,264,264,264,264
2019-03-24,294,294,294,294
2019-03-31,412,412,412,412
2019-04-07,517,517,517,517
2019-04-14,493,493,493,493
2019-04-21,694,694,694,694
2019-04-28,893,893,893,893
2019-05-05,1097,1097,1097,1097
2019-05-12,1199,1199,1199,1199
2019-05-19,1273,1273,1273,1273
2019-05-26,1365,1365,1365,1365
2019-06-02,1228,1228,1228,1228
2019-06-09,1144,1144,1144,1144
2019-06-16,1083,1083,1083,1083
2019-06-23,1195,1195,1195,1195
2019-06-30,1060,1060,1060,1060
2019-07-07,1172,1172,1172,1172
2019-07-14,1214,1214,1214,1214
2019-07-21,1128,1128,1128,1128
2019-07-28,826,826,826,826
2019-08-04,843,843,843,843
2019-08-11,783,783,783,783
2019-08-18,710,710,710,710
2019-08-25,564,564,564,564
2019-09-01,512,512,512,512
2019-09-08,462,462,462,462
2019-09-15,441,441,441,441
2019-09-22,445,445,445,445
2019-09-29,469,469,469,469
2019-10-06,342,342,342,342
2019-10-13,261,261,261,261
2019-10-20,219,219,219,219
2019-10-27,255,255,255,255
2019-11-03,122,122,122,122
2019-11-10,181,181,181,181
2019-11-17,236,236,236,236
2019-11-24,227,227,227,227
2019-12-01,64,64,64,64
2019-12-08,51,51,51,51
2019-12-15,44,44,44,44
2019-12-22,34,34,34,34
2019-12-29,38,38,38,38
2020-01-05,60,60,60,60
2020-01-12,61,61,61,61
2020-01-19,47,47,47,47
2020-01-26,40,40,40,40
2020-02-02,63,63,63,63
2020-02-09,58,58,58,58
2020-02-16,56,56,56,56
2020-02-23,69,69,69,69
2020-03-01,57,57,57,57
2020-03-08,63,63,63,63
2020-03-15,31,31,31,31
2020-03-22,32,32,32,32
2020-03-29,42,42,42,42
2020-04-05,78,78,78,78
2020-04-12,159,159,159,159
2020-04-19,135,135,135,135
2020-04-26,120,120,120,120
2020-05-03,147,147,147,147
2020-05-10,141,141,141,141
2020-05-17,133,133,133,133
2020-05-24,129,129,129,129
2020-05-31,128,128,128,128
2020-06-07,133,133,133,133
2020-06-14,138,138,138,138
2020-06-21,112,112,112,112
2020-06-28,121,121,121,121
2020-07-05,142,142,142,142
2020-07-12,109,109,109,109
2020-07-19,95,95,95,95
2020-07-26,69,69,69,69
2020-08-02,71,71,71,71
2020-08-09,78,78,78,78
2020-08-16,55,55,55,55
2020-08-23,32,32,32,32
2020-08-30,51,51,51,51
2020-09-06,47,47,47,47
2020-09-13,40,40,40,40
2020-09-20,47,47,47,47
2020-09-27,31,31,31,31
2020-10-04,27,27,27,27
2020-10-11,38,38,38,38
2020-10-18,48,48,48,48
2020-10-25,37,37,37,37
2020-11-01,31,31,31,31
2020-11-08,19,19,19,19
2020-11-15,27,27,27,27
2020-11-22,13,13,13,13
2020-11-29,37,37,37,37
2020-12-06,22,22,22,22
2020-12-13,30,30,30,30
2020-12-20,26,26,26,26
2020-12-27,10,10,10,10
2021-01-03,20,20,20,20
2021-01-10,21,21,21,21
2021-01-17,17,17,17,17
2021-01-24,13,13,13,13
2021-01-31,18,18,18,18
2021-02-07,18,18,18,18
2021-02-14,20,20,20,20
2021-02-21,18,18,18,18
2021-02-28,38,38,38,38
2021-03-07,33,33,33,33
2021-03-14,27,27,27,27
2021-03-21,20,20,20,20
2021-03-28,11,11,11,11
2021-04-04,44,44,44,44
2021-04-11,38,38,38,38
2021-04-18,37,37,37,37
2021-04-25,50,50,50,50
2021-05-02,48,48,48,48
2021-05-09,68,68,68,68
2021-05-16,102,102,102,102
2021-05-23,119,119,119,119
2021-05-30,154,154,154,154
2021-06-06,201,201,201,201
2021-06-13,245,245,245,245
2021-06-20,287,287,287,287
2021-06-27,380,380,380,380
2021-07-04,405,405,405,405
2021-07-11,436,436,436,436
2021-07-18,446,446,446,446
2021-07-25,443,443,443,443
2021-08-01,507,507,507,507
2021-08-08,415,415,415,415
2021-08-15,446,446,446,446
2021-08-22,353,353,353,353
2021-08-29,382,382,382,382
2021-09-05,381,381,381,381
2021-09-12,323,323,323,323
2021-09-19,337,337,337,337
2021-09-26,354,354,354,354
2021-10-03,236,236,236,236
2021-10-10,246,246,246,246
2021-10-17,306,306,306,306
2021-10-24,210,210,210,210
2021-10-31,211,211,211,211
2021-11-07,176,176,176,176
2021-11-14,124,124,124,124
2021-11-21,84,84,84,84
2021-11-28,106,106,106,106
2021-12-05,99,99,99,99
2021-12-12,106,106,106,106
2021-12-19,74,74,74,74
2021-12-26,4,4,4,4
2022-01-02,76,76,76,76
2022-01-09,94,94,94,94
2022-01-16,108,108,108,108
2022-01-23,87,87,87,87
2022-01-30,166,166,166,166
2022-02-06,122,122,122,122
2022-02-13,163,163,163,163
2022-02-20,145,145,145,145
2022-02-27,182,182,182,182
2022-03-06,187,187,187,187
2022-03-13,190,190,190,190
2022-03-20,262,262,262,262
2022-03-27,362,362,362,362
2022-04-03,524,524,524,524
2022-04-10,619,619,619,619
2022-04-17,868,868,868,868
2022-04-24,1240,1240,1240,1240
2022-05-01,1655,1655,1655,1655
2022-05-08,2046,2046,2046,2046
2022-05-15,2730,2730,2730,2730
2022-05-22,2752,2752,2752,2752
2022-05-29,2942,2942,2942,2942
2022-06-05,2715,2715,2715,2715
2022-06-12,2661,2661,2661,2661
2022-06-19,2653,2653,2653,2653
2022-06-26,2013,2013,2013,2013
2022-07-03,2074,2074,2074,2074
2022-07-10,1827,1827,1827,1827
2022-07-17,1503,1503,1503,1503
2022-07-24,1216,1216,1216,1216
2022-07-31,1261,1261,1261,1261
2022-08-07,1172,1172,1172,1172
2022-08-14,981,981,981,981
2022-08-21,753,753,753,753
2022-08-28,581,581,581,581
2022-09-04,525,525,525,525
