"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,122,122,122,122
2018-01-07,117,117,117,117
2018-01-14,155,155,155,155
2018-01-21,154,154,154,154
2018-01-28,120,120,120,120
2018-02-04,123,123,123,123
2018-02-11,135,135,135,135
2018-02-18,128,128,128,128
2018-02-25,144,144,144,144
2018-03-04,138,138,138,138
2018-03-11,133,133,133,133
2018-03-18,126,126,126,126
2018-03-25,119,119,119,119
2018-04-01,162,162,162,162
2018-04-04,161,161,161,161
2018-04-15,128,128,128,128
2018-04-22,105,105,105,105
2018-04-29,93,93,93,93
2018-05-06,100,100,100,100
2018-05-13,109,109,109,109
2018-05-20,91,91,91,91
2018-05-27,57,57,57,57
2018-06-03,105,105,105,105
2018-06-10,99,99,99,99
2018-06-17,99,99,99,99
2018-06-24,63,63,63,63
2018-07-01,93,93,93,93
2018-07-08,108,108,108,108
2018-07-15,92,92,92,92
2018-07-22,80,80,80,80
2018-07-29,79,79,79,79
2018-08-05,89,89,89,89
2018-08-12,88,88,88,88
2018-08-19,84,84,84,84
2018-08-26,76,76,76,76
2018-09-02,50,50,50,50
2018-09-09,65,65,65,65
2018-09-16,66,66,66,66
2018-09-23,39,39,39,39
2018-09-30,60,60,60,60
2018-10-07,39,39,39,39
2018-10-14,48,48,48,48
2018-10-21,50,50,50,50
2018-10-28,37,37,37,37
2018-11-04,58,58,58,58
2018-11-11,32,32,32,32
2018-11-18,45,45,45,45
2018-11-25,26,26,26,26
2018-12-02,45,45,45,45
2018-12-09,46,46,46,46
2018-12-16,58,58,58,58
2018-12-23,48,48,48,48
2018-12-30,192,192,192,192
2019-01-06,114,114,114,114
2019-01-13,120,120,120,120
2019-01-20,86,86,86,86
2019-01-27,103,103,103,103
2019-02-03,129,129,129,129
2019-02-10,148,148,148,148
2019-02-17,127,127,127,127
2019-02-24,77,77,77,77
2019-03-03,118,118,118,118
2019-03-10,77,77,77,77
2019-03-17,103,103,103,103
2019-03-24,66,66,66,66
2019-03-31,83,83,83,83
2019-04-07,86,86,86,86
2019-04-14,103,103,103,103
2019-04-21,124,124,124,124
2019-04-28,105,105,105,105
2019-05-05,86,86,86,86
2019-05-12,82,82,82,82
2019-05-19,65,65,65,65
2019-05-26,98,98,98,98
2019-06-02,85,85,85,85
2019-06-09,100,100,100,100
2019-06-16,70,70,70,70
2019-06-23,65,65,65,65
2019-06-30,90,90,90,90
2019-07-07,86,86,86,86
2019-07-14,58,58,58,58
2019-07-21,67,67,67,67
2019-07-28,65,65,65,65
2019-08-04,58,58,58,58
2019-08-11,64,64,64,64
2019-08-18,48,48,48,48
2019-08-25,54,54,54,54
2019-09-01,62,62,62,62
2019-09-08,62,62,62,62
2019-09-15,60,60,60,60
2019-09-22,109,109,109,109
2019-09-29,135,135,135,135
2019-10-06,151,151,151,151
2019-10-13,230,230,230,230
2019-10-20,312,312,312,312
2019-10-27,318,318,318,318
2019-11-03,314,314,314,314
2019-11-10,367,367,367,367
2019-11-17,439,439,439,439
2019-11-24,429,429,429,429
2019-12-01,476,476,476,476
2019-12-08,472,472,472,472
2019-12-15,374,374,374,374
2019-12-22,308,308,308,308
2019-12-29,320,320,320,320
2020-01-05,552,552,552,552
2020-01-12,460,460,460,460
2020-01-19,375,375,375,375
2020-01-26,413,413,413,413
2020-02-02,337,337,337,337
2020-02-09,349,349,349,349
2020-02-16,278,278,278,278
2020-02-23,271,271,271,271
2020-03-01,383,383,383,383
2020-03-08,369,369,369,369
2020-03-15,275,275,275,275
2020-03-22,175,175,175,175
2020-03-29,231,231,231,231
2020-04-05,177,177,177,177
2020-04-12,185,185,185,185
2020-04-19,172,172,172,172
2020-04-26,155,155,155,155
2020-05-03,144,144,144,144
2020-05-10,195,195,195,195
2020-05-17,197,197,197,197
2020-05-24,199,199,199,199
2020-05-31,211,211,211,211
2020-06-07,199,199,199,199
2020-06-14,222,222,222,222
2020-06-21,144,144,144,144
2020-06-28,168,168,168,168
2020-07-05,149,149,149,149
2020-07-12,94,94,94,94
2020-07-19,106,106,106,106
2020-07-26,86,86,86,86
2020-08-02,72,72,72,72
2020-08-09,89,89,89,89
2020-08-16,90,90,90,90
2020-08-23,92,92,92,92
2020-08-30,88,88,88,88
2020-09-06,75,75,75,75
2020-09-13,66,66,66,66
2020-09-20,119,119,119,119
2020-09-27,116,116,116,116
2020-10-04,127,127,127,127
2020-10-11,109,109,109,109
2020-10-18,130,130,130,130
2020-10-25,135,135,135,135
2020-11-01,131,131,131,131
2020-11-08,128,128,128,128
2020-11-15,136,136,136,136
2020-11-22,169,169,169,169
2020-11-29,161,161,161,161
2020-12-06,251,251,251,251
2020-12-13,204,204,204,204
2020-12-20,207,207,207,207
2020-12-27,143,143,143,143
2021-01-03,310,310,310,310
2021-01-10,304,304,304,304
2021-01-17,348,348,348,348
2021-01-24,323,323,323,323
2021-01-31,408,408,408,408
2021-02-07,457,457,457,457
2021-02-14,513,513,513,513
2021-02-21,544,544,544,544
2021-02-28,649,649,649,649
2021-03-07,579,579,579,579
2021-03-14,658,658,658,658
2021-03-21,581,581,581,581
2021-03-28,569,569,569,569
2021-04-04,532,532,532,532
2021-04-11,454,454,454,454
2021-04-18,401,401,401,401
2021-04-25,453,453,453,453
2021-05-02,432,432,432,432
2021-05-09,452,452,452,452
2021-05-16,340,340,340,340
2021-05-23,326,326,326,326
2021-05-30,358,358,358,358
2021-06-06,347,347,347,347
2021-06-13,287,287,287,287
2021-06-20,272,272,272,272
2021-06-27,248,248,248,248
2021-07-04,292,292,292,292
2021-07-11,214,214,214,214
2021-07-18,227,227,227,227
2021-07-25,185,185,185,185
2021-08-01,200,200,200,200
2021-08-08,176,176,176,176
2021-08-15,142,142,142,142
2021-08-22,120,120,120,120
2021-08-29,111,111,111,111
2021-09-05,132,132,132,132
2021-09-12,89,89,89,89
2021-09-19,99,99,99,99
2021-09-26,78,78,78,78
2021-10-03,83,83,83,83
2021-10-10,71,71,71,71
2021-10-17,99,99,99,99
2021-10-24,63,63,63,63
2021-10-31,71,71,71,71
2021-11-07,95,95,95,95
2021-11-14,149,149,149,149
2021-11-21,146,146,146,146
2021-11-28,140,140,140,140
2021-12-05,164,164,164,164
2021-12-12,134,134,134,134
2021-12-19,92,92,92,92
2021-12-26,6,6,6,6
2022-01-02,210,210,210,210
2022-01-09,163,163,163,163
2022-01-16,133,133,133,133
2022-01-23,171,171,171,171
2022-01-30,180,180,180,180
2022-02-06,175,175,175,175
2022-02-13,212,212,212,212
2022-02-20,191,191,191,191
2022-02-27,242,242,242,242
2022-03-06,226,226,226,226
2022-03-13,267,267,267,267
2022-03-20,262,262,262,262
2022-03-27,272,272,272,272
2022-04-03,219,219,219,219
2022-04-10,224,224,224,224
2022-04-17,255,255,255,255
2022-04-24,218,218,218,218
2022-05-01,241,241,241,241
2022-05-08,284,284,284,284
2022-05-15,293,293,293,293
2022-05-22,252,252,252,252
2022-05-29,220,220,220,220
2022-06-05,176,176,176,176
2022-06-12,194,194,194,194
2022-06-19,131,131,131,131
2022-06-26,125,125,125,125
2022-07-03,155,155,155,155
2022-07-10,159,159,159,159
2022-07-17,127,127,127,127
2022-07-24,105,105,105,105
2022-07-31,139,139,139,139
2022-08-07,88,88,88,88
2022-08-14,96,96,96,96
2022-08-21,59,59,59,59
2022-08-28,76,76,76,76
2022-09-04,113,113,113,113
2022-09-11,186,186,186,186
2022-09-18,202,202,202,202
2022-09-25,295,295,295,295
2022-10-02,317,317,317,317
2022-10-09,315,315,315,315
2022-10-16,269,269,269,269
2022-10-23,252,252,252,252
2022-10-30,323,323,323,323
2022-11-06,363,363,363,363
2022-11-13,294,294,294,294
2022-11-20,317,317,317,317
2022-11-27,294,294,294,294
2022-12-04,267,267,267,267
2022-12-11,345,345,345,345
2022-12-18,293,293,293,293
2022-12-25,326,326,326,326
2023-01-01,661,661,661,661
2023-01-08,607,607,607,607
2023-01-15,648,648,648,648
2023-01-22,669,669,669,669
2023-01-29,792,792,792,792
2023-02-05,710,710,710,710
2023-02-12,497,497,497,497
2023-02-19,462,462,462,462
2023-02-26,506,506,506,506
2023-03-05,496,496,496,496
2023-03-12,447,447,447,447
2023-03-19,411,411,411,411
2023-03-26,375,375,375,375
2023-04-02,363,363,363,363
2023-04-09,419,419,419,419
2023-04-16,460,460,460,460
2023-04-23,414,414,414,414
2023-04-30,455,455,455,455
2023-05-07,333,333,333,333
2023-05-14,423,423,423,423
2023-05-21,344,344,344,344
2023-05-28,285,285,285,285
2023-06-04,239,239,239,239
2023-06-11,228,228,228,228
2023-06-18,245,245,245,245
2023-06-25,231,231,231,231
2023-07-02,270,270,270,270
2023-07-09,268,268,268,268
2023-07-16,259,259,259,259
2023-07-23,264,264,264,264
2023-07-30,192,192,192,192
2023-08-06,175,175,175,175
2023-08-13,216,216,216,216
2023-08-20,202,202,202,202
2023-08-27,186,186,186,186
2023-09-03,177,177,177,177
2023-09-10,183,183,183,183
2023-09-17,173,173,173,173
2023-09-24,164,164,164,164
2023-10-01,170,170,170,170
2023-10-08,137,137,137,137
2023-10-15,197,197,197,197
2023-10-22,162,162,162,162
2023-10-29,151,151,151,151
2023-11-05,245,245,245,245
2023-11-12,195,195,195,195
2023-11-19,235,235,235,235
2023-11-26,289,289,289,289
2023-12-03,318,318,318,318
2023-12-10,366,366,366,366
