"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,8589,8589,8589,8589
2018-01-07,201802,7999,7999,7999,7999
2018-01-14,201803,9952,9952,9952,9952
2018-01-21,201804,9677,9677,9677,9677
2018-01-28,201805,10376,10376,10376,10376
2018-02-04,201806,9065,9065,9065,9065
2018-02-11,201807,9725,9725,9725,9725
2018-02-18,201808,10893,10893,10893,10893
2018-02-25,201809,11826,11826,11826,11826
2018-03-04,201810,12945,12945,12945,12945
2018-03-11,201811,13069,13069,13069,13069
2018-03-18,201812,12894,12894,12894,12894
2018-03-25,201813,12248,12248,12248,12248
2018-04-01,201814,15279,15279,15279,15279
2018-04-04,201815,16085,16085,16085,16085
2018-04-15,201816,15562,15562,15562,15562
2018-04-22,201817,13109,13109,13109,13109
2018-04-29,201818,14925,14925,14925,14925
2018-05-06,201819,14083,14083,14083,14083
2018-05-13,201820,12369,12369,12369,12369
2018-05-20,201821,9529,9529,9529,9529
2018-05-27,201822,7712,7712,7712,7712
2018-06-03,201823,7487,7487,7487,7487
2018-06-10,201824,7422,7422,7422,7422
2018-06-17,201825,6519,6519,6519,6519
2018-06-24,201826,5473,5473,5473,5473
2018-07-01,201827,5213,5213,5213,5213
2018-07-08,201828,4501,4501,4501,4501
2018-07-15,201829,4696,4696,4696,4696
2018-07-22,201830,3943,3943,3943,3943
2018-07-29,201831,3898,3898,3898,3898
2018-08-05,201832,3812,3812,3812,3812
2018-08-12,201833,3498,3498,3498,3498
2018-08-19,201834,3566,3566,3566,3566
2018-08-26,201835,3287,3287,3287,3287
2018-09-02,201836,2770,2770,2770,2770
2018-09-09,201837,3128,3128,3128,3128
2018-09-16,201838,3197,3197,3197,3197
2018-09-23,201839,3319,3319,3319,3319
2018-09-30,201840,3630,3630,3630,3630
2018-10-07,201841,3412,3412,3412,3412
2018-10-14,201842,4103,4103,4103,4103
2018-10-21,201843,3955,3955,3955,3955
2018-10-28,201844,4132,4132,4132,4132
2018-11-04,201845,4756,4756,4756,4756
2018-11-11,201846,4915,4915,4915,4915
2018-11-18,201847,6086,6086,6086,6086
2018-11-25,201848,7157,7157,7157,7157
2018-12-02,201849,8112,8112,8112,8112
2018-12-09,201850,9382,9382,9382,9382
2018-12-16,201851,8230,8230,8230,8230
2018-12-23,201852,8851,8851,8851,8851
2018-12-30,201901,14615,14615,14615,14615
2019-01-06,201902,16487,16487,16487,16487
2019-01-13,201903,19898,19898,19898,19898
2019-01-20,201904,25885,25885,25885,25885
2019-01-27,201905,31420,31420,31420,31420
2019-02-03,201906,37260,37260,37260,37260
2019-02-10,201907,42469,42469,42469,42469
2019-02-17,201908,45921,45921,45921,45921
2019-02-24,201909,45318,45318,45318,45318
2019-03-03,201910,51101,51101,51101,51101
2019-03-10,201911,64248,64248,64248,64248
2019-03-17,201912,76062,76062,76062,76062
2019-03-24,201913,86188,86188,86188,86188
2019-03-31,201914,96795,96795,96795,96795
2019-04-07,201915,105085,105085,105085,105085
2019-04-14,201916,108245,108245,108245,NA
2019-04-21,201917,122760,122760,122760,NA
2019-04-28,201918,125132,125132,125132,NA
2019-05-05,201919,129014,129014,129014,NA
2019-05-12,201920,118531,118531,118531,NA
2019-05-19,201921,98086,98086,98086,NA
2019-05-26,201922,77435,77435,77435,77435
2019-06-02,201923,58642,58642,58642,58642
2019-06-09,201924,46653,46653,46653,46653
2019-06-16,201925,34874,34874,34874,34874
2019-06-23,201926,30285,30285,30285,30285
2019-06-30,201927,21914,21914,21914,21914
2019-07-07,201928,16817,16817,16817,16817
2019-07-14,201929,13727,13727,13727,13727
2019-07-21,201930,11884,11884,11884,11884
