"ew_start","sum_of_cases"
2017-12-31,101
2018-01-07,82
2018-01-14,88
2018-01-21,59
2018-01-28,76
2018-02-04,83
2018-02-11,77
2018-02-18,65
2018-02-25,88
2018-03-04,105
2018-03-11,133
2018-03-18,103
2018-03-25,111
2018-04-01,150
2018-04-04,151
2018-04-15,148
2018-04-22,132
2018-04-29,99
2018-05-06,135
2018-05-13,103
2018-05-20,63
2018-05-27,76
2018-06-03,62
2018-06-10,70
2018-06-17,73
2018-06-24,73
2018-07-01,41
2018-07-08,52
2018-07-15,47
2018-07-22,37
2018-07-29,30
2018-08-05,27
2018-08-12,46
2018-08-19,38
2018-08-26,44
2018-09-02,52
2018-09-09,44
2018-09-16,48
2018-09-23,48
2018-09-30,45
2018-10-07,70
2018-10-14,57
2018-10-21,69
2018-10-28,74
2018-11-04,57
2018-11-11,64
2018-11-18,97
2018-11-25,100
2018-12-02,108
2018-12-09,117
2018-12-16,147
2018-12-23,130
2018-12-30,230
2019-01-06,169
2019-01-13,201
2019-01-20,285
2019-01-27,470
2019-02-03,573
2019-02-10,593
2019-02-17,779
2019-02-24,841
2019-03-03,890
2019-03-10,1168
2019-03-17,1637
2019-03-24,1703
2019-03-31,1776
2019-04-07,1787
2019-04-14,1696
2019-04-21,2246
2019-04-28,2286
2019-05-05,2313
2019-05-12,2951
2019-05-19,3445
2019-05-26,3883
2019-06-02,3349
2019-06-09,2577
2019-06-16,1602
2019-06-23,1104
2019-06-30,787
2019-07-07,400
2019-07-14,322
2019-07-21,247
2019-07-28,249
2019-08-04,183
2019-08-11,179
2019-08-18,150
2019-08-25,116
2019-09-01,141
2019-09-08,147
2019-09-15,157
2019-09-22,195
2019-09-29,191
2019-10-06,196
2019-10-13,189
2019-10-20,188
2019-10-27,210
2019-11-03,156
2019-11-10,187
2019-11-17,175
2019-11-24,160
2019-12-01,206
2019-12-08,203
2019-12-15,214
2019-12-22,147
2019-12-29,228
2020-01-05,480
2020-01-12,739
2020-01-19,926
2020-01-26,920
2020-02-02,1196
2020-02-09,1454
2020-02-16,2169
2020-02-23,2585
2020-03-01,3110
2020-03-08,3189
2020-03-15,2608
2020-03-22,2347
2020-03-29,2624
2020-04-05,3635
2020-04-12,3674
2020-04-19,3452
2020-04-26,3737
2020-05-03,3277
2020-05-10,2813
2020-05-17,2402
2020-05-24,2099
2020-05-31,1787
2020-06-07,1410
2020-06-14,944
2020-06-21,812
2020-06-28,820
2020-07-05,619
2020-07-12,588
2020-07-19,509
2020-07-26,409
2020-08-02,286
2020-08-09,342
2020-08-16,322
2020-08-23,296
2020-08-30,349
2020-09-06,356
2020-09-13,364
2020-09-20,306
2020-09-27,301
2020-10-04,287
2020-10-11,272
2020-10-18,215
2020-10-25,215
2020-11-01,314
2020-11-08,299
2020-11-15,280
2020-11-22,305
2020-11-29,465
2020-12-06,415
2020-12-13,447
2020-12-20,407
2020-12-27,300
2021-01-03,454
2021-01-10,411
2021-01-17,420
2021-01-24,378
2021-01-31,443
2021-02-07,478
2021-02-14,639
2021-02-21,552
2021-02-28,739
2021-03-07,577
2021-03-14,592
2021-03-21,574
2021-03-28,668
2021-04-04,791
2021-04-11,833
2021-04-18,968
2021-04-25,896
2021-05-02,986
2021-05-09,1002
2021-05-16,971
2021-05-23,895
2021-05-30,920
2021-06-06,799
2021-06-13,688
2021-06-20,544
2021-06-27,489
2021-07-04,361
2021-07-11,289
2021-07-18,282
2021-07-25,249
2021-08-01,262
2021-08-08,223
2021-08-15,159
2021-08-22,145
2021-08-29,189
2021-09-05,175
2021-09-12,193
2021-09-19,180
2021-09-26,193
2021-10-03,157
2021-10-10,126
2021-10-17,139
2021-10-24,140
2021-10-31,144
2021-11-07,226
2021-11-14,259
2021-11-21,305
2021-11-28,371
2021-12-05,479
2021-12-12,556
2021-12-19,591
2021-12-26,271
2022-01-02,977
2022-01-09,1008
2022-01-16,1149
2022-01-23,1383
2022-01-30,1524
2022-02-06,1787
2022-02-13,1721
2022-02-20,1869
2022-02-27,2264
2022-03-06,2708
2022-03-13,3060
2022-03-20,3726
2022-03-27,4199
2022-04-03,4321
2022-04-10,4254
2022-04-17,5023
2022-04-24,4578
2022-05-01,3859
2022-05-08,3497
2022-05-15,3489
2022-05-22,2557
2022-05-29,2325
2022-06-05,1950
2022-06-12,1596
2022-06-19,1455
2022-06-26,1162
2022-07-03,810
2022-07-10,689
2022-07-17,581
2022-07-24,576
2022-07-31,515
2022-08-07,564
2022-08-14,619
2022-08-21,571
2022-08-28,625
2022-09-04,639
2022-09-11,671
2022-09-18,627
2022-09-25,701
2022-10-02,613
2022-10-09,649
2022-10-16,698
2022-10-23,592
2022-10-30,510
2022-11-06,559
2022-11-13,688
2022-11-20,775
2022-11-27,889
2022-12-04,1050
2022-12-11,1003
2022-12-18,889
2022-12-25,802
2023-01-01,1013
2023-01-08,1001
2023-01-15,1183
2023-01-22,1021
2023-01-29,1260
2023-02-05,1345
2023-02-12,1174
2023-02-19,1211
2023-02-26,1208
2023-03-05,1330
2023-03-12,1296
2023-03-19,1525
2023-03-26,1505
2023-04-02,1300
2023-04-09,1561
2023-04-16,1409
2023-04-23,1274
2023-04-30,1426
2023-05-07,1245
2023-05-14,1256
2023-05-21,955
2023-05-28,958
2023-06-04,874
2023-06-11,918
2023-06-18,759
2023-06-25,613
2023-07-02,649
2023-07-09,667
2023-07-16,560
2023-07-23,487
2023-07-30,567
2023-08-06,488
2023-08-13,547
2023-08-20,502
2023-08-27,546
2023-09-03,567
2023-09-10,649
2023-09-17,548
2023-09-24,524
2023-10-01,519
2023-10-08,397
2023-10-15,525
2023-10-22,409
2023-10-29,474
2023-11-05,611
2023-11-12,681
2023-11-19,1084
2023-11-26,1372
2023-12-03,1799
2023-12-10,2607
2023-12-17,2916
2023-12-24,3722
2023-12-31,8278
2024-01-07,8065
2024-01-14,12398
2024-01-21,17648
2024-01-28,18049
2024-02-04,12014
2024-02-11,5016
