"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,101,101,101,101
2018-01-07,201802,82,82,82,82
2018-01-14,201803,88,88,88,88
2018-01-21,201804,59,59,59,59
2018-01-28,201805,76,76,76,76
2018-02-04,201806,83,83,83,83
2018-02-11,201807,77,77,77,77
2018-02-18,201808,65,65,65,65
2018-02-25,201809,88,88,88,88
2018-03-04,201810,105,105,105,105
2018-03-11,201811,133,133,133,133
2018-03-18,201812,103,103,103,103
2018-03-25,201813,111,111,111,111
2018-04-01,201814,150,150,150,150
2018-04-04,201815,151,151,151,151
2018-04-15,201816,148,148,148,148
2018-04-22,201817,132,132,132,132
2018-04-29,201818,99,99,99,99
2018-05-06,201819,135,135,135,135
2018-05-13,201820,103,103,103,103
2018-05-20,201821,63,63,63,63
2018-05-27,201822,76,76,76,76
2018-06-03,201823,62,62,62,62
2018-06-10,201824,70,70,70,70
2018-06-17,201825,73,73,73,73
2018-06-24,201826,73,73,73,73
2018-07-01,201827,41,41,41,41
2018-07-08,201828,52,52,52,52
2018-07-15,201829,47,47,47,47
2018-07-22,201830,37,37,37,37
2018-07-29,201831,30,30,30,30
2018-08-05,201832,27,27,27,27
2018-08-12,201833,46,46,46,46
2018-08-19,201834,38,38,38,38
2018-08-26,201835,44,44,44,44
2018-09-02,201836,52,52,52,52
2018-09-09,201837,44,44,44,44
2018-09-16,201838,48,48,48,48
2018-09-23,201839,48,48,48,48
2018-09-30,201840,45,45,45,45
2018-10-07,201841,70,70,70,70
2018-10-14,201842,57,57,57,57
2018-10-21,201843,69,69,69,69
2018-10-28,201844,74,74,74,74
2018-11-04,201845,57,57,57,57
2018-11-11,201846,64,64,64,64
2018-11-18,201847,97,97,97,97
2018-11-25,201848,100,100,100,100
2018-12-02,201849,108,108,108,108
2018-12-09,201850,117,117,117,117
2018-12-16,201851,147,147,147,147
2018-12-23,201852,130,130,130,130
2018-12-30,201901,230,230,230,230
2019-01-06,201902,169,169,169,169
2019-01-13,201903,201,201,201,201
2019-01-20,201904,285,285,285,285
2019-01-27,201905,470,470,470,470
2019-02-03,201906,573,573,573,573
2019-02-10,201907,593,593,593,593
2019-02-17,201908,779,779,779,779
2019-02-24,201909,841,841,841,841
2019-03-03,201910,890,890,890,890
2019-03-10,201911,1168,1168,1168,1168
2019-03-17,201912,1637,1637,1637,1637
2019-03-24,201913,1703,1703,1703,1703
2019-03-31,201914,1776,1776,1776,1776
2019-04-07,201915,1787,1787,1787,1787
2019-04-14,201916,1696,1696,1696,1696
2019-04-21,201917,2246,2246,2246,2246
2019-04-28,201918,2286,2286,2286,2286
2019-05-05,201919,2313,2313,2313,2313
2019-05-12,201920,2951,2951,2951,2951
2019-05-19,201921,3445,3445,3445,3445
2019-05-26,201922,3883,3883,3883,3883
2019-06-02,201923,3349,3349,3349,3349
2019-06-09,201924,2577,2577,2577,2577
2019-06-16,201925,1602,1602,1602,1602
2019-06-23,201926,1104,1104,1104,1104
2019-06-30,201927,787,787,787,787
2019-07-07,201928,400,400,400,400
2019-07-14,201929,322,322,322,322
2019-07-21,201930,247,247,247,247
2019-07-28,201931,249,249,249,249
2019-08-04,201932,183,183,183,183
2019-08-11,201933,179,179,179,179
2019-08-18,201934,150,150,150,150
2019-08-25,201935,116,116,116,116
2019-09-01,201936,141,141,141,141
2019-09-08,201937,147,147,147,147
2019-09-15,201938,157,157,157,157
2019-09-22,201939,195,195,195,195
2019-09-29,201940,191,191,191,191
2019-10-06,201941,196,196,196,196
2019-10-13,201942,189,189,189,189
2019-10-20,201943,188,188,188,188
2019-10-27,201944,210,210,210,210
2019-11-03,201945,156,156,156,156
2019-11-10,201946,187,187,187,187
2019-11-17,201947,175,175,175,175
2019-11-24,201948,160,160,160,160
2019-12-01,201949,206,206,206,206
2019-12-08,201950,203,203,203,203
2019-12-15,201951,214,214,214,214
2019-12-22,201952,147,147,147,147
2019-12-29,202001,228,228,228,228
2020-01-05,202002,480,480,480,480
2020-01-12,202003,739,739,739,739
2020-01-19,202004,926,926,926,926
2020-01-26,202005,920,920,920,920
2020-02-02,202006,1196,1196,1196,1196
2020-02-09,202007,1454,1454,1454,1454
2020-02-16,202008,2169,2169,2169,2169
2020-02-23,202009,2585,2585,2585,2585
2020-03-01,202010,3110,3110,3110,3110
2020-03-08,202011,3189,3189,3189,3189
2020-03-15,202012,2608,2608,2608,2608
2020-03-22,202013,2347,2347,2347,2347
2020-03-29,202014,2624,2624,2624,2624
2020-04-05,202015,3635,3635,3635,3635
2020-04-12,202016,3674,3674,3674,3674
2020-04-19,202017,3452,3452,3452,3452
2020-04-26,202018,3737,3737,3737,3737
2020-05-03,202019,3277,3277,3277,3277
2020-05-10,202020,2813,2813,2813,2813
2020-05-17,202021,2402,2402,2402,2402
2020-05-24,202022,2099,2099,2099,2099
2020-05-31,202023,1787,1787,1787,1787
2020-06-07,202024,1410,1410,1410,1410
2020-06-14,202025,944,944,944,944
2020-06-21,202026,812,812,812,812
2020-06-28,202027,820,820,820,820
2020-07-05,202028,619,619,619,619
2020-07-12,202029,588,588,588,588
2020-07-19,202030,509,509,509,509
2020-07-26,202031,409,409,409,409
2020-08-02,202032,286,286,286,286
2020-08-09,202033,342,342,342,342
2020-08-16,202034,322,322,322,322
2020-08-23,202035,296,296,296,296
2020-08-30,202036,349,349,349,349
2020-09-06,202037,356,356,356,356
2020-09-13,202038,364,364,364,364
2020-09-20,202039,306,306,306,306
2020-09-27,202040,301,301,301,301
2020-10-04,202041,287,287,287,287
2020-10-11,202042,272,272,272,272
2020-10-18,202043,215,215,215,215
2020-10-25,202044,215,215,215,215
2020-11-01,202045,314,314,314,314
2020-11-08,202046,299,299,299,299
2020-11-15,202047,280,280,280,280
2020-11-22,202048,305,305,305,305
2020-11-29,202049,465,465,465,465
2020-12-06,202050,415,415,415,415
2020-12-13,202051,447,447,447,447
2020-12-20,202052,407,407,407,407
2020-12-27,202053,300,300,300,300
2021-01-03,202101,454,454,454,454
2021-01-10,202102,411,411,411,411
2021-01-17,202103,420,420,420,420
2021-01-24,202104,378,378,378,378
2021-01-31,202105,443,443,443,443
2021-02-07,202106,478,478,478,478
2021-02-14,202107,639,639,639,639
2021-02-21,202108,552,552,552,552
2021-02-28,202109,739,739,739,739
2021-03-07,202110,577,577,577,577
2021-03-14,202111,592,592,592,592
2021-03-21,202112,574,574,574,574
2021-03-28,202113,668,668,668,668
2021-04-04,202114,791,791,791,791
2021-04-11,202115,833,833,833,833
2021-04-18,202116,968,968,968,968
2021-04-25,202117,896,896,896,896
2021-05-02,202118,986,986,986,986
2021-05-09,202119,1002,1002,1002,1002
2021-05-16,202120,971,971,971,971
2021-05-23,202121,895,895,895,895
2021-05-30,202122,920,920,920,920
2021-06-06,202123,799,799,799,799
2021-06-13,202124,688,688,688,688
2021-06-20,202125,544,544,544,544
2021-06-27,202126,489,489,489,489
2021-07-04,202127,361,361,361,361
2021-07-11,202128,289,289,289,289
2021-07-18,202129,282,282,282,282
2021-07-25,202130,249,249,249,249
2021-08-01,202131,262,262,262,262
2021-08-08,202132,223,223,223,223
2021-08-15,202133,159,159,159,159
2021-08-22,202134,145,145,145,145
2021-08-29,202135,189,189,189,189
2021-09-05,202136,175,175,175,175
2021-09-12,202137,193,193,193,193
2021-09-19,202138,180,180,180,180
2021-09-26,202139,193,193,193,193
2021-10-03,202140,157,157,157,157
2021-10-10,202141,126,126,126,126
2021-10-17,202142,139,139,139,139
2021-10-24,202143,140,140,140,140
2021-10-31,202144,144,144,144,144
2021-11-07,202145,226,226,226,226
2021-11-14,202146,259,259,259,259
2021-11-21,202147,305,305,305,305
2021-11-28,202148,371,371,371,371
2021-12-05,202149,479,479,479,479
2021-12-12,202150,556,556,556,556
2021-12-19,202151,591,591,591,591
2021-12-26,202152,271,271,271,271
2022-01-02,202201,977,977,977,977
2022-01-09,202202,1008,1008,1008,1008
2022-01-16,202203,1149,1149,1149,1149
2022-01-23,202204,1383,1383,1383,1383
2022-01-30,202205,1524,1524,1524,1524
2022-02-06,202206,1787,1787,1787,1787
2022-02-13,202207,1721,1721,1721,1721
2022-02-20,202208,1869,1869,1869,1869
2022-02-27,202209,2264,2264,2264,2264
