"ew_start","sum_of_cases"
2017-12-31,351
2018-01-07,206
2018-01-14,226
2018-01-21,193
2018-01-28,171
2018-02-04,178
2018-02-11,244
2018-02-18,229
2018-02-25,293
2018-03-04,319
2018-03-11,348
2018-03-18,426
2018-03-25,356
2018-04-01,470
2018-04-04,515
2018-04-15,539
2018-04-22,506
2018-04-29,545
2018-05-06,586
2018-05-13,509
2018-05-20,561
2018-05-27,392
2018-06-03,483
2018-06-10,463
2018-06-17,420
2018-06-24,500
2018-07-01,464
2018-07-08,436
2018-07-15,360
2018-07-22,316
2018-07-29,306
2018-08-05,316
2018-08-12,307
2018-08-19,283
2018-08-26,217
2018-09-02,175
2018-09-09,204
2018-09-16,220
2018-09-23,200
2018-09-30,195
2018-10-07,209
2018-10-14,195
2018-10-21,184
2018-10-28,187
2018-11-04,214
2018-11-11,223
2018-11-18,271
2018-11-25,378
2018-12-02,376
2018-12-09,483
2018-12-16,443
2018-12-23,516
2018-12-30,877
2019-01-06,893
2019-01-13,970
2019-01-20,1151
2019-01-27,1233
2019-02-03,1235
2019-02-10,1390
2019-02-17,1301
2019-02-24,1230
2019-03-03,1562
2019-03-10,1880
2019-03-17,2295
2019-03-24,2613
2019-03-31,2616
2019-04-07,2443
2019-04-14,2516
2019-04-21,2934
2019-04-28,3193
2019-05-05,3761
2019-05-12,3498
2019-05-19,3624
2019-05-26,4606
2019-06-02,4028
2019-06-09,3236
2019-06-16,2916
2019-06-23,3078
2019-06-30,2887
2019-07-07,2138
2019-07-14,1568
2019-07-21,1308
2019-07-28,1173
2019-08-04,1005
2019-08-11,781
2019-08-18,704
2019-08-25,573
2019-09-01,512
2019-09-08,637
2019-09-15,540
2019-09-22,380
2019-09-29,412
2019-10-06,421
2019-10-13,373
2019-10-20,385
2019-10-27,396
2019-11-03,486
2019-11-10,391
2019-11-17,369
2019-11-24,493
2019-12-01,563
2019-12-08,709
2019-12-15,734
2019-12-22,604
2019-12-29,679
2020-01-05,1327
2020-01-12,1745
2020-01-19,1983
2020-01-26,1941
2020-02-02,2276
2020-02-09,2512
2020-02-16,2396
2020-02-23,2267
2020-03-01,2497
2020-03-08,2631
2020-03-15,1759
2020-03-22,2013
2020-03-29,2073
2020-04-05,1926
2020-04-12,1788
2020-04-19,1556
2020-04-26,1442
2020-05-03,1217
2020-05-10,1064
2020-05-17,953
2020-05-24,769
2020-05-31,723
2020-06-07,605
2020-06-14,495
2020-06-21,388
2020-06-28,370
2020-07-05,335
2020-07-12,259
2020-07-19,253
2020-07-26,262
2020-08-02,253
2020-08-09,296
2020-08-16,231
2020-08-23,230
2020-08-30,180
2020-09-06,210
2020-09-13,175
2020-09-20,225
2020-09-27,193
2020-10-04,160
2020-10-11,122
2020-10-18,117
2020-10-25,130
2020-11-01,123
2020-11-08,158
2020-11-15,194
2020-11-22,164
2020-11-29,237
2020-12-06,239
2020-12-13,183
2020-12-20,157
2020-12-27,131
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,1
2021-11-28,4
2021-12-05,10
2021-12-12,6
2021-12-19,33
2021-12-26,90
2022-01-02,221
2022-01-09,284
2022-01-16,214
2022-01-23,175
2022-01-30,149
2022-02-06,174
2022-02-13,167
2022-02-20,179
2022-02-27,253
2022-03-06,309
2022-03-13,376
2022-03-20,451
2022-03-27,614
2022-04-03,752
2022-04-10,695
2022-04-17,683
2022-04-24,814
2022-05-01,782
2022-05-08,893
2022-05-15,723
2022-05-22,614
2022-05-29,622
2022-06-05,501
2022-06-12,394
2022-06-19,374
2022-06-26,342
2022-07-03,337
2022-07-10,344
2022-07-17,301
2022-07-24,278
2022-07-31,311
2022-08-07,358
2022-08-14,321
2022-08-21,279
2022-08-28,210
2022-09-04,192
2022-09-11,234
2022-09-18,203
2022-09-25,268
2022-10-02,235
2022-10-09,271
2022-10-16,319
2022-10-23,302
2022-10-30,301
2022-11-06,369
2022-11-13,409
2022-11-20,364
2022-11-27,417
2022-12-04,464
2022-12-11,686
2022-12-18,833
2022-12-25,1222
2023-01-01,1991
2023-01-08,2268
2023-01-15,3363
2023-01-22,3410
2023-01-29,4505
2023-02-05,5603
2023-02-12,5877
2023-02-19,6823
2023-02-26,8098
2023-03-05,9076
2023-03-12,9566
2023-03-19,9905
2023-03-26,9855
2023-04-02,8434
2023-04-09,8383
2023-04-16,7500
2023-04-23,6664
2023-04-30,7101
2023-05-07,6386
2023-05-14,5655
2023-05-21,4571
2023-05-28,4583
2023-06-04,4069
2023-06-11,4212
2023-06-18,3760
2023-06-25,3149
2023-07-02,2588
2023-07-09,2372
2023-07-16,1749
2023-07-23,1726
2023-07-30,1578
2023-08-06,1430
2023-08-13,1324
2023-08-20,1344
2023-08-27,1107
2023-09-03,1019
2023-09-10,1304
2023-09-17,1384
2023-09-24,1387
2023-10-01,1456
2023-10-08,1298
2023-10-15,1471
2023-10-22,1305
2023-10-29,1342
2023-11-05,1538
2023-11-12,1232
2023-11-19,1372
2023-11-26,1362
2023-12-03,1328
2023-12-10,1236
2023-12-17,1107
2023-12-24,1116
2023-12-31,1669
2024-01-07,2086
2024-01-14,2837
2024-01-21,3442
2024-01-28,4852
2024-02-04,5514
2024-02-11,3984
