"ew_start","sum_of_cases"
2017-12-31,1788
2018-01-07,2003
2018-01-14,2436
2018-01-21,2686
2018-01-28,3265
2018-02-04,2760
2018-02-11,3096
2018-02-18,3735
2018-02-25,4173
2018-03-04,4648
2018-03-11,4413
2018-03-18,4489
2018-03-25,4343
2018-04-01,4854
2018-04-04,4870
2018-04-15,4903
2018-04-22,3651
2018-04-29,4752
2018-05-06,4738
2018-05-13,3967
2018-05-20,2794
2018-05-27,2181
2018-06-03,2093
2018-06-10,1831
2018-06-17,1632
2018-06-24,1134
2018-07-01,989
2018-07-08,798
2018-07-15,693
2018-07-22,578
2018-07-29,720
2018-08-05,644
2018-08-12,561
2018-08-19,582
2018-08-26,551
2018-09-02,497
2018-09-09,551
2018-09-16,624
2018-09-23,660
2018-09-30,801
2018-10-07,668
2018-10-14,867
2018-10-21,889
2018-10-28,890
2018-11-04,975
2018-11-11,1047
2018-11-18,1388
2018-11-25,1402
2018-12-02,1580
2018-12-09,1811
2018-12-16,1378
2018-12-23,1512
2018-12-30,2004
2019-01-06,2526
2019-01-13,2446
2019-01-20,2952
2019-01-27,3297
2019-02-03,3696
2019-02-10,4179
2019-02-17,4191
2019-02-24,3711
2019-03-03,4003
2019-03-10,4906
2019-03-17,6038
2019-03-24,6235
2019-03-31,6724
2019-04-07,6532
2019-04-14,6361
2019-04-21,7040
2019-04-28,7181
2019-05-05,7655
2019-05-12,7939
2019-05-19,6816
2019-05-26,5672
2019-06-02,4882
2019-06-09,4038
2019-06-16,2851
2019-06-23,2487
2019-06-30,1835
2019-07-07,1461
2019-07-14,1353
2019-07-21,981
2019-07-28,926
2019-08-04,836
2019-08-11,706
2019-08-18,824
2019-08-25,682
2019-09-01,781
2019-09-08,675
2019-09-15,739
2019-09-22,797
2019-09-29,893
2019-10-06,720
2019-10-13,804
2019-10-20,759
2019-10-27,858
2019-11-03,948
2019-11-10,792
2019-11-17,891
2019-11-24,859
2019-12-01,986
2019-12-08,1108
2019-12-15,915
2019-12-22,708
2019-12-29,877
2020-01-05,1579
2020-01-12,1848
2020-01-19,2236
2020-01-26,2291
2020-02-02,2961
2020-02-09,3146
2020-02-16,2927
2020-02-23,3180
2020-03-01,4308
2020-03-08,4166
2020-03-15,2910
2020-03-22,2584
2020-03-29,2889
2020-04-05,3248
2020-04-12,3131
2020-04-19,3134
2020-04-26,2764
2020-05-03,2606
2020-05-10,2425
2020-05-17,2221
2020-05-24,1845
2020-05-31,1899
2020-06-07,1832
2020-06-14,1952
2020-06-21,1789
2020-06-28,1804
2020-07-05,1469
2020-07-12,1054
2020-07-19,925
2020-07-26,798
2020-08-02,683
2020-08-09,729
2020-08-16,516
2020-08-23,423
2020-08-30,425
2020-09-06,461
2020-09-13,416
2020-09-20,406
2020-09-27,409
2020-10-04,353
2020-10-11,339
2020-10-18,316
2020-10-25,281
2020-11-01,456
2020-11-08,390
2020-11-15,424
2020-11-22,456
2020-11-29,548
2020-12-06,474
2020-12-13,426
2020-12-20,360
2020-12-27,363
2021-01-03,788
2021-01-10,974
2021-01-17,1177
2021-01-24,1172
2021-01-31,1425
2021-02-07,1630
2021-02-14,1616
2021-02-21,1580
2021-02-28,1979
2021-03-07,1913
2021-03-14,2103
2021-03-21,2157
2021-03-28,2255
2021-04-04,2881
2021-04-11,2640
2021-04-18,2631
2021-04-25,2614
2021-05-02,2647
2021-05-09,2537
2021-05-16,2395
2021-05-23,2002
2021-05-30,2156
2021-06-06,1936
2021-06-13,1615
2021-06-20,1494
2021-06-27,1177
2021-07-04,947
2021-07-11,911
2021-07-18,850
2021-07-25,662
2021-08-01,650
2021-08-08,582
2021-08-15,658
2021-08-22,528
2021-08-29,552
2021-09-05,499
2021-09-12,563
2021-09-19,504
2021-09-26,631
2021-10-03,512
2021-10-10,560
2021-10-17,643
2021-10-24,665
2021-10-31,790
2021-11-07,923
2021-11-14,1397
2021-11-21,1807
2021-11-28,2276
2021-12-05,2751
2021-12-12,2254
2021-12-19,1066
2021-12-26,347
2022-01-02,5611
2022-01-09,5498
2022-01-16,6271
2022-01-23,6553
2022-01-30,8088
2022-02-06,8563
2022-02-13,8178
2022-02-20,7419
2022-02-27,9905
2022-03-06,11159
2022-03-13,12257
2022-03-20,13605
2022-03-27,13655
2022-04-03,13834
2022-04-10,12825
2022-04-17,12505
2022-04-24,13302
2022-05-01,12650
2022-05-08,10522
2022-05-15,7698
2022-05-22,6094
2022-05-29,6043
2022-06-05,4952
2022-06-12,4130
2022-06-19,3985
2022-06-26,3205
2022-07-03,2606
2022-07-10,2364
2022-07-17,2366
2022-07-24,2052
2022-07-31,2213
2022-08-07,2152
2022-08-14,2028
2022-08-21,1854
2022-08-28,1883
2022-09-04,1860
2022-09-11,1651
2022-09-18,1807
2022-09-25,1762
2022-10-02,1523
2022-10-09,1476
2022-10-16,1331
2022-10-23,1170
2022-10-30,1247
2022-11-06,1665
2022-11-13,1894
2022-11-20,1924
2022-11-27,2157
2022-12-04,2149
2022-12-11,1906
2022-12-18,1601
2022-12-25,1834
2023-01-01,2605
2023-01-08,2627
2023-01-15,2952
2023-01-22,2866
2023-01-29,3476
2023-02-05,3487
2023-02-12,3066
2023-02-19,3513
2023-02-26,3647
2023-03-05,3738
2023-03-12,4082
2023-03-19,4950
2023-03-26,4908
2023-04-02,3994
2023-04-09,4878
