"ew_start","sum_of_cases"
2017-12-31,56
2018-01-07,78
2018-01-14,61
2018-01-21,48
2018-01-28,35
2018-02-04,60
2018-02-11,85
2018-02-18,59
2018-02-25,83
2018-03-04,65
2018-03-11,74
2018-03-18,82
2018-03-25,73
2018-04-01,124
2018-04-04,91
2018-04-15,157
2018-04-22,164
2018-04-29,171
2018-05-06,143
2018-05-13,167
2018-05-20,129
2018-05-27,80
2018-06-03,48
2018-06-10,40
2018-06-17,31
2018-06-24,23
2018-07-01,18
2018-07-08,20
2018-07-15,29
2018-07-22,15
2018-07-29,32
2018-08-05,39
2018-08-12,33
2018-08-19,22
2018-08-26,12
2018-09-02,20
2018-09-09,23
2018-09-16,24
2018-09-23,7
2018-09-30,14
2018-10-07,19
2018-10-14,27
2018-10-21,17
2018-10-28,13
2018-11-04,32
2018-11-11,13
2018-11-18,14
2018-11-25,11
2018-12-02,17
2018-12-09,11
2018-12-16,10
2018-12-23,15
2018-12-30,50
2019-01-06,64
2019-01-13,100
2019-01-20,110
2019-01-27,70
2019-02-03,83
2019-02-10,162
2019-02-17,144
2019-02-24,153
2019-03-03,174
2019-03-10,222
2019-03-17,249
2019-03-24,250
2019-03-31,305
2019-04-07,313
2019-04-14,290
2019-04-21,310
2019-04-28,275
2019-05-05,314
2019-05-12,288
2019-05-19,324
2019-05-26,282
2019-06-02,252
2019-06-09,197
2019-06-16,157
2019-06-23,164
2019-06-30,136
2019-07-07,128
2019-07-14,105
2019-07-21,75
2019-07-28,65
2019-08-04,96
2019-08-11,64
2019-08-18,56
2019-08-25,71
2019-09-01,43
2019-09-08,46
2019-09-15,57
2019-09-22,26
2019-09-29,34
2019-10-06,44
2019-10-13,32
2019-10-20,40
2019-10-27,41
2019-11-03,26
2019-11-10,49
2019-11-17,25
2019-11-24,20
2019-12-01,26
2019-12-08,24
2019-12-15,13
2019-12-22,17
2019-12-29,31
2020-01-05,59
2020-01-12,148
2020-01-19,156
2020-01-26,185
2020-02-02,185
2020-02-09,305
2020-02-16,252
2020-02-23,183
2020-03-01,203
2020-03-08,155
2020-03-15,86
2020-03-22,74
2020-03-29,102
2020-04-05,83
2020-04-12,105
2020-04-19,100
2020-04-26,66
2020-05-03,69
2020-05-10,61
2020-05-17,51
2020-05-24,35
2020-05-31,28
2020-06-07,32
2020-06-14,53
2020-06-21,43
2020-06-28,45
2020-07-05,26
2020-07-12,28
2020-07-19,30
2020-07-26,19
2020-08-02,14
2020-08-09,19
2020-08-16,13
2020-08-23,19
2020-08-30,16
2020-09-06,13
2020-09-13,8
2020-09-20,11
2020-09-27,13
2020-10-04,11
2020-10-11,6
2020-10-18,2
2020-10-25,7
2020-11-01,9
2020-11-08,1
2020-11-15,11
2020-11-22,10
2020-11-29,5
2020-12-06,1
2020-12-13,7
2020-12-20,14
2020-12-27,7
2021-01-03,46
2021-01-10,73
2021-01-17,77
2021-01-24,68
2021-01-31,71
2021-02-07,53
2021-02-14,75
2021-02-21,55
2021-02-28,52
2021-03-07,54
2021-03-14,46
2021-03-21,31
2021-03-28,34
2021-04-04,37
2021-04-11,30
2021-04-18,34
2021-04-25,45
2021-05-02,48
2021-05-09,44
2021-05-16,47
2021-05-23,29
2021-05-30,24
2021-06-06,32
2021-06-13,31
2021-06-20,20
2021-06-27,22
2021-07-04,22
2021-07-11,21
2021-07-18,13
2021-07-25,18
2021-08-01,14
2021-08-08,13
2021-08-15,19
2021-08-22,10
2021-08-29,15
2021-09-05,17
2021-09-12,16
2021-09-19,20
2021-09-26,11
2021-10-03,11
2021-10-10,18
2021-10-17,3
2021-10-24,10
2021-10-31,18
2021-11-07,12
2021-11-14,23
2021-11-21,21
2021-11-28,23
2021-12-05,41
2021-12-12,30
2021-12-19,12
2021-12-26,23
2022-01-02,58
2022-01-09,143
2022-01-16,79
2022-01-23,68
2022-01-30,88
2022-02-06,134
2022-02-13,149
2022-02-20,143
2022-02-27,241
2022-03-06,306
2022-03-13,307
2022-03-20,337
2022-03-27,361
2022-04-03,357
2022-04-10,283
2022-04-17,354
2022-04-24,489
2022-05-01,532
2022-05-08,448
2022-05-15,473
2022-05-22,393
2022-05-29,456
2022-06-05,348
2022-06-12,328
2022-06-19,342
2022-06-26,300
2022-07-03,309
2022-07-10,301
2022-07-17,219
2022-07-24,186
2022-07-31,171
2022-08-07,186
2022-08-14,209
2022-08-21,187
2022-08-28,132
2022-09-04,147
2022-09-11,125
2022-09-18,137
2022-09-25,110
2022-10-02,145
2022-10-09,104
2022-10-16,112
2022-10-23,63
2022-10-30,106
2022-11-06,109
2022-11-13,111
2022-11-20,84
2022-11-27,69
2022-12-04,86
2022-12-11,67
2022-12-18,62
2022-12-25,90
2023-01-01,160
2023-01-08,156
2023-01-15,182
2023-01-22,190
2023-01-29,245
2023-02-05,289
2023-02-12,240
2023-02-19,356
2023-02-26,497
2023-03-05,556
2023-03-12,508
2023-03-19,457
2023-03-26,368
2023-04-02,288
2023-04-09,322
2023-04-16,345
2023-04-23,244
2023-04-30,278
2023-05-07,226
2023-05-14,203
2023-05-21,163
2023-05-28,170
2023-06-04,143
2023-06-11,150
2023-06-18,163
2023-06-25,167
2023-07-02,166
2023-07-09,142
2023-07-16,88
2023-07-23,101
2023-07-30,107
2023-08-06,70
2023-08-13,78
2023-08-20,55
2023-08-27,57
2023-09-03,44
2023-09-10,49
2023-09-17,48
2023-09-24,32
2023-10-01,31
2023-10-08,33
2023-10-15,34
2023-10-22,19
2023-10-29,22
2023-11-05,33
2023-11-12,25
2023-11-19,36
2023-11-26,43
2023-12-03,13
2023-12-10,18
2023-12-17,4
2023-12-24,18
2023-12-31,33
2024-01-07,62
2024-01-14,60
2024-01-21,78
2024-01-28,85
2024-02-04,77
2024-02-11,18
