"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,56,56,56,56
2018-01-07,78,78,78,78
2018-01-14,61,61,61,61
2018-01-21,48,48,48,48
2018-01-28,35,35,35,35
2018-02-04,60,60,60,60
2018-02-11,85,85,85,85
2018-02-18,59,59,59,59
2018-02-25,83,83,83,83
2018-03-04,65,65,65,65
2018-03-11,74,74,74,74
2018-03-18,82,82,82,82
2018-03-25,73,73,73,73
2018-04-01,124,124,124,124
2018-04-04,91,91,91,91
2018-04-15,157,157,157,157
2018-04-22,164,164,164,164
2018-04-29,171,171,171,171
2018-05-06,143,143,143,143
2018-05-13,167,167,167,167
2018-05-20,129,129,129,129
2018-05-27,80,80,80,80
2018-06-03,48,48,48,48
2018-06-10,40,40,40,40
2018-06-17,31,31,31,31
2018-06-24,23,23,23,23
2018-07-01,18,18,18,18
2018-07-08,20,20,20,20
2018-07-15,29,29,29,29
2018-07-22,15,15,15,15
2018-07-29,32,32,32,32
2018-08-05,39,39,39,39
2018-08-12,33,33,33,33
2018-08-19,22,22,22,22
2018-08-26,12,12,12,12
2018-09-02,20,20,20,20
2018-09-09,23,23,23,23
2018-09-16,24,24,24,24
2018-09-23,7,7,7,7
2018-09-30,14,14,14,14
2018-10-07,19,19,19,19
2018-10-14,27,27,27,27
2018-10-21,17,17,17,17
2018-10-28,13,13,13,13
2018-11-04,32,32,32,32
2018-11-11,13,13,13,13
2018-11-18,14,14,14,14
2018-11-25,11,11,11,11
2018-12-02,17,17,17,17
2018-12-09,11,11,11,11
2018-12-16,10,10,10,10
2018-12-23,15,15,15,15
2018-12-30,50,50,50,50
2019-01-06,64,64,64,64
2019-01-13,100,100,100,100
2019-01-20,110,110,110,110
2019-01-27,70,70,70,70
2019-02-03,83,83,83,83
2019-02-10,162,162,162,162
2019-02-17,144,144,144,144
2019-02-24,153,153,153,153
2019-03-03,174,174,174,174
2019-03-10,222,222,222,222
2019-03-17,249,249,249,249
2019-03-24,250,250,250,250
2019-03-31,305,305,305,305
2019-04-07,313,313,313,313
2019-04-14,290,290,290,290
2019-04-21,310,310,310,310
2019-04-28,275,275,275,275
2019-05-05,314,314,314,314
2019-05-12,288,288,288,288
2019-05-19,324,324,324,324
2019-05-26,282,282,282,282
2019-06-02,252,252,252,252
2019-06-09,197,197,197,197
2019-06-16,157,157,157,157
2019-06-23,164,164,164,164
2019-06-30,136,136,136,136
2019-07-07,128,128,128,128
2019-07-14,105,105,105,105
2019-07-21,75,75,75,75
2019-07-28,65,65,65,65
2019-08-04,96,96,96,96
2019-08-11,64,64,64,64
2019-08-18,56,56,56,56
2019-08-25,71,71,71,71
2019-09-01,43,43,43,43
2019-09-08,46,46,46,46
2019-09-15,57,57,57,57
2019-09-22,26,26,26,26
2019-09-29,34,34,34,34
2019-10-06,44,44,44,44
2019-10-13,32,32,32,32
2019-10-20,40,40,40,40
2019-10-27,41,41,41,41
2019-11-03,26,26,26,26
2019-11-10,49,49,49,49
2019-11-17,25,25,25,25
2019-11-24,20,20,20,20
2019-12-01,26,26,26,26
2019-12-08,24,24,24,24
2019-12-15,13,13,13,13
2019-12-22,17,17,17,17
2019-12-29,31,31,31,31
2020-01-05,59,59,59,59
2020-01-12,148,148,148,148
2020-01-19,156,156,156,156
2020-01-26,185,185,185,185
2020-02-02,185,185,185,185
2020-02-09,305,305,305,305
2020-02-16,252,252,252,252
2020-02-23,183,183,183,183
2020-03-01,203,203,203,203
2020-03-08,155,155,155,155
2020-03-15,86,86,86,86
2020-03-22,74,74,74,74
2020-03-29,102,102,102,102
2020-04-05,83,83,83,83
2020-04-12,105,105,105,105
2020-04-19,100,100,100,100
2020-04-26,66,66,66,66
2020-05-03,69,69,69,69
2020-05-10,61,61,61,61
2020-05-17,51,51,51,51
2020-05-24,35,35,35,35
2020-05-31,28,28,28,28
2020-06-07,32,32,32,32
2020-06-14,53,53,53,53
2020-06-21,43,43,43,43
2020-06-28,45,45,45,45
2020-07-05,26,26,26,26
2020-07-12,28,28,28,28
2020-07-19,30,30,30,30
2020-07-26,19,19,19,19
2020-08-02,14,14,14,14
2020-08-09,19,19,19,19
2020-08-16,13,13,13,13
2020-08-23,19,19,19,19
2020-08-30,16,16,16,16
2020-09-06,13,13,13,13
2020-09-13,8,8,8,8
2020-09-20,11,11,11,11
2020-09-27,13,13,13,13
2020-10-04,11,11,11,11
2020-10-11,6,6,6,6
2020-10-18,2,2,2,2
2020-10-25,7,7,7,7
2020-11-01,9,9,9,9
2020-11-08,1,1,1,1
2020-11-15,11,11,11,11
2020-11-22,10,10,10,10
2020-11-29,5,5,5,5
2020-12-06,1,1,1,1
2020-12-13,7,7,7,7
2020-12-20,14,14,14,14
2020-12-27,7,7,7,7
2021-01-03,46,46,46,46
2021-01-10,73,73,73,73
2021-01-17,77,77,77,77
2021-01-24,68,68,68,68
2021-01-31,71,71,71,71
2021-02-07,53,53,53,53
2021-02-14,75,75,75,75
2021-02-21,55,55,55,55
2021-02-28,52,52,52,52
2021-03-07,54,54,54,54
2021-03-14,46,46,46,46
2021-03-21,31,31,31,31
2021-03-28,34,34,34,34
2021-04-04,37,37,37,37
2021-04-11,30,30,30,30
2021-04-18,34,34,34,34
2021-04-25,45,45,45,45
2021-05-02,48,48,48,48
2021-05-09,44,44,44,44
2021-05-16,47,47,47,47
2021-05-23,29,29,29,29
2021-05-30,24,24,24,24
2021-06-06,32,32,32,32
2021-06-13,31,31,31,31
2021-06-20,20,20,20,20
2021-06-27,22,22,22,22
2021-07-04,22,22,22,22
2021-07-11,21,21,21,21
2021-07-18,13,13,13,13
2021-07-25,18,18,18,18
2021-08-01,14,14,14,14
2021-08-08,13,13,13,13
2021-08-15,19,19,19,19
2021-08-22,10,10,10,10
2021-08-29,15,15,15,15
2021-09-05,17,17,17,17
2021-09-12,16,16,16,16
2021-09-19,20,20,20,20
2021-09-26,11,11,11,11
2021-10-03,11,11,11,11
2021-10-10,18,18,18,18
2021-10-17,3,3,3,3
2021-10-24,10,10,10,10
2021-10-31,18,18,18,18
2021-11-07,12,12,12,12
2021-11-14,23,23,23,23
2021-11-21,21,21,21,21
2021-11-28,23,23,23,23
2021-12-05,41,41,41,41
2021-12-12,30,30,30,30
2021-12-19,12,12,12,12
2021-12-26,23,23,23,23
2022-01-02,58,58,58,58
2022-01-09,143,143,143,143
2022-01-16,79,79,79,79
2022-01-23,68,68,68,68
2022-01-30,88,88,88,88
2022-02-06,134,134,134,134
2022-02-13,149,149,149,149
2022-02-20,143,143,143,143
2022-02-27,241,241,241,241
2022-03-06,306,306,306,306
2022-03-13,307,307,307,307
2022-03-20,337,337,337,337
2022-03-27,361,361,361,361
2022-04-03,357,357,357,357
2022-04-10,283,283,283,283
2022-04-17,354,354,354,354
2022-04-24,489,489,489,489
2022-05-01,532,532,532,532
2022-05-08,448,448,448,448
2022-05-15,473,473,473,473
2022-05-22,393,393,393,393
2022-05-29,456,456,456,456
2022-06-05,348,348,348,348
2022-06-12,328,328,328,328
2022-06-19,342,342,342,342
2022-06-26,300,300,300,300
2022-07-03,309,309,309,309
2022-07-10,301,301,301,301
2022-07-17,219,219,219,219
2022-07-24,186,186,186,186
2022-07-31,171,171,171,171
2022-08-07,186,186,186,186
2022-08-14,209,209,209,209
2022-08-21,187,187,187,187
2022-08-28,132,132,132,132
2022-09-04,147,147,147,147
2022-09-11,125,125,125,125
2022-09-18,137,137,137,137
