"ew_start","sum_of_cases"
2017-12-31,226
2018-01-07,200
2018-01-14,252
2018-01-21,194
2018-01-28,189
2018-02-04,154
2018-02-11,137
2018-02-18,172
2018-02-25,156
2018-03-04,171
2018-03-11,200
2018-03-18,167
2018-03-25,129
2018-04-01,155
2018-04-04,138
2018-04-15,158
2018-04-22,120
2018-04-29,160
2018-05-06,185
2018-05-13,130
2018-05-20,98
2018-05-27,84
2018-06-03,79
2018-06-10,59
2018-06-17,83
2018-06-24,88
2018-07-01,80
2018-07-08,78
2018-07-15,71
2018-07-22,67
2018-07-29,49
2018-08-05,65
2018-08-12,47
2018-08-19,43
2018-08-26,48
2018-09-02,44
2018-09-09,60
2018-09-16,64
2018-09-23,76
2018-09-30,70
2018-10-07,72
2018-10-14,103
2018-10-21,104
2018-10-28,143
2018-11-04,209
2018-11-11,260
2018-11-18,475
2018-11-25,777
2018-12-02,1117
2018-12-09,1131
2018-12-16,857
2018-12-23,793
2018-12-30,841
2019-01-06,866
2019-01-13,1084
2019-01-20,1424
2019-01-27,1837
2019-02-03,2074
2019-02-10,2417
2019-02-17,2725
2019-02-24,3658
2019-03-03,4167
2019-03-10,5111
2019-03-17,4908
2019-03-24,5230
2019-03-31,4636
2019-04-07,5673
2019-04-14,4699
2019-04-21,4406
2019-04-28,4351
2019-05-05,4212
2019-05-12,3358
2019-05-19,2354
2019-05-26,2072
2019-06-02,1755
2019-06-09,1635
2019-06-16,1407
2019-06-23,986
2019-06-30,582
2019-07-07,463
2019-07-14,367
2019-07-21,286
2019-07-28,246
2019-08-04,186
2019-08-11,203
2019-08-18,189
2019-08-25,176
2019-09-01,152
2019-09-08,163
2019-09-15,145
2019-09-22,144
2019-09-29,172
2019-10-06,141
2019-10-13,177
2019-10-20,176
2019-10-27,205
2019-11-03,264
2019-11-10,272
2019-11-17,353
2019-11-24,342
2019-12-01,500
2019-12-08,496
2019-12-15,460
2019-12-22,476
2019-12-29,769
2020-01-05,1898
2020-01-12,2969
2020-01-19,4098
2020-01-26,4327
2020-02-02,5030
2020-02-09,5575
2020-02-16,5172
2020-02-23,5110
2020-03-01,5326
2020-03-08,4692
2020-03-15,3493
2020-03-22,2943
2020-03-29,2667
2020-04-05,2046
2020-04-12,1820
2020-04-19,1615
2020-04-26,1575
2020-05-03,1276
2020-05-10,929
2020-05-17,746
2020-05-24,601
2020-05-31,453
2020-06-07,532
2020-06-14,527
2020-06-21,410
2020-06-28,370
2020-07-05,359
2020-07-12,367
2020-07-19,347
2020-07-26,273
2020-08-02,252
2020-08-09,262
2020-08-16,172
2020-08-23,216
2020-08-30,166
2020-09-06,203
2020-09-13,186
2020-09-20,171
2020-09-27,180
2020-10-04,148
2020-10-11,124
2020-10-18,123
2020-10-25,124
2020-11-01,185
2020-11-08,226
2020-11-15,329
2020-11-22,286
2020-11-29,350
2020-12-06,308
2020-12-13,224
2020-12-20,185
2020-12-27,158
2021-01-03,387
2021-01-10,439
2021-01-17,555
2021-01-24,623
2021-01-31,859
2021-02-07,1098
2021-02-14,1305
2021-02-21,1271
2021-02-28,1372
2021-03-07,1387
2021-03-14,1252
2021-03-21,1122
2021-03-28,1152
2021-04-04,1285
2021-04-11,1132
2021-04-18,1089
2021-04-25,915
2021-05-02,728
2021-05-09,820
2021-05-16,615
2021-05-23,416
2021-05-30,434
2021-06-06,299
2021-06-13,239
2021-06-20,212
2021-06-27,131
2021-07-04,149
2021-07-11,133
2021-07-18,153
2021-07-25,103
2021-08-01,123
2021-08-08,133
2021-08-15,153
2021-08-22,119
2021-08-29,117
2021-09-05,125
2021-09-12,148
2021-09-19,155
2021-09-26,153
2021-10-03,108
2021-10-10,118
2021-10-17,140
2021-10-24,109
2021-10-31,140
2021-11-07,145
2021-11-14,143
2021-11-21,166
2021-11-28,148
2021-12-05,129
2021-12-12,80
2021-12-19,36
2021-12-26,5
2022-01-02,359
2022-01-09,459
2022-01-16,430
2022-01-23,374
2022-01-30,374
2022-02-06,418
2022-02-13,444
2022-02-20,399
2022-02-27,631
2022-03-06,788
2022-03-13,974
2022-03-20,1309
2022-03-27,1592
2022-04-03,1743
2022-04-10,2140
2022-04-17,2685
2022-04-24,3292
2022-05-01,4255
2022-05-08,3373
2022-05-15,2271
2022-05-22,2141
2022-05-29,2050
2022-06-05,1686
2022-06-12,1218
2022-06-19,1309
2022-06-26,1147
2022-07-03,949
2022-07-10,903
2022-07-17,794
2022-07-24,754
2022-07-31,793
2022-08-07,552
2022-08-14,531
2022-08-21,519
2022-08-28,480
2022-09-04,409
2022-09-11,446
2022-09-18,419
2022-09-25,461
2022-10-02,536
2022-10-09,514
2022-10-16,759
2022-10-23,810
2022-10-30,816
2022-11-06,1020
2022-11-13,1223
2022-11-20,1258
2022-11-27,1134
2022-12-04,949
2022-12-11,303
2022-12-18,13
2022-12-25,245
2023-01-01,1302
2023-01-08,1363
2023-01-15,1506
2023-01-22,1931
2023-01-29,2227
2023-02-05,2810
2023-02-12,3080
2023-02-19,3328
2023-02-26,4377
2023-03-05,5248
2023-03-12,5353
2023-03-19,6711
2023-03-26,6875
2023-04-02,6020
2023-04-09,6545
2023-04-16,5438
2023-04-23,4263
2023-04-30,4912
2023-05-07,4416
2023-05-14,3878
2023-05-21,2852
2023-05-28,2138
2023-06-04,1599
