"ew_start","sum_of_cases"
2017-12-31,363
2018-01-07,374
2018-01-14,328
2018-01-21,420
2018-01-28,471
2018-02-04,446
2018-02-11,370
2018-02-18,360
2018-02-25,432
2018-03-04,374
2018-03-11,388
2018-03-18,387
2018-03-25,249
2018-04-01,340
2018-04-04,383
2018-04-15,327
2018-04-22,264
2018-04-29,307
2018-05-06,278
2018-05-13,212
2018-05-20,170
2018-05-27,164
2018-06-03,135
2018-06-10,134
2018-06-17,113
2018-06-24,85
2018-07-01,105
2018-07-08,78
2018-07-15,68
2018-07-22,55
2018-07-29,60
2018-08-05,54
2018-08-12,53
2018-08-19,60
2018-08-26,53
2018-09-02,45
2018-09-09,67
2018-09-16,35
2018-09-23,39
2018-09-30,42
2018-10-07,46
2018-10-14,70
2018-10-21,59
2018-10-28,90
2018-11-04,114
2018-11-11,85
2018-11-18,121
2018-11-25,144
2018-12-02,193
2018-12-09,216
2018-12-16,138
2018-12-23,162
2018-12-30,340
2019-01-06,268
2019-01-13,257
2019-01-20,329
2019-01-27,341
2019-02-03,324
2019-02-10,352
2019-02-17,374
2019-02-24,332
2019-03-03,334
2019-03-10,449
2019-03-17,457
2019-03-24,485
2019-03-31,583
2019-04-07,532
2019-04-14,569
2019-04-21,670
2019-04-28,659
2019-05-05,719
2019-05-12,800
2019-05-19,776
2019-05-26,635
2019-06-02,566
2019-06-09,500
2019-06-16,381
2019-06-23,344
2019-06-30,284
2019-07-07,235
2019-07-14,203
2019-07-21,172
2019-07-28,181
2019-08-04,130
2019-08-11,163
2019-08-18,160
2019-08-25,125
2019-09-01,126
2019-09-08,114
2019-09-15,134
2019-09-22,106
2019-09-29,124
2019-10-06,123
2019-10-13,132
2019-10-20,144
2019-10-27,160
2019-11-03,165
2019-11-10,214
2019-11-17,312
2019-11-24,311
2019-12-01,422
2019-12-08,570
2019-12-15,460
2019-12-22,415
2019-12-29,653
2020-01-05,1425
2020-01-12,1773
2020-01-19,2173
2020-01-26,2628
2020-02-02,2695
2020-02-09,2454
2020-02-16,2182
2020-02-23,2032
2020-03-01,2300
2020-03-08,2250
2020-03-15,1730
2020-03-22,1307
2020-03-29,1343
2020-04-05,1306
2020-04-12,1451
2020-04-19,1389
2020-04-26,1436
2020-05-03,1339
2020-05-10,1436
2020-05-17,1364
2020-05-24,1152
2020-05-31,1106
2020-06-07,1022
2020-06-14,957
2020-06-21,700
2020-06-28,586
2020-07-05,504
2020-07-12,395
2020-07-19,395
2020-07-26,284
2020-08-02,238
2020-08-09,243
2020-08-16,167
2020-08-23,139
2020-08-30,165
2020-09-06,141
2020-09-13,135
2020-09-20,137
2020-09-27,99
2020-10-04,114
2020-10-11,89
2020-10-18,102
2020-10-25,89
2020-11-01,134
2020-11-08,127
2020-11-15,143
2020-11-22,145
2020-11-29,215
2020-12-06,220
2020-12-13,185
2020-12-20,187
2020-12-27,166
2021-01-03,511
2021-01-10,529
2021-01-17,618
2021-01-24,690
2021-01-31,784
2021-02-07,724
2021-02-14,1014
2021-02-21,888
2021-02-28,950
2021-03-07,856
2021-03-14,870
2021-03-21,843
2021-03-28,825
2021-04-04,947
2021-04-11,1009
2021-04-18,967
2021-04-25,987
2021-05-02,964
2021-05-09,955
2021-05-16,873
2021-05-23,897
2021-05-30,868
2021-06-06,881
2021-06-13,738
2021-06-20,718
2021-06-27,572
2021-07-04,516
2021-07-11,419
2021-07-18,412
2021-07-25,323
2021-08-01,266
2021-08-08,226
2021-08-15,254
2021-08-22,242
2021-08-29,162
2021-09-05,164
2021-09-12,204
2021-09-19,218
2021-09-26,236
2021-10-03,209
2021-10-10,257
2021-10-17,259
2021-10-24,344
2021-10-31,383
2021-11-07,427
2021-11-14,596
2021-11-21,698
2021-11-28,930
2021-12-05,1103
2021-12-12,950
2021-12-19,641
2021-12-26,139
2022-01-02,1687
2022-01-09,1725
2022-01-16,1748
2022-01-23,1723
2022-01-30,1884
2022-02-06,1729
2022-02-13,1567
2022-02-20,1369
2022-02-27,1715
2022-03-06,1776
2022-03-13,2009
2022-03-20,2338
2022-03-27,2466
2022-04-03,2519
2022-04-10,2502
2022-04-17,2723
2022-04-24,2665
2022-05-01,2356
2022-05-08,2108
2022-05-15,1786
2022-05-22,1493
2022-05-29,1367
2022-06-05,1177
2022-06-12,889
2022-06-19,920
2022-06-26,787
2022-07-03,650
2022-07-10,591
2022-07-17,474
