"ew_start","sum_of_cases"
2017-12-31,151
2018-01-07,171
2018-01-14,226
2018-01-21,222
2018-01-28,279
2018-02-04,281
2018-02-11,348
2018-02-18,445
2018-02-25,470
2018-03-04,532
2018-03-11,487
2018-03-18,409
2018-03-25,292
2018-04-01,432
2018-04-04,407
2018-04-15,377
2018-04-22,271
2018-04-29,332
2018-05-06,275
2018-05-13,279
2018-05-20,228
2018-05-27,205
2018-06-03,216
2018-06-10,187
2018-06-17,132
2018-06-24,115
2018-07-01,99
2018-07-08,98
2018-07-15,74
2018-07-22,100
2018-07-29,127
2018-08-05,148
2018-08-12,135
2018-08-19,141
2018-08-26,109
2018-09-02,74
2018-09-09,73
2018-09-16,65
2018-09-23,49
2018-09-30,60
2018-10-07,44
2018-10-14,48
2018-10-21,32
2018-10-28,41
2018-11-04,60
2018-11-11,77
2018-11-18,97
2018-11-25,99
2018-12-02,83
2018-12-09,157
2018-12-16,78
2018-12-23,85
2018-12-30,195
2019-01-06,185
2019-01-13,246
2019-01-20,251
2019-01-27,287
2019-02-03,303
2019-02-10,378
2019-02-17,328
2019-02-24,238
2019-03-03,294
2019-03-10,361
2019-03-17,313
2019-03-24,290
2019-03-31,315
2019-04-07,291
2019-04-14,277
2019-04-21,233
2019-04-28,288
2019-05-05,228
2019-05-12,237
2019-05-19,211
2019-05-26,196
2019-06-02,137
2019-06-09,143
2019-06-16,97
2019-06-23,101
2019-06-30,98
2019-07-07,78
2019-07-14,89
2019-07-21,79
2019-07-28,89
2019-08-04,88
2019-08-11,76
2019-08-18,92
2019-08-25,106
2019-09-01,88
2019-09-08,126
2019-09-15,155
2019-09-22,133
2019-09-29,110
2019-10-06,124
2019-10-13,101
2019-10-20,82
2019-10-27,99
2019-11-03,109
2019-11-10,116
2019-11-17,124
2019-11-24,97
2019-12-01,111
2019-12-08,105
2019-12-15,63
2019-12-22,73
2019-12-29,137
2020-01-05,272
2020-01-12,323
2020-01-19,341
2020-01-26,401
2020-02-02,543
2020-02-09,491
2020-02-16,348
2020-02-23,356
2020-03-01,430
2020-03-08,429
2020-03-15,289
2020-03-22,216
2020-03-29,196
2020-04-05,191
2020-04-12,196
2020-04-19,163
2020-04-26,141
2020-05-03,180
2020-05-10,136
2020-05-17,153
2020-05-24,124
2020-05-31,99
2020-06-07,63
2020-06-14,76
2020-06-21,73
2020-06-28,52
2020-07-05,41
2020-07-12,40
2020-07-19,46
2020-07-26,37
2020-08-02,43
2020-08-09,38
2020-08-16,42
2020-08-23,42
2020-08-30,33
2020-09-06,42
2020-09-13,27
2020-09-20,32
2020-09-27,25
2020-10-04,26
2020-10-11,25
2020-10-18,33
2020-10-25,27
2020-11-01,40
2020-11-08,46
2020-11-15,47
2020-11-22,47
2020-11-29,60
2020-12-06,56
2020-12-13,47
2020-12-20,36
2020-12-27,40
2021-01-03,100
2021-01-10,125
2021-01-17,184
2021-01-24,171
2021-01-31,173
2021-02-07,153
2021-02-14,196
2021-02-21,202
2021-02-28,245
2021-03-07,237
2021-03-14,272
2021-03-21,180
2021-03-28,192
2021-04-04,192
2021-04-11,193
2021-04-18,206
2021-04-25,175
2021-05-02,157
2021-05-09,155
2021-05-16,167
2021-05-23,154
2021-05-30,130
2021-06-06,147
2021-06-13,107
2021-06-20,97
2021-06-27,96
2021-07-04,116
2021-07-11,81
2021-07-18,70
2021-07-25,71
2021-08-01,100
2021-08-08,82
2021-08-15,73
2021-08-22,70
2021-08-29,50
2021-09-05,64
2021-09-12,65
2021-09-19,67
2021-09-26,69
2021-10-03,45
2021-10-10,52
2021-10-17,69
2021-10-24,60
2021-10-31,92
2021-11-07,95
2021-11-14,214
2021-11-21,250
