"ew_start","sum_of_cases"
2017-12-31,64
2018-01-07,74
2018-01-14,84
2018-01-21,59
2018-01-28,101
2018-02-04,106
2018-02-11,131
2018-02-18,124
2018-02-25,168
2018-03-04,145
2018-03-11,175
2018-03-18,206
2018-03-25,206
2018-04-01,420
2018-04-04,400
2018-04-15,613
2018-04-22,640
2018-04-29,727
2018-05-06,765
2018-05-13,740
2018-05-20,682
2018-05-27,572
2018-06-03,518
2018-06-10,528
2018-06-17,438
2018-06-24,330
2018-07-01,327
2018-07-08,315
2018-07-15,338
2018-07-22,264
2018-07-29,242
2018-08-05,213
2018-08-12,184
2018-08-19,150
2018-08-26,133
2018-09-02,96
2018-09-09,79
2018-09-16,73
2018-09-23,87
2018-09-30,84
2018-10-07,93
2018-10-14,81
2018-10-21,64
2018-10-28,73
2018-11-04,72
2018-11-11,77
2018-11-18,79
2018-11-25,84
2018-12-02,66
2018-12-09,39
2018-12-16,62
2018-12-23,42
2018-12-30,81
2019-01-06,95
2019-01-13,94
2019-01-20,124
2019-01-27,110
2019-02-03,119
2019-02-10,186
2019-02-17,205
2019-02-24,184
2019-03-03,264
2019-03-10,329
2019-03-17,358
2019-03-24,347
2019-03-31,516
2019-04-07,706
2019-04-14,684
2019-04-21,884
2019-04-28,1035
2019-05-05,1046
2019-05-12,1088
2019-05-19,964
2019-05-26,1061
2019-06-02,930
2019-06-09,799
2019-06-16,611
2019-06-23,654
2019-06-30,657
2019-07-07,640
2019-07-14,630
2019-07-21,484
2019-07-28,480
2019-08-04,528
2019-08-11,456
2019-08-18,367
2019-08-25,477
2019-09-01,356
2019-09-08,329
2019-09-15,295
2019-09-22,225
2019-09-29,237
2019-10-06,174
2019-10-13,123
2019-10-20,121
2019-10-27,146
2019-11-03,98
2019-11-10,131
2019-11-17,128
2019-11-24,115
2019-12-01,98
2019-12-08,113
2019-12-15,102
2019-12-22,78
2019-12-29,72
2020-01-05,127
2020-01-12,113
2020-01-19,146
2020-01-26,166
2020-02-02,188
2020-02-09,177
2020-02-16,167
2020-02-23,196
2020-03-01,164
2020-03-08,178
