"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,64,64,64,64
2018-01-07,74,74,74,74
2018-01-14,84,84,84,84
2018-01-21,59,59,59,59
2018-01-28,101,101,101,101
2018-02-04,106,106,106,106
2018-02-11,131,131,131,131
2018-02-18,124,124,124,124
2018-02-25,168,168,168,168
2018-03-04,145,145,145,145
2018-03-11,175,175,175,175
2018-03-18,206,206,206,206
2018-03-25,206,206,206,206
2018-04-01,420,420,420,420
2018-04-04,400,400,400,400
2018-04-15,613,613,613,613
2018-04-22,640,640,640,640
2018-04-29,727,727,727,727
2018-05-06,765,765,765,765
2018-05-13,740,740,740,740
2018-05-20,682,682,682,682
2018-05-27,572,572,572,572
2018-06-03,518,518,518,518
2018-06-10,528,528,528,528
2018-06-17,438,438,438,438
2018-06-24,330,330,330,330
2018-07-01,327,327,327,327
2018-07-08,315,315,315,315
2018-07-15,338,338,338,338
2018-07-22,264,264,264,264
2018-07-29,242,242,242,242
2018-08-05,213,213,213,213
2018-08-12,184,184,184,184
2018-08-19,150,150,150,150
2018-08-26,133,133,133,133
2018-09-02,96,96,96,96
2018-09-09,79,79,79,79
2018-09-16,73,73,73,73
2018-09-23,87,87,87,87
2018-09-30,84,84,84,84
2018-10-07,93,93,93,93
2018-10-14,81,81,81,81
2018-10-21,64,64,64,64
2018-10-28,73,73,73,73
2018-11-04,72,72,72,72
2018-11-11,77,77,77,77
2018-11-18,79,79,79,79
2018-11-25,84,84,84,84
2018-12-02,66,66,66,66
2018-12-09,39,39,39,39
2018-12-16,62,62,62,62
2018-12-23,42,42,42,42
2018-12-30,81,81,81,81
2019-01-06,95,95,95,95
2019-01-13,94,94,94,94
2019-01-20,124,124,124,124
2019-01-27,110,110,110,110
2019-02-03,119,119,119,119
2019-02-10,186,186,186,186
2019-02-17,205,205,205,205
2019-02-24,184,184,184,184
2019-03-03,264,264,264,264
2019-03-10,329,329,329,329
2019-03-17,358,358,358,358
2019-03-24,347,347,347,347
2019-03-31,516,516,516,516
2019-04-07,706,706,706,706
2019-04-14,684,684,684,684
2019-04-21,884,884,884,884
2019-04-28,1035,1035,1035,1035
2019-05-05,1046,1046,1046,1046
2019-05-12,1088,1088,1088,1088
2019-05-19,964,964,964,964
2019-05-26,1061,1061,1061,1061
2019-06-02,930,930,930,930
2019-06-09,799,799,799,799
2019-06-16,611,611,611,611
2019-06-23,654,654,654,654
2019-06-30,657,657,657,657
2019-07-07,640,640,640,640
2019-07-14,630,630,630,630
2019-07-21,484,484,484,484
2019-07-28,480,480,480,480
2019-08-04,528,528,528,528
2019-08-11,456,456,456,456
2019-08-18,367,367,367,367
2019-08-25,477,477,477,477
2019-09-01,356,356,356,356
2019-09-08,329,329,329,329
2019-09-15,295,295,295,295
2019-09-22,225,225,225,225
2019-09-29,237,237,237,237
2019-10-06,174,174,174,174
2019-10-13,123,123,123,123
2019-10-20,121,121,121,121
2019-10-27,146,146,146,146
2019-11-03,98,98,98,98
2019-11-10,131,131,131,131
2019-11-17,128,128,128,128
2019-11-24,115,115,115,115
2019-12-01,98,98,98,98
2019-12-08,113,113,113,113
2019-12-15,102,102,102,102
2019-12-22,78,78,78,78
2019-12-29,72,72,72,72
2020-01-05,127,127,127,127
2020-01-12,113,113,113,113
2020-01-19,146,146,146,146
2020-01-26,166,166,166,166
2020-02-02,188,188,188,188
2020-02-09,177,177,177,177
2020-02-16,167,167,167,167
2020-02-23,196,196,196,196
2020-03-01,164,164,164,164
2020-03-08,178,178,178,178
2020-03-15,125,125,125,125
2020-03-22,67,67,67,67
2020-03-29,68,68,68,68
2020-04-05,112,112,112,112
2020-04-12,149,149,149,149
2020-04-19,212,212,212,212
2020-04-26,215,215,215,215
2020-05-03,231,231,231,231
2020-05-10,279,279,279,279
2020-05-17,294,294,294,294
2020-05-24,310,310,310,310
2020-05-31,296,296,296,296
2020-06-07,236,236,236,236
2020-06-14,243,243,243,243
2020-06-21,221,221,221,221
2020-06-28,298,298,298,298
2020-07-05,312,312,312,312
2020-07-12,296,296,296,296
2020-07-19,267,267,267,267
2020-07-26,207,207,207,207
2020-08-02,191,191,191,191
2020-08-09,191,191,191,191
2020-08-16,168,168,168,168
2020-08-23,151,151,151,151
2020-08-30,150,150,150,150
2020-09-06,120,120,120,120
2020-09-13,112,112,112,112
2020-09-20,136,136,136,136
2020-09-27,109,109,109,109
2020-10-04,133,133,133,133
2020-10-11,77,77,77,77
2020-10-18,84,84,84,84
2020-10-25,82,82,82,82
2020-11-01,84,84,84,84
2020-11-08,66,66,66,66
2020-11-15,83,83,83,83
2020-11-22,53,53,53,53
2020-11-29,64,64,64,64
2020-12-06,82,82,82,82
2020-12-13,52,52,52,52
2020-12-20,52,52,52,52
2020-12-27,30,30,30,30
2021-01-03,65,65,65,65
2021-01-10,69,69,69,69
2021-01-17,61,61,61,61
2021-01-24,58,58,58,58
2021-01-31,100,100,100,100
2021-02-07,107,107,107,107
2021-02-14,140,140,140,140
2021-02-21,106,106,106,106
2021-02-28,141,141,141,141
2021-03-07,160,160,160,160
2021-03-14,191,191,191,191
2021-03-21,149,149,149,149
2021-03-28,175,175,175,175
