"ew_start","sum_of_cases"
2017-12-31,295
2018-01-07,270
2018-01-14,284
2018-01-21,268
2018-01-28,317
2018-02-04,264
2018-02-11,317
2018-02-18,382
2018-02-25,423
2018-03-04,475
2018-03-11,549
2018-03-18,624
2018-03-25,549
2018-04-01,875
2018-04-04,964
2018-04-15,1038
2018-04-22,964
2018-04-29,843
2018-05-06,900
2018-05-13,845
2018-05-20,703
2018-05-27,601
2018-06-03,550
2018-06-10,544
2018-06-17,479
2018-06-24,472
2018-07-01,435
2018-07-08,430
2018-07-15,493
2018-07-22,442
2018-07-29,386
2018-08-05,403
2018-08-12,411
2018-08-19,434
2018-08-26,330
2018-09-02,309
2018-09-09,350
2018-09-16,290
2018-09-23,298
2018-09-30,352
2018-10-07,291
2018-10-14,316
2018-10-21,327
2018-10-28,242
2018-11-04,310
2018-11-11,262
2018-11-18,288
2018-11-25,316
2018-12-02,272
2018-12-09,305
2018-12-16,258
2018-12-23,221
2018-12-30,284
2019-01-06,328
2019-01-13,330
2019-01-20,354
2019-01-27,535
2019-02-03,668
2019-02-10,816
2019-02-17,770
2019-02-24,600
2019-03-03,743
2019-03-10,959
2019-03-17,1112
2019-03-24,1176
2019-03-31,1430
2019-04-07,1654
2019-04-14,1779
2019-04-21,2413
2019-04-28,2909
2019-05-05,3160
2019-05-12,3615
2019-05-19,3627
2019-05-26,3307
2019-06-02,2757
2019-06-09,2176
2019-06-16,1710
2019-06-23,1783
2019-06-30,1820
2019-07-07,1708
2019-07-14,1482
2019-07-21,1124
2019-07-28,1099
2019-08-04,1241
2019-08-11,1221
2019-08-18,1272
2019-08-25,1087
2019-09-01,1063
2019-09-08,1096
2019-09-15,959
2019-09-22,880
2019-09-29,987
2019-10-06,811
2019-10-13,742
2019-10-20,652
2019-10-27,613
2019-11-03,540
2019-11-10,517
2019-11-17,465
2019-11-24,420
2019-12-01,412
2019-12-08,374
2019-12-15,319
2019-12-22,176
2019-12-29,183
2020-01-05,418
2020-01-12,395
2020-01-19,423
2020-01-26,477
2020-02-02,512
2020-02-09,590
2020-02-16,515
2020-02-23,563
2020-03-01,682
2020-03-08,816
2020-03-15,515
2020-03-22,340
2020-03-29,529
2020-04-05,568
2020-04-12,924
2020-04-19,1120
2020-04-26,1117
2020-05-03,1236
2020-05-10,1547
2020-05-17,1467
2020-05-24,1290
2020-05-31,1322
2020-06-07,1194
2020-06-14,1201
2020-06-21,1169
2020-06-28,1353
2020-07-05,1271
2020-07-12,1095
2020-07-19,1028
2020-07-26,934
2020-08-02,799
2020-08-09,805
2020-08-16,749
2020-08-23,658
2020-08-30,600
2020-09-06,544
2020-09-13,563
2020-09-20,579
2020-09-27,444
2020-10-04,441
2020-10-11,391
2020-10-18,467
2020-10-25,379
2020-11-01,400
2020-11-08,341
2020-11-15,326
2020-11-22,268
2020-11-29,273
2020-12-06,293
2020-12-13,234
2020-12-20,196
2020-12-27,115
2021-01-03,291
2021-01-10,258
2021-01-17,317
2021-01-24,319
2021-01-31,437
2021-02-07,461
2021-02-14,527
2021-02-21,503
2021-02-28,691
2021-03-07,715
2021-03-14,642
2021-03-21,581
2021-03-28,738
2021-04-04,925
2021-04-11,1040
2021-04-18,1240
2021-04-25,1631
2021-05-02,2066
2021-05-09,2626
