"ew_start","sum_of_cases"
2017-12-31,609
2018-01-07,611
2018-01-14,711
2018-01-21,696
2018-01-28,681
2018-02-04,554
2018-02-11,493
2018-02-18,463
2018-02-25,467
2018-03-04,550
2018-03-11,443
2018-03-18,440
2018-03-25,377
2018-04-01,539
2018-04-04,546
2018-04-15,426
2018-04-22,481
2018-04-29,390
2018-05-06,355
2018-05-13,265
2018-05-20,195
2018-05-27,153
2018-06-03,139
2018-06-10,170
2018-06-17,226
2018-06-24,240
2018-07-01,204
2018-07-08,189
2018-07-15,191
2018-07-22,164
2018-07-29,151
2018-08-05,122
2018-08-12,135
2018-08-19,147
2018-08-26,163
2018-09-02,142
2018-09-09,188
2018-09-16,221
2018-09-23,233
2018-09-30,269
2018-10-07,224
2018-10-14,304
2018-10-21,295
2018-10-28,316
2018-11-04,330
2018-11-11,327
2018-11-18,381
2018-11-25,445
2018-12-02,474
2018-12-09,445
2018-12-16,344
2018-12-23,353
2018-12-30,1240
2019-01-06,637
2019-01-13,662
2019-01-20,884
2019-01-27,978
2019-02-03,1242
2019-02-10,1427
2019-02-17,1594
2019-02-24,1706
2019-03-03,1906
2019-03-10,2557
2019-03-17,3433
2019-03-24,3803
2019-03-31,4227
2019-04-07,4823
2019-04-14,5453
2019-04-21,5803
2019-04-28,6356
2019-05-05,6923
2019-05-12,6531
2019-05-19,5163
2019-05-26,4189
2019-06-02,3338
2019-06-09,3212
2019-06-16,2604
2019-06-23,2356
2019-06-30,1431
2019-07-07,1128
2019-07-14,825
2019-07-21,825
2019-07-28,718
2019-08-04,666
2019-08-11,601
2019-08-18,599
2019-08-25,594
2019-09-01,564
2019-09-08,689
2019-09-15,635
2019-09-22,647
2019-09-29,746
2019-10-06,741
2019-10-13,852
2019-10-20,941
2019-10-27,1014
2019-11-03,1187
2019-11-10,1299
2019-11-17,1681
2019-11-24,1902
2019-12-01,2315
2019-12-08,2682
2019-12-15,2848
2019-12-22,2294
2019-12-29,3042
2020-01-05,6674
2020-01-12,9246
2020-01-19,13197
2020-01-26,15153
2020-02-02,21531
2020-02-09,28811
2020-02-16,25268
2020-02-23,26408
2020-03-01,29338
2020-03-08,26390
2020-03-15,19262
2020-03-22,17542
2020-03-29,17307
2020-04-05,15059
2020-04-12,12400
2020-04-19,10201
2020-04-26,8619
2020-05-03,7722
2020-05-10,5516
2020-05-17,3788
2020-05-24,2551
2020-05-31,1860
2020-06-07,1739
2020-06-14,2982
2020-06-21,2417
2020-06-28,1522
2020-07-05,1109
2020-07-12,835
2020-07-19,820
2020-07-26,686
2020-08-02,689
2020-08-09,603
2020-08-16,407
2020-08-23,574
2020-08-30,651
2020-09-06,750
2020-09-13,771
2020-09-20,795
2020-09-27,868
2020-10-04,857
2020-10-11,851
2020-10-18,995
2020-10-25,855
2020-11-01,1039
2020-11-08,1123
2020-11-15,1335
2020-11-22,1383
2020-11-29,1299
2020-12-06,1381
2020-12-13,1199
2020-12-20,1060
2020-12-27,873
2021-01-03,1790
2021-01-10,1824
2021-01-17,1901
2021-01-24,2033
2021-01-31,2464
2021-02-07,2340
2021-02-14,2936
2021-02-21,3037
2021-02-28,3007
2021-03-07,3185
2021-03-14,3530
2021-03-21,3517
2021-03-28,3975
2021-04-04,4866
2021-04-11,4516
2021-04-18,4541
2021-04-25,4215
2021-05-02,3495
2021-05-09,3075
2021-05-16,2439
2021-05-23,1818
2021-05-30,1444
2021-06-06,1183
2021-06-13,932
2021-06-20,772
2021-06-27,499
2021-07-04,639
2021-07-11,601
2021-07-18,481
2021-07-25,395
2021-08-01,564
2021-08-08,621
2021-08-15,740
2021-08-22,609
2021-08-29,654
2021-09-05,677
2021-09-12,685
2021-09-19,767
2021-09-26,632
2021-10-03,520
2021-10-10,705
2021-10-17,721
2021-10-24,609
2021-10-31,668
2021-11-07,639
2021-11-14,681
2021-11-21,732
2021-11-28,678
2021-12-05,652
2021-12-12,594
2021-12-19,515
2021-12-26,436
2022-01-02,1279
2022-01-09,1310
2022-01-16,1428
2022-01-23,1214
2022-01-30,1259
2022-02-06,1505
2022-02-13,1949
2022-02-20,2656
2022-02-27,4821
2022-03-06,7794
2022-03-13,10336
2022-03-20,14521
2022-03-27,16931
2022-04-03,18501
2022-04-10,20755
2022-04-17,22702
2022-04-24,23659
2022-05-01,25173
2022-05-08,20131
2022-05-15,13186
2022-05-22,9778
2022-05-29,7347
2022-06-05,5560
2022-06-12,4261
2022-06-19,4174
2022-06-26,3438
2022-07-03,3172
2022-07-10,2577
2022-07-17,2313
2022-07-24,2120
2022-07-31,1991
2022-08-07,1593
2022-08-14,1462
2022-08-21,1542
2022-08-28,1283
2022-09-04,1230
2022-09-11,1103
2022-09-18,1086
2022-09-25,1162
2022-10-02,1238
2022-10-09,1249
2022-10-16,1610
2022-10-23,1717
2022-10-30,1388
2022-11-06,1747
2022-11-13,1985
2022-11-20,2238
2022-11-27,2139
2022-12-04,2082
2022-12-11,1928
2022-12-18,1429
2022-12-25,1509
2023-01-01,1818
2023-01-08,1865
2023-01-15,2104
2023-01-22,2574
2023-01-29,2881
2023-02-05,4123
2023-02-12,4934
2023-02-19,5469
2023-02-26,8233
2023-03-05,11103
2023-03-12,14230
2023-03-19,20341
2023-03-26,23661
2023-04-02,24180
2023-04-09,30135
2023-04-16,26633
2023-04-23,22461
2023-04-30,24011
2023-05-07,21951
2023-05-14,17724
2023-05-21,12654
2023-05-28,9045
2023-06-04,6549
2023-06-11,4321
2023-06-18,3268
2023-06-25,3043
2023-07-02,2449
2023-07-09,1720
2023-07-16,1444
2023-07-23,1400
2023-07-30,1474
2023-08-06,1362
2023-08-13,1444
2023-08-20,1620
2023-08-27,1408
2023-09-03,1311
2023-09-10,1665
2023-09-17,1922
2023-09-24,1937
2023-10-01,2064
2023-10-08,1887
2023-10-15,2361
2023-10-22,2035
2023-10-29,1952
2023-11-05,2810
2023-11-12,2540
2023-11-19,3000
2023-11-26,3025
2023-12-03,3483
2023-12-10,4081
2023-12-17,2969
2023-12-24,3369
2023-12-31,8384
2024-01-07,10550
2024-01-14,13668
2024-01-21,16297
2024-01-28,16696
2024-02-04,15372
2024-02-11,6941
