"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,408,408,408,408
2018-01-07,423,423,423,423
2018-01-14,676,676,676,676
2018-01-21,588,588,588,588
2018-01-28,580,580,580,580
2018-02-04,542,542,542,542
2018-02-11,599,599,599,599
2018-02-18,820,820,820,820
2018-02-25,839,839,839,839
2018-03-04,1064,1064,1064,1064
2018-03-11,1134,1134,1134,1134
2018-03-18,1086,1086,1086,1086
2018-03-25,1037,1037,1037,1037
2018-04-01,1340,1340,1340,1340
2018-04-04,1302,1302,1302,1302
2018-04-15,1027,1027,1027,1027
2018-04-22,838,838,838,838
2018-04-29,1017,1017,1017,1017
2018-05-06,840,840,840,840
2018-05-13,771,771,771,771
2018-05-20,540,540,540,540
2018-05-27,437,437,437,437
2018-06-03,404,404,404,404
2018-06-10,411,411,411,411
2018-06-17,332,332,332,332
2018-06-24,347,347,347,347
2018-07-01,441,441,441,441
2018-07-08,337,337,337,337
2018-07-15,332,332,332,332
2018-07-22,285,285,285,285
2018-07-29,194,194,194,194
2018-08-05,236,236,236,236
2018-08-12,168,168,168,168
2018-08-19,171,171,171,171
2018-08-26,158,158,158,158
2018-09-02,105,105,105,105
2018-09-09,127,127,127,127
2018-09-16,132,132,132,132
2018-09-23,120,120,120,120
2018-09-30,161,161,161,161
2018-10-07,127,127,127,127
2018-10-14,164,164,164,164
2018-10-21,147,147,147,147
2018-10-28,178,178,178,178
2018-11-04,185,185,185,185
2018-11-11,170,170,170,170
2018-11-18,241,241,241,241
2018-11-25,262,262,262,262
2018-12-02,318,318,318,318
2018-12-09,339,339,339,339
2018-12-16,311,311,311,311
2018-12-23,332,332,332,332
2018-12-30,465,465,465,465
2019-01-06,521,521,521,521
2019-01-13,549,549,549,549
2019-01-20,601,601,601,601
2019-01-27,585,585,585,585
2019-02-03,583,583,583,583
2019-02-10,549,549,549,549
2019-02-17,563,563,563,563
2019-02-24,629,629,629,629
2019-03-03,852,852,852,852
2019-03-10,1127,1127,1127,1127
2019-03-17,1579,1579,1579,1579
2019-03-24,1862,1862,1862,1862
2019-03-31,2501,2501,2501,2501
2019-04-07,2484,2484,2484,2484
2019-04-14,2846,2846,2846,2846
2019-04-21,3123,3123,3123,3123
2019-04-28,3514,3514,3514,3514
2019-05-05,3852,3852,3852,3852
2019-05-12,3413,3413,3413,3413
2019-05-19,3081,3081,3081,3081
2019-05-26,2465,2465,2465,2465
2019-06-02,1823,1823,1823,1823
2019-06-09,1528,1528,1528,1528
2019-06-16,1278,1278,1278,1278
2019-06-23,1073,1073,1073,1073
2019-06-30,1048,1048,1048,1048
2019-07-07,613,613,613,613
2019-07-14,517,517,517,517
2019-07-21,362,362,362,362
2019-07-28,345,345,345,345
2019-08-04,314,314,314,314
2019-08-11,304,304,304,304
2019-08-18,209,209,209,209
2019-08-25,192,192,192,192
2019-09-01,230,230,230,230
2019-09-08,186,186,186,186
2019-09-15,182,182,182,182
2019-09-22,194,194,194,194
2019-09-29,173,173,173,173
2019-10-06,175,175,175,175
2019-10-13,188,188,188,188
2019-10-20,176,176,176,176
2019-10-27,182,182,182,182
2019-11-03,187,187,187,187
2019-11-10,198,198,198,198
2019-11-17,159,159,159,159
2019-11-24,204,204,204,204
2019-12-01,202,202,202,202
2019-12-08,262,262,262,262
2019-12-15,250,250,250,250
2019-12-22,194,194,194,194
2019-12-29,250,250,250,250
2020-01-05,398,398,398,398
2020-01-12,452,452,452,452
2020-01-19,417,417,417,417
2020-01-26,424,424,424,424
2020-02-02,400,400,400,400
2020-02-09,457,457,457,457
2020-02-16,463,463,463,463
2020-02-23,399,399,399,399
2020-03-01,423,423,423,423
2020-03-08,402,402,402,402
2020-03-15,243,243,243,243
2020-03-22,189,189,189,189
2020-03-29,203,203,203,203
2020-04-05,186,186,186,186
2020-04-12,200,200,200,200
2020-04-19,172,172,172,172
2020-04-26,160,160,160,160
2020-05-03,137,137,137,137
2020-05-10,128,128,128,128
2020-05-17,156,156,156,156
2020-05-24,101,101,101,101
2020-05-31,77,77,77,77
2020-06-07,88,88,88,88
2020-06-14,98,98,98,98
2020-06-21,93,93,93,93
2020-06-28,82,82,82,82
2020-07-05,84,84,84,84
2020-07-12,82,82,82,82
2020-07-19,89,89,89,89
2020-07-26,65,65,65,65
2020-08-02,43,43,43,43
2020-08-09,39,39,39,39
2020-08-16,49,49,49,49
2020-08-23,40,40,40,40
2020-08-30,74,74,74,74
2020-09-06,59,59,59,59
2020-09-13,59,59,59,59
2020-09-20,58,58,58,58
2020-09-27,54,54,54,54
2020-10-04,49,49,49,49
2020-10-11,58,58,58,58
2020-10-18,72,72,72,72
2020-10-25,51,51,51,51
2020-11-01,52,52,52,52
2020-11-08,72,72,72,72
2020-11-15,70,70,70,70
2020-11-22,55,55,55,55
2020-11-29,75,75,75,75
2020-12-06,59,59,59,59
2020-12-13,39,39,39,39
2020-12-20,34,34,34,34
2020-12-27,28,28,28,28
2021-01-03,56,56,56,56
2021-01-10,56,56,56,56
2021-01-17,67,67,67,67
2021-01-24,73,73,73,73
2021-01-31,58,58,58,58
2021-02-07,68,68,68,68
2021-02-14,65,65,65,65
2021-02-21,90,90,90,90
2021-02-28,88,88,88,88
2021-03-07,152,152,152,152
2021-03-14,224,224,224,224
2021-03-21,200,200,200,200
2021-03-28,256,256,256,256
2021-04-04,321,321,321,321
2021-04-11,238,238,238,238
2021-04-18,231,231,231,231
2021-04-25,232,232,232,232
2021-05-02,176,176,176,176
2021-05-09,175,175,175,175
2021-05-16,202,202,202,202
2021-05-23,157,157,157,157
2021-05-30,181,181,181,181
2021-06-06,168,168,168,168
2021-06-13,138,138,138,138
2021-06-20,128,128,128,128
2021-06-27,91,91,91,91
2021-07-04,93,93,93,93
2021-07-11,105,105,105,105
2021-07-18,90,90,90,90
2021-07-25,71,71,71,71
2021-08-01,67,67,67,67
2021-08-08,69,69,69,69
2021-08-15,77,77,77,77
2021-08-22,90,90,90,90
2021-08-29,62,62,62,62
2021-09-05,67,67,67,67
2021-09-12,75,75,75,75
2021-09-19,48,48,48,48
2021-09-26,61,61,61,61
2021-10-03,39,39,39,39
2021-10-10,42,42,42,42
2021-10-17,40,40,40,40
2021-10-24,24,24,24,24
2021-10-31,37,37,37,37
2021-11-07,22,22,22,22
2021-11-14,51,51,51,51
2021-11-21,76,76,76,76
2021-11-28,68,68,68,68
2021-12-05,71,71,71,71
2021-12-12,37,37,37,37
2021-12-19,49,49,49,49
2021-12-26,27,27,27,27
2022-01-02,65,65,65,65
2022-01-09,80,80,80,80
2022-01-16,69,69,69,69
2022-01-23,88,88,88,88
2022-01-30,108,108,108,108
