"ew_start","sum_of_cases"
2017-12-31,164
2018-01-07,138
2018-01-14,152
2018-01-21,131
2018-01-28,171
2018-02-04,225
2018-02-11,262
2018-02-18,331
2018-02-25,487
2018-03-04,565
2018-03-11,761
2018-03-18,630
2018-03-25,671
2018-04-01,913
2018-04-04,1052
2018-04-15,1296
2018-04-22,1352
2018-04-29,1410
2018-05-06,1170
2018-05-13,1179
2018-05-20,1136
2018-05-27,926
2018-06-03,1064
2018-06-10,1172
2018-06-17,1081
2018-06-24,835
2018-07-01,919
2018-07-08,873
2018-07-15,1054
2018-07-22,776
2018-07-29,730
2018-08-05,722
2018-08-12,598
2018-08-19,587
2018-08-26,575
2018-09-02,417
2018-09-09,404
2018-09-16,323
2018-09-23,260
2018-09-30,268
2018-10-07,253
2018-10-14,231
2018-10-21,184
2018-10-28,187
2018-11-04,245
2018-11-11,216
2018-11-18,174
2018-11-25,253
2018-12-02,163
2018-12-09,199
2018-12-16,162
2018-12-23,150
2018-12-30,204
2019-01-06,201
2019-01-13,211
2019-01-20,191
2019-01-27,200
2019-02-03,201
2019-02-10,274
2019-02-17,258
2019-02-24,280
2019-03-03,327
2019-03-10,456
2019-03-17,492
2019-03-24,616
2019-03-31,1010
2019-04-07,1304
2019-04-14,1470
2019-04-21,1395
2019-04-28,1812
2019-05-05,1716
2019-05-12,1819
2019-05-19,1981
2019-05-26,1982
2019-06-02,1935
2019-06-09,1742
2019-06-16,1676
2019-06-23,1424
2019-06-30,1466
2019-07-07,1464
2019-07-14,1312
2019-07-21,1254
2019-07-28,1095
2019-08-04,1053
2019-08-11,840
2019-08-18,731
2019-08-25,630
2019-09-01,670
2019-09-08,515
2019-09-15,481
2019-09-22,385
2019-09-29,344
2019-10-06,401
2019-10-13,391
2019-10-20,238
2019-10-27,167
2019-11-03,192
2019-11-10,162
2019-11-17,161
2019-11-24,179
2019-12-01,130
2019-12-08,120
2019-12-15,119
2019-12-22,134
2019-12-29,117
2020-01-05,193
2020-01-12,259
2020-01-19,317
2020-01-26,409
2020-02-02,486
2020-02-09,390
2020-02-16,355
2020-02-23,433
2020-03-01,529
2020-03-08,505
2020-03-15,373
2020-03-22,138
2020-03-29,161
2020-04-05,202
2020-04-12,241
2020-04-19,286
2020-04-26,312
2020-05-03,357
2020-05-10,395
2020-05-17,368
2020-05-24,401
2020-05-31,406
2020-06-07,386
2020-06-14,478
2020-06-21,414
2020-06-28,438
2020-07-05,457
2020-07-12,349
2020-07-19,248
2020-07-26,259
2020-08-02,226
2020-08-09,211
2020-08-16,183
2020-08-23,102
2020-08-30,123
2020-09-06,119
2020-09-13,108
2020-09-20,87
2020-09-27,90
2020-10-04,80
2020-10-11,87
2020-10-18,69
2020-10-25,50
2020-11-01,73
2020-11-08,76
2020-11-15,98
2020-11-22,90
2020-11-29,79
2020-12-06,62
2020-12-13,56
2020-12-20,73
2020-12-27,68
2021-01-03,91
2021-01-10,89
2021-01-17,92
2021-01-24,80
2021-01-31,116
2021-02-07,110
2021-02-14,91
2021-02-21,77
2021-02-28,83
2021-03-07,108
2021-03-14,83
2021-03-21,73
2021-03-28,70
2021-04-04,118
2021-04-11,140
2021-04-18,158
2021-04-25,151
2021-05-02,184
2021-05-09,201
2021-05-16,268
2021-05-23,215
2021-05-30,293
2021-06-06,263
2021-06-13,201
2021-06-20,214
2021-06-27,215
2021-07-04,215
2021-07-11,174
2021-07-18,189
2021-07-25,168
2021-08-01,203
2021-08-08,223
2021-08-15,186
2021-08-22,139
2021-08-29,109
2021-09-05,142
2021-09-12,128
2021-09-19,112
2021-09-26,111
2021-10-03,94
2021-10-10,104
2021-10-17,98
2021-10-24,101
2021-10-31,115
2021-11-07,109
