"ew_start","sum_of_cases"
2017-12-31,88
2018-01-07,95
2018-01-14,92
2018-01-21,72
2018-01-28,80
2018-02-04,72
2018-02-11,71
2018-02-18,59
2018-02-25,58
2018-03-04,54
2018-03-11,42
2018-03-18,49
2018-03-25,41
2018-04-01,76
2018-04-04,71
2018-04-15,64
2018-04-22,44
2018-04-29,78
2018-05-06,52
2018-05-13,35
2018-05-20,40
2018-05-27,36
2018-06-03,22
2018-06-10,23
2018-06-17,18
2018-06-24,18
2018-07-01,23
2018-07-08,28
2018-07-15,32
2018-07-22,27
2018-07-29,23
2018-08-05,20
2018-08-12,17
2018-08-19,16
2018-08-26,19
2018-09-02,13
2018-09-09,19
2018-09-16,13
2018-09-23,15
2018-09-30,14
2018-10-07,14
2018-10-14,29
2018-10-21,14
2018-10-28,23
2018-11-04,27
2018-11-11,18
2018-11-18,19
2018-11-25,20
2018-12-02,25
2018-12-09,32
2018-12-16,22
2018-12-23,12
2018-12-30,39
2019-01-06,18
2019-01-13,33
2019-01-20,34
2019-01-27,29
2019-02-03,26
2019-02-10,36
2019-02-17,35
2019-02-24,37
2019-03-03,31
2019-03-10,69
2019-03-17,65
2019-03-24,56
2019-03-31,53
2019-04-07,50
2019-04-14,67
2019-04-21,65
2019-04-28,84
2019-05-05,83
2019-05-12,48
2019-05-19,65
2019-05-26,30
2019-06-02,55
2019-06-09,51
2019-06-16,49
2019-06-23,43
2019-06-30,58
2019-07-07,54
2019-07-14,54
2019-07-21,60
2019-07-28,55
2019-08-04,32
2019-08-11,23
2019-08-18,33
2019-08-25,23
2019-09-01,21
2019-09-08,27
2019-09-15,16
2019-09-22,28
2019-09-29,21
2019-10-06,24
2019-10-13,34
2019-10-20,40
2019-10-27,31
2019-11-03,64
2019-11-10,58
2019-11-17,71
2019-11-24,98
2019-12-01,100
2019-12-08,118
2019-12-15,55
2019-12-22,48
2019-12-29,66
2020-01-05,103
2020-01-12,158
2020-01-19,198
2020-01-26,219
2020-02-02,271
2020-02-09,257
2020-02-16,236
2020-02-23,262
2020-03-01,293
2020-03-08,340
2020-03-15,262
2020-03-22,239
2020-03-29,212
2020-04-05,228
2020-04-12,203
2020-04-19,169
2020-04-26,185
2020-05-03,215
2020-05-10,197
2020-05-17,175
2020-05-24,139
2020-05-31,137
2020-06-07,134
2020-06-14,141
2020-06-21,129
2020-06-28,139
2020-07-05,121
2020-07-12,91
2020-07-19,93
2020-07-26,56
2020-08-02,63
2020-08-09,51
2020-08-16,37
2020-08-23,31
2020-08-30,36
2020-09-06,20
2020-09-13,30
2020-09-20,38
2020-09-27,40
2020-10-04,17
2020-10-11,25
2020-10-18,22
2020-10-25,30
2020-11-01,37
2020-11-08,25
2020-11-15,42
2020-11-22,54
2020-11-29,80
2020-12-06,88
2020-12-13,98
2020-12-20,88
2020-12-27,54
2021-01-03,136
2021-01-10,126
2021-01-17,138
2021-01-24,111
2021-01-31,137
2021-02-07,147
2021-02-14,161
2021-02-21,94
2021-02-28,154
2021-03-07,98
2021-03-14,113
2021-03-21,102
2021-03-28,109
2021-04-04,100
2021-04-11,51
2021-04-18,74
2021-04-25,65
2021-05-02,66
2021-05-09,84
2021-05-16,75
2021-05-23,49
2021-05-30,60
2021-06-06,62
2021-06-13,77
2021-06-20,47
2021-06-27,49
2021-07-04,36
2021-07-11,31
2021-07-18,28
2021-07-25,31
2021-08-01,37
2021-08-08,28
2021-08-15,33
2021-08-22,23
2021-08-29,16
2021-09-05,12
2021-09-12,18
2021-09-19,14
2021-09-26,20
2021-10-03,15
2021-10-10,14
2021-10-17,22
2021-10-24,24
2021-10-31,51
2021-11-07,60
2021-11-14,114
2021-11-21,117
2021-11-28,148
2021-12-05,143
2021-12-12,100
2021-12-19,39
2021-12-26,4
2022-01-02,305
2022-01-09,366
2022-01-16,422
2022-01-23,357
2022-01-30,461
2022-02-06,460
2022-02-13,547
2022-02-20,527
2022-02-27,680
2022-03-06,609
2022-03-13,718
2022-03-20,728
2022-03-27,769
2022-04-03,689
2022-04-10,758
2022-04-17,753
2022-04-24,712
2022-05-01,708
2022-05-08,608
2022-05-15,627
2022-05-22,561
2022-05-29,532
2022-06-05,484
2022-06-12,432
2022-06-19,461
2022-06-26,408
2022-07-03,375
2022-07-10,356
2022-07-17,286
2022-07-24,227
2022-07-31,233
2022-08-07,219
2022-08-14,205
2022-08-21,149
2022-08-28,149
2022-09-04,177
2022-09-11,173
2022-09-18,194
2022-09-25,140
2022-10-02,158
2022-10-09,224
2022-10-16,240
2022-10-23,206
2022-10-30,251
2022-11-06,260
2022-11-13,353
2022-11-20,382
2022-11-27,317
2022-12-04,117
2022-12-11,32
2022-12-18,67
2022-12-25,408
2023-01-01,1213
2023-01-08,1292
2023-01-15,1258
2023-01-22,1202
2023-01-29,1060
2023-02-05,1148
2023-02-12,969
2023-02-19,969
2023-02-26,1144
2023-03-05,1116
2023-03-12,909
2023-03-19,744
2023-03-26,657
2023-04-02,544
2023-04-09,603
2023-04-16,499
2023-04-23,360
2023-04-30,379
2023-05-07,305
2023-05-14,255
2023-05-21,203
2023-05-28,169
2023-06-04,159
2023-06-11,168
2023-06-18,188
2023-06-25,109
2023-07-02,107
2023-07-09,119
2023-07-16,94
2023-07-23,79
2023-07-30,78
2023-08-06,104
2023-08-13,105
2023-08-20,78
2023-08-27,53
2023-09-03,52
2023-09-10,70
2023-09-17,82
2023-09-24,69
2023-10-01,79
2023-10-08,87
2023-10-15,133
2023-10-22,118
2023-10-29,89
2023-11-05,102
2023-11-12,53
2023-11-19,55
2023-11-26,73
2023-12-03,68
2023-12-10,47
2023-12-17,22
2023-12-24,46
2023-12-31,218
2024-01-07,260
2024-01-14,315
2024-01-21,324
2024-01-28,405
2024-02-04,184
2024-02-11,53
