"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,88,88,88,88
2018-01-07,95,95,95,95
2018-01-14,92,92,92,92
2018-01-21,72,72,72,72
2018-01-28,80,80,80,80
2018-02-04,72,72,72,72
2018-02-11,71,71,71,71
2018-02-18,59,59,59,59
2018-02-25,58,58,58,58
2018-03-04,54,54,54,54
2018-03-11,42,42,42,42
2018-03-18,49,49,49,49
2018-03-25,41,41,41,41
2018-04-01,76,76,76,76
2018-04-04,71,71,71,71
2018-04-15,64,64,64,64
2018-04-22,44,44,44,44
2018-04-29,78,78,78,78
2018-05-06,52,52,52,52
2018-05-13,35,35,35,35
2018-05-20,40,40,40,40
2018-05-27,36,36,36,36
2018-06-03,22,22,22,22
2018-06-10,23,23,23,23
2018-06-17,18,18,18,18
2018-06-24,18,18,18,18
2018-07-01,23,23,23,23
2018-07-08,28,28,28,28
2018-07-15,32,32,32,32
2018-07-22,27,27,27,27
2018-07-29,23,23,23,23
2018-08-05,20,20,20,20
2018-08-12,17,17,17,17
2018-08-19,16,16,16,16
2018-08-26,19,19,19,19
2018-09-02,13,13,13,13
2018-09-09,19,19,19,19
2018-09-16,13,13,13,13
2018-09-23,15,15,15,15
2018-09-30,14,14,14,14
2018-10-07,14,14,14,14
2018-10-14,29,29,29,29
2018-10-21,14,14,14,14
2018-10-28,23,23,23,23
2018-11-04,27,27,27,27
2018-11-11,18,18,18,18
2018-11-18,19,19,19,19
2018-11-25,20,20,20,20
2018-12-02,25,25,25,25
2018-12-09,32,32,32,32
2018-12-16,22,22,22,22
2018-12-23,12,12,12,12
2018-12-30,39,39,39,39
2019-01-06,18,18,18,18
2019-01-13,33,33,33,33
2019-01-20,34,34,34,34
2019-01-27,29,29,29,29
2019-02-03,26,26,26,26
2019-02-10,36,36,36,36
2019-02-17,35,35,35,35
2019-02-24,37,37,37,37
2019-03-03,31,31,31,31
2019-03-10,69,69,69,69
2019-03-17,65,65,65,65
2019-03-24,56,56,56,56
2019-03-31,53,53,53,53
2019-04-07,50,50,50,50
2019-04-14,67,67,67,67
2019-04-21,65,65,65,65
2019-04-28,84,84,84,84
2019-05-05,83,83,83,83
2019-05-12,48,48,48,48
2019-05-19,65,65,65,65
2019-05-26,30,30,30,30
2019-06-02,55,55,55,55
2019-06-09,51,51,51,51
2019-06-16,49,49,49,49
2019-06-23,43,43,43,43
2019-06-30,58,58,58,58
2019-07-07,54,54,54,54
2019-07-14,54,54,54,54
2019-07-21,60,60,60,60
2019-07-28,55,55,55,55
2019-08-04,32,32,32,32
2019-08-11,23,23,23,23
2019-08-18,33,33,33,33
2019-08-25,23,23,23,23
2019-09-01,21,21,21,21
2019-09-08,27,27,27,27
2019-09-15,16,16,16,16
2019-09-22,28,28,28,28
2019-09-29,21,21,21,21
2019-10-06,24,24,24,24
2019-10-13,34,34,34,34
2019-10-20,40,40,40,40
2019-10-27,31,31,31,31
2019-11-03,64,64,64,64
2019-11-10,58,58,58,58
2019-11-17,71,71,71,71
2019-11-24,98,98,98,98
2019-12-01,100,100,100,100
2019-12-08,118,118,118,118
2019-12-15,55,55,55,55
2019-12-22,48,48,48,48
2019-12-29,66,66,66,66
2020-01-05,103,103,103,103
2020-01-12,158,158,158,158
2020-01-19,198,198,198,198
2020-01-26,219,219,219,219
2020-02-02,271,271,271,271
2020-02-09,257,257,257,257
2020-02-16,236,236,236,236
2020-02-23,262,262,262,262
2020-03-01,293,293,293,293
2020-03-08,340,340,340,340
2020-03-15,262,262,262,262
2020-03-22,239,239,239,239
2020-03-29,212,212,212,212
2020-04-05,228,228,228,228
2020-04-12,203,203,203,203
2020-04-19,169,169,169,169
2020-04-26,185,185,185,185
2020-05-03,215,215,215,215
2020-05-10,197,197,197,197
2020-05-17,175,175,175,175
2020-05-24,139,139,139,139
2020-05-31,137,137,137,137
2020-06-07,134,134,134,134
2020-06-14,141,141,141,141
2020-06-21,129,129,129,129
2020-06-28,139,139,139,139
2020-07-05,121,121,121,121
2020-07-12,91,91,91,91
2020-07-19,93,93,93,93
2020-07-26,56,56,56,56
2020-08-02,63,63,63,63
2020-08-09,51,51,51,51
2020-08-16,37,37,37,37
2020-08-23,31,31,31,31
2020-08-30,36,36,36,36
2020-09-06,20,20,20,20
2020-09-13,30,30,30,30
