"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,201801,37,37,37,37
2018-01-07,201802,45,45,45,45
2018-01-14,201803,54,54,54,54
2018-01-21,201804,31,31,31,31
2018-01-28,201805,30,30,30,30
2018-02-04,201806,25,25,25,25
2018-02-11,201807,33,33,33,33
2018-02-18,201808,29,29,29,29
2018-02-25,201809,27,27,27,27
2018-03-04,201810,25,25,25,25
2018-03-11,201811,26,26,26,26
2018-03-18,201812,16,16,16,16
2018-03-25,201813,18,18,18,18
2018-04-01,201814,16,16,16,16
2018-04-04,201815,23,23,23,23
2018-04-15,201816,19,19,19,19
2018-04-22,201817,30,30,30,30
2018-04-29,201818,23,23,23,23
2018-05-06,201819,17,17,17,17
2018-05-13,201820,7,7,7,7
2018-05-20,201821,11,11,11,11
2018-05-27,201822,10,10,10,10
2018-06-03,201823,12,12,12,12
2018-06-10,201824,7,7,7,7
2018-06-17,201825,6,6,6,6
2018-06-24,201826,5,5,5,5
2018-07-01,201827,5,5,5,5
2018-07-08,201828,6,6,6,6
2018-07-15,201829,10,10,10,10
2018-07-22,201830,6,6,6,6
2018-07-29,201831,12,12,12,12
2018-08-05,201832,6,6,6,6
2018-08-12,201833,7,7,7,7
2018-08-19,201834,5,5,5,5
2018-08-26,201835,4,4,4,4
2018-09-02,201836,3,3,3,3
2018-09-09,201837,6,6,6,6
2018-09-16,201838,3,3,3,3
2018-09-23,201839,7,7,7,7
2018-09-30,201840,9,9,9,9
2018-10-07,201841,10,10,10,10
2018-10-14,201842,9,9,9,9
2018-10-21,201843,12,12,12,12
2018-10-28,201844,14,14,14,14
2018-11-04,201845,9,9,9,9
2018-11-11,201846,11,11,11,11
2018-11-18,201847,4,4,4,4
2018-11-25,201848,12,12,12,12
2018-12-02,201849,14,14,14,14
2018-12-09,201850,8,8,8,8
2018-12-16,201851,9,9,9,9
2018-12-23,201852,10,10,10,10
2018-12-30,201901,40,40,40,40
2019-01-06,201902,34,34,34,34
2019-01-13,201903,31,31,31,31
2019-01-20,201904,23,23,23,23
2019-01-27,201905,19,19,19,19
2019-02-03,201906,30,30,30,30
2019-02-10,201907,46,46,46,46
2019-02-17,201908,33,33,33,33
2019-02-24,201909,36,36,36,36
2019-03-03,201910,54,54,54,54
2019-03-10,201911,61,61,61,61
2019-03-17,201912,82,82,82,82
2019-03-24,201913,108,108,108,108
2019-03-31,201914,137,137,137,137
2019-04-07,201915,167,167,167,167
2019-04-14,201916,194,194,194,194
2019-04-21,201917,317,317,317,317
2019-04-28,201918,339,339,339,339
2019-05-05,201919,280,280,280,280
2019-05-12,201920,376,376,376,376
2019-05-19,201921,291,291,291,291
2019-05-26,201922,203,203,203,203
2019-06-02,201923,155,155,155,155
2019-06-09,201924,180,180,180,180
2019-06-16,201925,125,125,125,125
2019-06-23,201926,97,97,97,97
2019-06-30,201927,55,55,55,55
2019-07-07,201928,37,37,37,37
2019-07-14,201929,37,37,37,37
2019-07-21,201930,38,38,38,38
2019-07-28,201931,46,46,46,46
2019-08-04,201932,29,29,29,29
2019-08-11,201933,21,21,21,21
2019-08-18,201934,23,23,23,23
2019-08-25,201935,28,28,28,28
2019-09-01,201936,23,23,23,23
2019-09-08,201937,17,17,17,17
2019-09-15,201938,17,17,17,17
2019-09-22,201939,28,28,28,28
2019-09-29,201940,22,22,22,22
2019-10-06,201941,23,23,23,23
2019-10-13,201942,20,20,20,20
2019-10-20,201943,20,20,20,20
2019-10-27,201944,19,19,19,19
