"ew_start","sum_of_cases"
2017-12-31,62
2018-01-07,53
2018-01-14,78
2018-01-21,74
2018-01-28,88
2018-02-04,49
2018-02-11,45
2018-02-18,50
2018-02-25,48
2018-03-04,37
2018-03-11,38
2018-03-18,37
2018-03-25,38
2018-04-01,54
2018-04-04,69
2018-04-15,56
2018-04-22,63
2018-04-29,67
2018-05-06,47
2018-05-13,45
2018-05-20,39
2018-05-27,16
2018-06-03,24
2018-06-10,19
2018-06-17,18
2018-06-24,25
2018-07-01,11
2018-07-08,12
2018-07-15,21
2018-07-22,9
2018-07-29,16
2018-08-05,13
2018-08-12,13
2018-08-19,12
2018-08-26,14
2018-09-02,12
2018-09-09,16
2018-09-16,15
2018-09-23,23
2018-09-30,15
2018-10-07,15
2018-10-14,18
2018-10-21,29
2018-10-28,26
2018-11-04,44
2018-11-11,39
2018-11-18,42
2018-11-25,38
2018-12-02,33
2018-12-09,54
2018-12-16,35
2018-12-23,37
2018-12-30,63
2019-01-06,54
2019-01-13,55
2019-01-20,69
2019-01-27,74
2019-02-03,105
2019-02-10,106
2019-02-17,105
2019-02-24,127
2019-03-03,133
2019-03-10,194
2019-03-17,252
2019-03-24,313
2019-03-31,332
2019-04-07,327
2019-04-14,373
2019-04-21,378
2019-04-28,400
2019-05-05,425
2019-05-12,402
2019-05-19,411
2019-05-26,357
2019-06-02,284
2019-06-09,304
2019-06-16,185
2019-06-23,173
2019-06-30,85
2019-07-07,83
2019-07-14,76
2019-07-21,59
2019-07-28,59
2019-08-04,61
2019-08-11,53
2019-08-18,49
2019-08-25,39
2019-09-01,45
2019-09-08,59
2019-09-15,51
2019-09-22,50
2019-09-29,48
2019-10-06,57
2019-10-13,57
2019-10-20,51
2019-10-27,57
2019-11-03,50
2019-11-10,74
2019-11-17,59
2019-11-24,53
2019-12-01,64
2019-12-08,52
2019-12-15,59
2019-12-22,40
2019-12-29,54
2020-01-05,85
2020-01-12,105
2020-01-19,96
2020-01-26,102
2020-02-02,144
2020-02-09,230
2020-02-16,270
2020-02-23,285
2020-03-01,487
2020-03-08,547
2020-03-15,499
2020-03-22,682
2020-03-29,841
2020-04-05,1170
2020-04-12,1388
2020-04-19,1568
2020-04-26,1608
2020-05-03,1756
2020-05-10,1530
2020-05-17,1451
2020-05-24,1150
2020-05-31,888
2020-06-07,803
2020-06-14,943
2020-06-21,741
2020-06-28,456
2020-07-05,428
2020-07-12,335
2020-07-19,291
2020-07-26,153
2020-08-02,124
2020-08-09,124
2020-08-16,86
2020-08-23,98
2020-08-30,82
2020-09-06,92
2020-09-13,78
2020-09-20,77
2020-09-27,73
2020-10-04,59
2020-10-11,96
2020-10-18,90
2020-10-25,82
2020-11-01,101
2020-11-08,99
2020-11-15,129
2020-11-22,132
2020-11-29,144
2020-12-06,108
2020-12-13,86
2020-12-20,64
2020-12-27,66
2021-01-03,137
2021-01-10,164
2021-01-17,162
2021-01-24,176
2021-01-31,230
2021-02-07,244
2021-02-14,280
2021-02-21,319
2021-02-28,411
2021-03-07,600
2021-03-14,888
2021-03-21,1190
2021-03-28,1668
2021-04-04,1953
2021-04-11,2035
2021-04-18,2950
2021-04-25,2762
2021-05-02,2718
2021-05-09,2410
2021-05-16,1950
2021-05-23,1881
2021-05-30,1309
2021-06-06,1143
2021-06-13,813
2021-06-20,608
2021-06-27,451
2021-07-04,438
2021-07-11,329
2021-07-18,315
2021-07-25,239
2021-08-01,245
2021-08-08,218
2021-08-15,214
2021-08-22,193
2021-08-29,187
2021-09-05,160
2021-09-12,137
2021-09-19,170
2021-09-26,139
2021-10-03,107
2021-10-10,138
2021-10-17,135
2021-10-24,152
2021-10-31,166
2021-11-07,143
2021-11-14,166
2021-11-21,198
2021-11-28,199
2021-12-05,240
2021-12-12,225
2021-12-19,138
2021-12-26,117
2022-01-02,301
2022-01-09,289
2022-01-16,237
2022-01-23,205
2022-01-30,222
2022-02-06,410
2022-02-13,632
2022-02-20,896
2022-02-27,2317
2022-03-06,4157
2022-03-13,5407
2022-03-20,7941
2022-03-27,9092
2022-04-03,9912
2022-04-10,10587
2022-04-17,11860
2022-04-24,10844
2022-05-01,11451
2022-05-08,9972
2022-05-15,8605
2022-05-22,6663
2022-05-29,4821
2022-06-05,3389
2022-06-12,2495
2022-06-19,2407
2022-06-26,1781
2022-07-03,1551
2022-07-10,1234
2022-07-17,971
2022-07-24,726
2022-07-31,653
2022-08-07,483
2022-08-14,460
2022-08-21,441
2022-08-28,367
2022-09-04,387
2022-09-11,373
2022-09-18,326
2022-09-25,326
