"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,9,9,9,9
2018-01-07,5,5,5,5
2018-01-14,7,7,7,7
2018-01-21,7,7,7,7
2018-01-28,6,6,6,6
2018-02-04,6,6,6,6
2018-02-11,8,8,8,8
2018-02-18,10,10,10,10
2018-02-25,6,6,6,6
2018-03-04,2,2,2,2
2018-03-11,10,10,10,10
2018-03-18,8,8,8,8
2018-03-25,9,9,9,9
2018-04-01,6,6,6,6
2018-04-04,15,15,15,15
2018-04-15,12,12,12,12
2018-04-22,8,8,8,8
2018-04-29,17,17,17,17
2018-05-06,22,22,22,22
2018-05-13,20,20,20,20
2018-05-20,36,36,36,36
2018-05-27,19,19,19,19
2018-06-03,24,24,24,24
2018-06-10,9,9,9,9
2018-06-17,11,11,11,11
2018-06-24,5,5,5,5
2018-07-01,6,6,6,6
2018-07-08,10,10,10,10
2018-07-15,19,19,19,19
2018-07-22,4,4,4,4
2018-07-29,4,4,4,4
2018-08-05,9,9,9,9
2018-08-12,12,12,12,12
2018-08-19,12,12,12,12
2018-08-26,6,6,6,6
2018-09-02,8,8,8,8
2018-09-09,13,13,13,13
2018-09-16,7,7,7,7
2018-09-23,10,10,10,10
2018-09-30,17,17,17,17
2018-10-07,18,18,18,18
2018-10-14,6,6,6,6
2018-10-21,12,12,12,12
2018-10-28,8,8,8,8
2018-11-04,10,10,10,10
2018-11-11,12,12,12,12
2018-11-18,12,12,12,12
2018-11-25,7,7,7,7
2018-12-02,10,10,10,10
2018-12-09,5,5,5,5
2018-12-16,5,5,5,5
2018-12-23,7,7,7,7
2018-12-30,15,15,15,15
2019-01-06,14,14,14,14
2019-01-13,17,17,17,17
2019-01-20,14,14,14,14
2019-01-27,10,10,10,10
2019-02-03,18,18,18,18
2019-02-10,17,17,17,17
2019-02-17,11,11,11,11
2019-02-24,16,16,16,16
2019-03-03,40,40,40,40
2019-03-10,49,49,49,49
2019-03-17,36,36,36,36
2019-03-24,42,42,42,42
2019-03-31,76,76,76,76
2019-04-07,117,117,117,117
2019-04-14,80,80,80,80
2019-04-21,120,120,120,120
2019-04-28,207,207,207,207
2019-05-05,232,232,232,232
2019-05-12,302,302,302,302
2019-05-19,297,297,297,297
2019-05-26,348,348,348,348
2019-06-02,338,338,338,338
2019-06-09,430,430,430,430
2019-06-16,447,447,447,447
2019-06-23,658,658,658,658
2019-06-30,685,685,685,685
2019-07-07,673,673,673,673
2019-07-14,645,645,645,645
2019-07-21,726,726,726,726
2019-07-28,684,684,684,684
2019-08-04,504,504,504,504
2019-08-11,471,471,471,471
2019-08-18,436,436,436,436
2019-08-25,335,335,335,335
2019-09-01,339,339,339,339
2019-09-08,335,335,335,335
2019-09-15,281,281,281,281
2019-09-22,202,202,202,202
2019-09-29,201,201,201,201
2019-10-06,179,179,179,179
2019-10-13,147,147,147,147
2019-10-20,142,142,142,142
2019-10-27,149,149,149,149
2019-11-03,107,107,107,107
2019-11-10,88,88,88,88
2019-11-17,66,66,66,66
2019-11-24,44,44,44,44
2019-12-01,50,50,50,50
2019-12-08,44,44,44,44
2019-12-15,39,39,39,39
2019-12-22,24,24,24,24
2019-12-29,17,17,17,17
2020-01-05,38,38,38,38
2020-01-12,38,38,38,38
2020-01-19,37,37,37,37
2020-01-26,24,24,24,24
2020-02-02,38,38,38,38
2020-02-09,32,32,32,32
2020-02-16,31,31,31,31
2020-02-23,42,42,42,42
2020-03-01,56,56,56,56
2020-03-08,91,91,91,91
2020-03-15,43,43,43,43
2020-03-22,18,18,18,18
2020-03-29,31,31,31,31
2020-04-05,24,24,24,24
2020-04-12,40,40,40,40
2020-04-19,53,53,53,53
2020-04-26,63,63,63,63
2020-05-03,88,88,88,88
2020-05-10,95,95,95,95
2020-05-17,123,123,123,123
2020-05-24,170,170,170,170
2020-05-31,193,193,193,193
2020-06-07,233,233,233,233
2020-06-14,240,240,240,240
2020-06-21,236,236,236,236
2020-06-28,290,290,290,290
2020-07-05,274,274,274,274
2020-07-12,249,249,249,249
2020-07-19,253,253,253,253
2020-07-26,220,220,220,220
2020-08-02,218,218,218,218
2020-08-09,197,197,197,197
2020-08-16,176,176,176,176
2020-08-23,141,141,141,141
2020-08-30,135,135,135,135
2020-09-06,135,135,135,135
2020-09-13,133,133,133,133
2020-09-20,126,126,126,126
2020-09-27,118,118,118,118
2020-10-04,81,81,81,81
2020-10-11,73,73,73,73
2020-10-18,48,48,48,48
2020-10-25,38,38,38,38
2020-11-01,38,38,38,38
2020-11-08,33,33,33,33
2020-11-15,37,37,37,37
2020-11-22,27,27,27,27
2020-11-29,37,37,37,37
2020-12-06,34,34,34,34
2020-12-13,25,25,25,25
2020-12-20,22,22,22,22
2020-12-27,12,12,12,12
2021-01-03,28,28,28,28
2021-01-10,15,15,15,15
2021-01-17,28,28,28,28
2021-01-24,35,35,35,35
2021-01-31,37,37,37,37
2021-02-07,36,36,36,36
2021-02-14,44,44,44,44
2021-02-21,32,32,32,32
2021-02-28,53,53,53,53
2021-03-07,49,49,49,49
2021-03-14,38,38,38,38
2021-03-21,24,24,24,24
2021-03-28,37,37,37,37
2021-04-04,41,41,41,41
2021-04-11,36,36,36,36
2021-04-18,36,36,36,36
2021-04-25,64,64,64,64
2021-05-02,52,52,52,52
2021-05-09,57,57,57,57
2021-05-16,78,78,78,78
2021-05-23,96,96,96,96
2021-05-30,58,58,58,58
2021-06-06,91,91,91,91
2021-06-13,91,91,91,91
2021-06-20,111,111,111,111
2021-06-27,107,107,107,107
2021-07-04,102,102,102,102
2021-07-11,111,111,111,111
2021-07-18,141,141,141,141
2021-07-25,154,154,154,154
2021-08-01,188,188,188,188
2021-08-08,145,145,145,145
2021-08-15,124,124,124,124
2021-08-22,115,115,115,115
2021-08-29,153,153,153,153
2021-09-05,167,167,167,167
2021-09-12,129,129,129,129
2021-09-19,110,110,110,110
2021-09-26,99,99,99,99
2021-10-03,110,110,110,110
