"ew_start","sum_of_cases"
2017-12-31,2447
2018-01-07,2149
2018-01-14,2662
2018-01-21,2425
2018-01-28,2546
2018-02-04,2080
2018-02-11,2101
2018-02-18,2176
2018-02-25,2150
2018-03-04,2115
2018-03-11,2145
2018-03-18,2014
2018-03-25,1840
2018-04-01,2102
2018-04-04,2057
2018-04-15,1875
2018-04-22,1609
2018-04-29,1986
2018-05-06,1809
2018-05-13,1515
2018-05-20,1203
2018-05-27,1020
2018-06-03,1029
2018-06-10,1149
2018-06-17,1046
2018-06-24,976
2018-07-01,798
2018-07-08,616
2018-07-15,728
2018-07-22,665
2018-07-29,630
2018-08-05,570
2018-08-12,692
2018-08-19,686
2018-08-26,689
2018-09-02,586
2018-09-09,705
2018-09-16,764
2018-09-23,869
2018-09-30,902
2018-10-07,906
2018-10-14,1127
2018-10-21,1071
2018-10-28,1168
2018-11-04,1256
2018-11-11,1384
2018-11-18,1579
2018-11-25,1823
2018-12-02,2062
2018-12-09,2438
2018-12-16,2378
2018-12-23,2781
2018-12-30,5114
2019-01-06,5456
2019-01-13,7516
2019-01-20,10340
2019-01-27,13086
2019-02-03,16461
2019-02-10,18431
2019-02-17,20004
2019-02-24,18661
2019-03-03,20987
2019-03-10,24919
2019-03-17,28644
2019-03-24,32768
2019-03-31,36380
2019-04-07,39843
2019-04-14,41134
2019-04-21,44071
2019-04-28,43621
2019-05-05,46404
2019-05-12,43683
2019-05-19,34550
2019-05-26,25825
2019-06-02,19183
2019-06-09,16264
2019-06-16,12701
2019-06-23,11065
2019-06-30,6722
2019-07-07,5116
2019-07-14,3956
2019-07-21,3651
2019-07-28,3051
2019-08-04,2928
2019-08-11,2527
2019-08-18,2241
2019-08-25,2158
2019-09-01,2100
2019-09-08,2567
2019-09-15,2764
2019-09-22,2274
2019-09-29,2650
2019-10-06,2579
2019-10-13,2644
2019-10-20,2490
2019-10-27,2840
2019-11-03,2808
2019-11-10,2673
2019-11-17,3125
2019-11-24,3138
2019-12-01,3529
2019-12-08,3896
2019-12-15,3725
2019-12-22,3097
2019-12-29,4774
2020-01-05,9882
2020-01-12,13397
2020-01-19,17073
2020-01-26,19271
2020-02-02,24458
2020-02-09,27261
2020-02-16,23253
2020-02-23,23115
2020-03-01,24568
2020-03-08,22250
2020-03-15,15019
2020-03-22,13470
2020-03-29,12510
2020-04-05,11628
2020-04-12,11750
2020-04-19,10905
2020-04-26,10264
2020-05-03,9139
2020-05-10,7969
2020-05-17,5854
2020-05-24,4570
2020-05-31,4733
2020-06-07,4871
2020-06-14,4934
2020-06-21,3997
2020-06-28,3513
2020-07-05,3709
2020-07-12,3094
2020-07-19,2730
2020-07-26,2362
2020-08-02,2040
2020-08-09,2118
2020-08-16,1416
2020-08-23,1617
2020-08-30,1734
2020-09-06,1888
2020-09-13,1763
2020-09-20,1869
2020-09-27,1885
2020-10-04,1673
2020-10-11,1590
2020-10-18,1738
2020-10-25,1367
2020-11-01,1648
2020-11-08,1856
2020-11-15,1863
2020-11-22,2023
2020-11-29,2103
2020-12-06,2120
2020-12-13,2109
2020-12-20,2032
2020-12-27,1720
2021-01-03,3784
2021-01-10,3968
2021-01-17,4811
2021-01-24,5531
2021-01-31,7201
2021-02-07,8651
2021-02-14,10653
2021-02-21,11796
2021-02-28,14329
2021-03-07,15179
2021-03-14,16601
2021-03-21,16294
2021-03-28,19188
2021-04-04,21228
2021-04-11,19210
2021-04-18,19378
2021-04-25,17219
2021-05-02,15240
2021-05-09,13268
2021-05-16,10830
2021-05-23,8846
2021-05-30,7598
2021-06-06,6442
2021-06-13,5017
2021-06-20,3842
2021-06-27,2830
2021-07-04,2647
2021-07-11,2435
2021-07-18,1902
2021-07-25,1526
2021-08-01,1658
2021-08-08,1792
2021-08-15,1961
2021-08-22,1799
2021-08-29,1564
2021-09-05,1821
2021-09-12,1872
2021-09-19,1955
2021-09-26,1771
2021-10-03,1531
2021-10-10,1676
2021-10-17,1652
2021-10-24,1535
2021-10-31,1777
2021-11-07,1728
2021-11-14,2088
2021-11-21,2217
2021-11-28,2567
2021-12-05,2832
2021-12-12,2812
2021-12-19,2192
2021-12-26,921
2022-01-02,5337
2022-01-09,5354
2022-01-16,5363
2022-01-23,4846
2022-01-30,5229
2022-02-06,6125
2022-02-13,7263
2022-02-20,7624
2022-02-27,12217
2022-03-06,16796
2022-03-13,20845
2022-03-20,26699
2022-03-27,30865
2022-04-03,35528
2022-04-10,38005
2022-04-17,40618
2022-04-24,45723
2022-05-01,49090
2022-05-08,41564
2022-05-15,27927
2022-05-22,23258
2022-05-29,20192
2022-06-05,15958
2022-06-12,11455
2022-06-19,11456
2022-06-26,9691
2022-07-03,8248
2022-07-10,7369
2022-07-17,6481
2022-07-24,5864
2022-07-31,5519
2022-08-07,4501
2022-08-14,4325
2022-08-21,4281
2022-08-28,3924
2022-09-04,4052
2022-09-11,3879
2022-09-18,3812
2022-09-25,3766
2022-10-02,4297
2022-10-09,4144
2022-10-16,4250
2022-10-23,4138
2022-10-30,3502
2022-11-06,3944
2022-11-13,4062
2022-11-20,3913
2022-11-27,3511
2022-12-04,2760
2022-12-11,1035
2022-12-18,253
2022-12-25,2057
2023-01-01,7076
2023-01-08,7570
2023-01-15,9102
2023-01-22,11154
2023-01-29,13352
2023-02-05,17078
2023-02-12,18654
2023-02-19,21520
2023-02-26,27803
2023-03-05,32661
2023-03-12,38086
2023-03-19,46047
2023-03-26,47702
2023-04-02,44218
2023-04-09,48836
2023-04-16,40731
2023-04-23,36111
2023-04-30,39119
2023-05-07,35523
2023-05-14,29452
2023-05-21,21647
2023-05-28,15552
2023-06-04,11795
2023-06-11,9359
2023-06-18,8100
2023-06-25,7009
2023-07-02,5360
2023-07-09,4798
2023-07-16,4192
2023-07-23,4082
2023-07-30,4307
2023-08-06,4337
2023-08-13,4497
2023-08-20,4353
2023-08-27,4200
2023-09-03,4092
2023-09-10,4937
2023-09-17,5621
2023-09-24,5247
2023-10-01,5760
2023-10-08,5066
2023-10-15,6019
2023-10-22,5711
2023-10-29,5031
2023-11-05,6029
2023-11-12,5043
2023-11-19,5927
2023-11-26,6166
2023-12-03,6212
2023-12-10,6397
2023-12-17,4818
2023-12-24,5174
2023-12-31,14557
2024-01-07,18179
2024-01-14,24913
2024-01-21,32129
2024-01-28,39330
2024-02-04,35156
2024-02-11,11664
