"ew_start","sum_of_cases"
2017-12-31,269
2018-01-07,119
2018-01-14,154
2018-01-21,153
2018-01-28,160
2018-02-04,138
2018-02-11,117
2018-02-18,149
2018-02-25,164
2018-03-04,171
2018-03-11,150
2018-03-18,172
2018-03-25,176
2018-04-01,272
2018-04-04,301
2018-04-15,288
2018-04-22,295
2018-04-29,279
2018-05-06,245
2018-05-13,247
2018-05-20,175
2018-05-27,152
2018-06-03,104
2018-06-10,105
2018-06-17,86
2018-06-24,94
2018-07-01,70
2018-07-08,55
2018-07-15,51
2018-07-22,46
2018-07-29,43
2018-08-05,42
2018-08-12,52
2018-08-19,65
2018-08-26,39
2018-09-02,49
2018-09-09,40
2018-09-16,41
2018-09-23,47
2018-09-30,65
2018-10-07,69
2018-10-14,82
2018-10-21,79
2018-10-28,124
2018-11-04,157
2018-11-11,172
2018-11-18,220
2018-11-25,341
2018-12-02,403
2018-12-09,493
2018-12-16,527
2018-12-23,577
2018-12-30,790
2019-01-06,1062
2019-01-13,1336
2019-01-20,1317
2019-01-27,1701
2019-02-03,1889
2019-02-10,1572
2019-02-17,1599
2019-02-24,1404
2019-03-03,1227
2019-03-10,1535
2019-03-17,1462
2019-03-24,1429
2019-03-31,1380
2019-04-07,1252
2019-04-14,1059
2019-04-21,1015
2019-04-28,976
2019-05-05,898
2019-05-12,724
2019-05-19,667
2019-05-26,528
2019-06-02,341
2019-06-09,264
2019-06-16,183
2019-06-23,151
2019-06-30,100
2019-07-07,95
2019-07-14,53
2019-07-21,68
2019-07-28,59
2019-08-04,53
2019-08-11,34
2019-08-18,62
2019-08-25,46
2019-09-01,44
2019-09-08,42
2019-09-15,36
2019-09-22,38
2019-09-29,54
2019-10-06,47
2019-10-13,75
2019-10-20,99
2019-10-27,124
2019-11-03,157
2019-11-10,171
2019-11-17,163
2019-11-24,196
2019-12-01,231
2019-12-08,308
2019-12-15,193
2019-12-22,116
2019-12-29,96
2020-01-05,229
2020-01-12,226
2020-01-19,221
2020-01-26,232
2020-02-02,275
2020-02-09,281
2020-02-16,263
2020-02-23,241
2020-03-01,313
2020-03-08,277
2020-03-15,181
2020-03-22,108
2020-03-29,108
2020-04-05,128
2020-04-12,133
2020-04-19,139
2020-04-26,126
2020-05-03,130
2020-05-10,106
2020-05-17,99
2020-05-24,121
2020-05-31,92
2020-06-07,99
2020-06-14,88
2020-06-21,107
2020-06-28,110
2020-07-05,81
2020-07-12,98
