"ew_start","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max"
2017-12-31,269,269,269,269
2018-01-07,119,119,119,119
2018-01-14,154,154,154,154
2018-01-21,153,153,153,153
2018-01-28,160,160,160,160
2018-02-04,138,138,138,138
2018-02-11,117,117,117,117
2018-02-18,149,149,149,149
2018-02-25,164,164,164,164
2018-03-04,171,171,171,171
2018-03-11,150,150,150,150
2018-03-18,172,172,172,172
2018-03-25,176,176,176,176
2018-04-01,272,272,272,272
2018-04-04,301,301,301,301
2018-04-15,288,288,288,288
2018-04-22,295,295,295,295
2018-04-29,279,279,279,279
2018-05-06,245,245,245,245
2018-05-13,247,247,247,247
2018-05-20,175,175,175,175
2018-05-27,152,152,152,152
2018-06-03,104,104,104,104
2018-06-10,105,105,105,105
2018-06-17,86,86,86,86
2018-06-24,94,94,94,94
2018-07-01,70,70,70,70
2018-07-08,55,55,55,55
2018-07-15,51,51,51,51
2018-07-22,46,46,46,46
2018-07-29,43,43,43,43
2018-08-05,42,42,42,42
2018-08-12,52,52,52,52
2018-08-19,65,65,65,65
2018-08-26,39,39,39,39
2018-09-02,49,49,49,49
2018-09-09,40,40,40,40
2018-09-16,41,41,41,41
2018-09-23,47,47,47,47
2018-09-30,65,65,65,65
2018-10-07,69,69,69,69
2018-10-14,82,82,82,82
2018-10-21,79,79,79,79
2018-10-28,124,124,124,124
2018-11-04,157,157,157,157
2018-11-11,172,172,172,172
2018-11-18,220,220,220,220
2018-11-25,341,341,341,341
2018-12-02,403,403,403,403
2018-12-09,493,493,493,493
2018-12-16,527,527,527,527
2018-12-23,577,577,577,577
2018-12-30,790,790,790,790
2019-01-06,1062,1062,1062,1062
2019-01-13,1336,1336,1336,1336
2019-01-20,1317,1317,1317,1317
2019-01-27,1701,1701,1701,1701
2019-02-03,1889,1889,1889,1889
2019-02-10,1572,1572,1572,1572
2019-02-17,1599,1599,1599,1599
2019-02-24,1404,1404,1404,1404
2019-03-03,1227,1227,1227,1227
2019-03-10,1535,1535,1535,1535
2019-03-17,1462,1462,1462,1462
2019-03-24,1429,1429,1429,1429
2019-03-31,1380,1380,1380,1380
2019-04-07,1252,1252,1252,1252
2019-04-14,1059,1059,1059,1059
2019-04-21,1015,1015,1015,1015
2019-04-28,976,976,976,976
2019-05-05,898,898,898,898
2019-05-12,724,724,724,724
2019-05-19,667,667,667,667
2019-05-26,528,528,528,528
2019-06-02,341,341,341,341
2019-06-09,264,264,264,264
2019-06-16,183,183,183,183
2019-06-23,151,151,151,151
2019-06-30,100,100,100,100
2019-07-07,95,95,95,95
2019-07-14,53,53,53,53
2019-07-21,68,68,68,68
2019-07-28,59,59,59,59
2019-08-04,53,53,53,53
2019-08-11,34,34,34,34
2019-08-18,62,62,62,62
2019-08-25,46,46,46,46
2019-09-01,44,44,44,44
2019-09-08,42,42,42,42
2019-09-15,36,36,36,36
2019-09-22,38,38,38,38
2019-09-29,54,54,54,54
2019-10-06,47,47,47,47
2019-10-13,75,75,75,75
2019-10-20,99,99,99,99
2019-10-27,124,124,124,124
2019-11-03,157,157,157,157
2019-11-10,171,171,171,171
2019-11-17,163,163,163,163
2019-11-24,196,196,196,196
2019-12-01,231,231,231,231
2019-12-08,308,308,308,308
2019-12-15,193,193,193,193
2019-12-22,116,116,116,116
2019-12-29,96,96,96,96
2020-01-05,229,229,229,229
2020-01-12,226,226,226,226
2020-01-19,221,221,221,221
2020-01-26,232,232,232,232
2020-02-02,275,275,275,275
2020-02-09,281,281,281,281
2020-02-16,263,263,263,263
2020-02-23,241,241,241,241
2020-03-01,313,313,313,313
2020-03-08,277,277,277,277
2020-03-15,181,181,181,181
2020-03-22,108,108,108,108
2020-03-29,108,108,108,108
2020-04-05,128,128,128,128
2020-04-12,133,133,133,133
2020-04-19,139,139,139,139
2020-04-26,126,126,126,126
2020-05-03,130,130,130,130
2020-05-10,106,106,106,106
2020-05-17,99,99,99,99
2020-05-24,121,121,121,121
2020-05-31,92,92,92,92
2020-06-07,99,99,99,99
2020-06-14,88,88,88,88
2020-06-21,107,107,107,107
2020-06-28,110,110,110,110
2020-07-05,81,81,81,81
2020-07-12,98,98,98,98
2020-07-19,64,64,64,64
2020-07-26,63,63,63,63
2020-08-02,52,52,52,52
2020-08-09,43,43,43,43
2020-08-16,46,46,46,46
2020-08-23,36,36,36,36
2020-08-30,33,33,33,33
2020-09-06,21,21,21,21
2020-09-13,31,31,31,31
2020-09-20,25,25,25,25
2020-09-27,19,19,19,19
2020-10-04,15,15,15,15
2020-10-11,16,16,16,16
2020-10-18,20,20,20,20
2020-10-25,22,22,22,22
2020-11-01,21,21,21,21
2020-11-08,24,24,24,24
2020-11-15,40,40,40,40
2020-11-22,52,52,52,52
2020-11-29,50,50,50,50
2020-12-06,42,42,42,42
2020-12-13,44,44,44,44
2020-12-20,30,30,30,30
2020-12-27,33,33,33,33
2021-01-03,74,74,74,74
2021-01-10,57,57,57,57
2021-01-17,74,74,74,74
2021-01-24,76,76,76,76
2021-01-31,86,86,86,86
2021-02-07,91,91,91,91
2021-02-14,130,130,130,130
2021-02-21,110,110,110,110
2021-02-28,133,133,133,133
2021-03-07,142,142,142,142
2021-03-14,118,118,118,118
2021-03-21,128,128,128,128
2021-03-28,176,176,176,176
2021-04-04,191,191,191,191
2021-04-11,181,181,181,181
2021-04-18,195,195,195,195
2021-04-25,205,205,205,205
2021-05-02,239,239,239,239
2021-05-09,275,275,275,275
2021-05-16,266,266,266,266
2021-05-23,247,247,247,247
2021-05-30,266,266,266,266
2021-06-06,270,270,270,270
2021-06-13,240,240,240,240
2021-06-20,219,219,219,219
2021-06-27,216,216,216,216
2021-07-04,155,155,155,155
2021-07-11,169,169,169,169
2021-07-18,145,145,145,145
2021-07-25,156,156,156,156
2021-08-01,159,159,159,159
2021-08-08,140,140,140,140
2021-08-15,172,172,172,172
2021-08-22,131,131,131,131
2021-08-29,125,125,125,125
2021-09-05,139,139,139,139
2021-09-12,133,133,133,133
2021-09-19,119,119,119,119
2021-09-26,102,102,102,102
2021-10-03,102,102,102,102
2021-10-10,154,154,154,154
2021-10-17,193,193,193,193
2021-10-24,209,209,209,209
2021-10-31,297,297,297,297
2021-11-07,391,391,391,391
2021-11-14,631,631,631,631
2021-11-21,861,861,861,861
2021-11-28,1250,1250,1250,1250
2021-12-05,1484,1484,1484,1484
2021-12-12,1483,1483,1483,1483
2021-12-19,781,781,781,781
2021-12-26,214,214,214,214
2022-01-02,2550,2550,2550,2550
2022-01-09,2272,2272,2272,2272
2022-01-16,2033,2033,2033,2033
2022-01-23,1941,1941,1941,1941
2022-01-30,1937,1937,1937,1937
2022-02-06,1732,1732,1732,1732
2022-02-13,1527,1527,1527,1527
2022-02-20,1227,1227,1227,1227
2022-02-27,1247,1247,1247,1247
2022-03-06,1233,1233,1233,1233
2022-03-13,1265,1265,1265,1265
2022-03-20,1205,1205,1205,1205
2022-03-27,1411,1411,1411,1411
2022-04-03,1485,1485,1485,1485
2022-04-10,1467,1467,1467,1467
2022-04-17,1553,1553,1553,1553
2022-04-24,1563,1563,1563,1563
2022-05-01,1656,1656,1656,1656
2022-05-08,1663,1663,1663,1663
2022-05-15,1529,1529,1529,1529
2022-05-22,1290,1290,1290,1290
2022-05-29,1298,1298,1298,1298
2022-06-05,1060,1060,1060,1060
2022-06-12,917,917,917,917
2022-06-19,795,795,795,795
2022-06-26,644,644,644,644
2022-07-03,514,514,514,514
2022-07-10,449,449,449,449
2022-07-17,366,366,366,366
2022-07-24,317,317,317,317
2022-07-31,321,321,321,321
2022-08-07,283,283,283,283
2022-08-14,279,279,279,279
2022-08-21,215,215,215,215
2022-08-28,211,211,211,211
2022-09-04,137,137,137,137
2022-09-11,162,162,162,162
2022-09-18,152,152,152,152
2022-09-25,195,195,195,195
2022-10-02,141,141,141,141
2022-10-09,172,172,172,172
2022-10-16,140,140,140,140
2022-10-23,165,165,165,165
2022-10-30,177,177,177,177
2022-11-06,224,224,224,224
2022-11-13,267,267,267,267
2022-11-20,302,302,302,302
2022-11-27,276,276,276,276
2022-12-04,253,253,253,253
2022-12-11,145,145,145,145
2022-12-18,45,45,45,45
2022-12-25,165,165,165,165
2023-01-01,484,484,484,484
2023-01-08,530,530,530,530
2023-01-15,771,771,771,771
2023-01-22,842,842,842,842
2023-01-29,907,907,907,907
2023-02-05,1111,1111,1111,1111
2023-02-12,968,968,968,968
2023-02-19,962,962,962,962
2023-02-26,1007,1007,1007,1007
2023-03-05,927,927,927,927
2023-03-12,946,946,946,946
2023-03-19,1292,1292,1292,1292
2023-03-26,1441,1441,1441,1441
2023-04-02,1171,1171,1171,1171
2023-04-09,1228,1228,1228,1228
2023-04-16,995,995,995,995
2023-04-23,852,852,852,852
2023-04-30,856,856,856,856
2023-05-07,671,671,671,671
2023-05-14,684,684,684,684
2023-05-21,585,585,585,585
2023-05-28,510,510,510,510
2023-06-04,372,372,372,372
2023-06-11,366,366,366,366
2023-06-18,300,300,300,300
2023-06-25,260,260,260,260
2023-07-02,195,195,195,195
2023-07-09,194,194,194,194
2023-07-16,179,179,179,179
2023-07-23,153,153,153,153
2023-07-30,161,161,161,161
2023-08-06,152,152,152,152
2023-08-13,184,184,184,184
2023-08-20,130,130,130,130
2023-08-27,120,120,120,120
2023-09-03,127,127,127,127
2023-09-10,123,123,123,123
2023-09-17,106,106,106,106
2023-09-24,82,82,82,82
2023-10-01,101,101,101,101
2023-10-08,144,144,144,144
2023-10-15,194,194,194,194
2023-10-22,121,121,121,121
2023-10-29,159,159,159,159
2023-11-05,173,173,173,173
2023-11-12,180,180,180,180
2023-11-19,213,213,213,213
2023-11-26,223,223,223,223
2023-12-03,219,219,219,219
2023-12-10,185,185,185,185
2023-12-17,160,160,160,160
2023-12-24,125,125,125,NA
2023-12-31,255,255,255,NA
2024-01-07,327,327,327,NA
2024-01-14,423,424,423,NA
2024-01-21,453,459,453,NA
2024-01-28,706,722,706,NA
2024-02-04,715,749,719,NA
2024-02-11,873,957,889,NA
2024-02-18,795,1039,848,NA
2024-02-25,312,1078.5,478,NA
