ew_start,ew,sum_of_cases,pop,uf
2010-01-03,201001,67,631181,RR
2010-01-10,201002,73,631181,RR
2010-01-17,201003,67,631181,RR
2010-01-24,201004,71,631181,RR
2010-01-31,201005,107,631181,RR
2010-02-07,201006,140,631181,RR
2010-02-14,201007,160,631181,RR
2010-02-21,201008,165,631181,RR
2010-02-28,201009,253,631181,RR
2010-03-07,201010,172,631181,RR
2010-03-14,201011,216,631181,RR
2010-03-21,201012,201,631181,RR
2010-03-28,201013,203,631181,RR
2010-04-04,201014,301,631181,RR
2010-04-11,201015,241,631181,RR
2010-04-18,201016,280,631181,RR
2010-04-25,201017,251,631181,RR
2010-05-02,201018,280,631181,RR
2010-05-09,201019,291,631181,RR
2010-05-16,201020,422,631181,RR
2010-05-23,201021,524,631181,RR
2010-05-30,201022,712,631181,RR
2010-06-06,201023,658,631181,RR
2010-06-13,201024,517,631181,RR
2010-06-20,201025,450,631181,RR
2010-06-27,201026,491,631181,RR
2010-07-04,201027,336,631181,RR
2010-07-11,201028,346,631181,RR
2010-07-18,201029,249,631181,RR
2010-07-25,201030,254,631181,RR
2010-08-01,201031,302,631181,RR
2010-08-08,201032,368,631181,RR
2010-08-15,201033,307,631181,RR
2010-08-22,201034,255,631181,RR
2010-08-29,201035,235,631181,RR
2010-09-05,201036,192,631181,RR
2010-09-12,201037,171,631181,RR
2010-09-19,201038,166,631181,RR
2010-09-26,201039,105,631181,RR
2010-10-03,201040,112,631181,RR
2010-10-10,201041,89,631181,RR
2010-10-17,201042,95,631181,RR
2010-10-24,201043,65,631181,RR
2010-10-31,201044,75,631181,RR
2010-11-07,201045,85,631181,RR
2010-11-14,201046,95,631181,RR
2010-11-21,201047,103,631181,RR
2010-11-28,201048,94,631181,RR
2010-12-05,201049,92,631181,RR
2010-12-12,201050,109,631181,RR
2010-12-19,201051,74,631181,RR
2010-12-26,201052,96,631181,RR
2011-01-02,201101,78,631181,RR
2011-01-09,201102,82,631181,RR
2011-01-16,201103,83,631181,RR
2011-01-23,201104,86,631181,RR
2011-01-30,201105,78,631181,RR
2011-02-06,201106,77,631181,RR
2011-02-13,201107,57,631181,RR
2011-02-20,201108,75,631181,RR
2011-02-27,201109,50,631181,RR
2011-03-06,201110,56,631181,RR
2011-03-13,201111,107,631181,RR
2011-03-20,201112,114,631181,RR
2011-03-27,201113,73,631181,RR
2011-04-03,201114,72,631181,RR
2011-04-10,201115,41,631181,RR
2011-04-17,201116,46,631181,RR
2011-04-24,201117,47,631181,RR
2011-05-01,201118,52,631181,RR
2011-05-08,201119,53,631181,RR
2011-05-15,201120,44,631181,RR
2011-05-22,201121,53,631181,RR
2011-05-29,201122,53,631181,RR
2011-06-05,201123,99,631181,RR
2011-06-12,201124,55,631181,RR
2011-06-19,201125,60,631181,RR
2011-06-26,201126,70,631181,RR
2011-07-03,201127,69,631181,RR
2011-07-10,201128,94,631181,RR
2011-07-17,201129,65,631181,RR
2011-07-24,201130,34,631181,RR
2011-07-31,201131,62,631181,RR
2011-08-07,201132,68,631181,RR
2011-08-14,201133,51,631181,RR
2011-08-21,201134,57,631181,RR
2011-08-28,201135,46,631181,RR
2011-09-04,201136,43,631181,RR
2011-09-11,201137,34,631181,RR
2011-09-18,201138,40,631181,RR
2011-09-25,201139,42,631181,RR
2011-10-02,201140,30,631181,RR
2011-10-09,201141,36,631181,RR
2011-10-16,201142,39,631181,RR
2011-10-23,201143,28,631181,RR
2011-10-30,201144,32,631181,RR
2011-11-06,201145,31,631181,RR
2011-11-13,201146,50,631181,RR
2011-11-20,201147,34,631181,RR
2011-11-27,201148,49,631181,RR
2011-12-04,201149,46,631181,RR
2011-12-11,201150,73,631181,RR
2011-12-18,201151,73,631181,RR
2011-12-25,201152,58,631181,RR
2012-01-01,201201,72,631181,RR
2012-01-08,201202,62,631181,RR
2012-01-15,201203,70,631181,RR
2012-01-22,201204,54,631181,RR
2012-01-29,201205,60,631181,RR
2012-02-05,201206,75,631181,RR
2012-02-12,201207,63,631181,RR
2012-02-19,201208,81,631181,RR
2012-02-26,201209,103,631181,RR
2012-03-04,201210,102,631181,RR
2012-03-11,201211,114,631181,RR
2012-03-18,201212,134,631181,RR
2012-03-25,201213,111,631181,RR
2012-04-01,201214,87,631181,RR
2012-04-08,201215,122,631181,RR
2012-04-15,201216,111,631181,RR
2012-04-22,201217,88,631181,RR
2012-04-29,201218,114,631181,RR
2012-05-06,201219,148,631181,RR
2012-05-13,201220,175,631181,RR
2012-05-20,201221,175,631181,RR
2012-05-27,201222,121,631181,RR
2012-06-03,201223,128,631181,RR
2012-06-10,201224,126,631181,RR
2012-06-17,201225,142,631181,RR
2012-06-24,201226,131,631181,RR
2012-07-01,201227,130,631181,RR
2012-07-08,201228,107,631181,RR
2012-07-15,201229,111,631181,RR
2012-07-22,201230,94,631181,RR
2012-07-29,201231,128,631181,RR
2012-08-05,201232,148,631181,RR
2012-08-12,201233,99,631181,RR
2012-08-19,201234,121,631181,RR
2012-08-26,201235,74,631181,RR
2012-09-02,201236,65,631181,RR
2012-09-09,201237,81,631181,RR
2012-09-16,201238,68,631181,RR
2012-09-23,201239,54,631181,RR
2012-09-30,201240,46,631181,RR
2012-10-07,201241,40,631181,RR
2012-10-14,201242,50,631181,RR
2012-10-21,201243,46,631181,RR
2012-10-28,201244,54,631181,RR
2012-11-04,201245,43,631181,RR
2012-11-11,201246,48,631181,RR
2012-11-18,201247,49,631181,RR
2012-11-25,201248,31,631181,RR
2012-12-02,201249,33,631181,RR
2012-12-09,201250,34,631181,RR
2012-12-16,201251,23,631181,RR
2012-12-23,201252,24,631181,RR
2012-12-30,201301,21,631181,RR
2013-01-06,201302,26,631181,RR
2013-01-13,201303,34,631181,RR
2013-01-20,201304,36,631181,RR
2013-01-27,201305,31,631181,RR
2013-02-03,201306,32,631181,RR
2013-02-10,201307,33,631181,RR
2013-02-17,201308,45,631181,RR
2013-02-24,201309,50,631181,RR
2013-03-03,201310,45,631181,RR
2013-03-10,201311,47,631181,RR
2013-03-17,201312,39,631181,RR
2013-03-24,201313,38,631181,RR
2013-03-31,201314,51,631181,RR
2013-04-07,201315,46,631181,RR
2013-04-14,201316,49,631181,RR
2013-04-21,201317,38,631181,RR
2013-04-28,201318,63,631181,RR
2013-05-05,201319,109,631181,RR
2013-05-12,201320,96,631181,RR
2013-05-19,201321,61,631181,RR
2013-05-26,201322,40,631181,RR
2013-06-02,201323,47,631181,RR
2013-06-09,201324,57,631181,RR
2013-06-16,201325,64,631181,RR
2013-06-23,201326,57,631181,RR
2013-06-30,201327,35,631181,RR
2013-07-07,201328,47,631181,RR
2013-07-14,201329,39,631181,RR
2013-07-21,201330,20,631181,RR
